arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Botuvera_2014_01.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2014\Botuvera_2014_01.tif,2014,1,0.5,0.4,0.48,99.47,0.74,8,1133,0,2655,1522
Botuvera_2014_02.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2014\Botuvera_2014_02.tif,2014,2,0.53,0.4,0.64,100.0,0.85,0,1133,0,2655,1522
Botuvera_2014_03.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2014\Botuvera_2014_03.tif,2014,3,0.51,0.4,0.49,99.93,0.75,1,1133,0,2655,1522
Botuvera_2014_04.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2014\Botuvera_2014_04.tif,2014,4,0.61,0.5,0.39,100.0,0.81,0,1133,0,2655,1522
Botuvera_2014_05.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2014\Botuvera_2014_05.tif,2014,5,0.61,0.5,0.56,100.0,0.89,0,1133,0,2655,1522
Botuvera_2014_06.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2014\Botuvera_2014_06.tif,2014,6,0.45,0.3,0.54,100.0,0.72,0,1133,0,2655,1522
Botuvera_2014_07.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2014\Botuvera_2014_07.tif,2014,7,0.45,0.3,0.73,99.87,0.82,2,1133,0,2655,1522
Botuvera_2014_08.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2014\Botuvera_2014_08.tif,2014,8,0.44,0.3,0.62,100.0,0.75,0,1133,0,2655,1522
Botuvera_2014_09.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2014\Botuvera_2014_09.tif,2014,9,0.59,0.5,0.6,100.0,0.89,0,1133,0,2655,1522
Botuvera_2014_10.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2014\Botuvera_2014_10.tif,2014,10,0.61,0.5,0.48,100.0,0.85,0,1133,0,2655,1522
Botuvera_2014_11.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2014\Botuvera_2014_11.tif,2014,11,0.57,0.4,0.66,99.08,0.89,14,1133,0,2655,1522
Botuvera_2014_12.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2014\Botuvera_2014_12.tif,2014,12,0.59,0.5,0.47,100.0,0.82,0,1133,0,2655,1522
Botuvera_2015_01.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2015\Botuvera_2015_01.tif,2015,1,0.43,0.3,0.62,98.49,0.74,23,1133,0,2655,1522
Botuvera_2015_02.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2015\Botuvera_2015_02.tif,2015,2,0.51,0.4,0.56,99.87,0.79,2,1133,0,2655,1522
Botuvera_2015_03.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2015\Botuvera_2015_03.tif,2015,3,0.63,0.5,0.51,100.0,0.88,0,1133,0,2655,1522
Botuvera_2015_04.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2015\Botuvera_2015_04.tif,2015,4,0.65,0.55,0.51,99.93,0.9,1,1133,0,2655,1522
Botuvera_2015_05.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2015\Botuvera_2015_05.tif,2015,5,0.63,0.5,0.45,100.0,0.86,0,1133,0,2655,1522
Botuvera_2015_06.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2015\Botuvera_2015_06.tif,2015,6,0.56,0.4,0.6,100.0,0.87,0,1133,0,2655,1522
Botuvera_2015_07.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2015\Botuvera_2015_07.tif,2015,7,0.53,0.4,0.68,99.74,0.87,4,1133,0,2655,1522
Botuvera_2015_08.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2015\Botuvera_2015_08.tif,2015,8,0.42,0.3,0.73,95.14,0.79,74,1133,0,2655,1522
Botuvera_2015_09.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2015\Botuvera_2015_09.tif,2015,9,0.49,0.3,0.74,99.8,0.86,3,1133,0,2655,1522
Botuvera_2015_10.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2015\Botuvera_2015_10.tif,2015,10,1.93,0.6,2.53,69.97,3.19,445,1133,0,2655,1522
Botuvera_2015_11.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2015\Botuvera_2015_11.tif,2015,11,0.68,0.5,0.76,98.36,1.06,19,1133,0,2655,1522
Botuvera_2015_12.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2015\Botuvera_2015_12.tif,2015,12,0.82,0.35,1.33,93.69,1.49,29,1133,0,2655,1522
Botuvera_2016_01.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2016\Botuvera_2016_01.tif,2016,1,0.4,0.3,0.63,91.26,0.71,133,1133,0,2655,1522
Botuvera_2016_02.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2016\Botuvera_2016_02.tif,2016,2,0.89,0.6,1.02,99.47,1.4,8,1133,0,2655,1522
Botuvera_2016_03.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2016\Botuvera_2016_03.tif,2016,3,0.58,0.45,0.65,100.0,0.91,0,1133,0,2655,1522
Botuvera_2016_04.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2016\Botuvera_2016_04.tif,2016,4,0.64,0.5,0.58,100.0,0.93,0,1133,0,2655,1522
Botuvera_2016_05.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2016\Botuvera_2016_05.tif,2016,5,0.68,0.55,0.69,100.0,1.02,0,1133,0,2655,1522
Botuvera_2016_06.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2016\Botuvera_2016_06.tif,2016,6,0.45,0.25,0.78,100.0,0.84,0,1133,0,2655,1522
Botuvera_2016_07.tif,C:\Users\gtvargas\Documents\Botuvera_noturno\Raster\Botuvera_recorte\2016\Botuvera_2016_07.tif,2016,7,0.4,0.2,0.71,100.0,0.75,0,1133,0,2655,1522
