arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
INDAIAL_2014_01.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2014\INDAIAL_2014_01.tif,2014,1,2.45,0.7,4.43,100.0,4.67,0,1296,0,3483,2187
INDAIAL_2014_02.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2014\INDAIAL_2014_02.tif,2014,2,1.64,0.45,3.95,100.0,3.62,0,1296,0,3483,2187
INDAIAL_2014_03.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2014\INDAIAL_2014_03.tif,2014,3,1.81,0.55,4.1,99.95,3.86,1,1305,0,3526,2221
INDAIAL_2014_04.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2014\INDAIAL_2014_04.tif,2014,4,1.64,0.6,3.43,100.0,3.36,0,1296,0,3483,2187
INDAIAL_2014_05.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2014\INDAIAL_2014_05.tif,2014,5,1.61,0.6,3.49,100.0,3.35,0,1296,0,3483,2187
INDAIAL_2014_06.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2014\INDAIAL_2014_06.tif,2014,6,1.55,0.4,4.0,100.0,3.55,0,1296,0,3483,2187
INDAIAL_2014_07.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2014\INDAIAL_2014_07.tif,2014,7,1.53,0.4,3.65,100.0,3.36,0,1296,0,3483,2187
INDAIAL_2014_08.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2014\INDAIAL_2014_08.tif,2014,8,1.62,0.4,4.45,100.0,3.85,0,1296,0,3483,2187
INDAIAL_2014_09.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2014\INDAIAL_2014_09.tif,2014,9,1.58,0.5,3.43,100.0,3.29,0,1296,0,3483,2187
INDAIAL_2014_10.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2014\INDAIAL_2014_10.tif,2014,10,1.69,0.6,3.28,100.0,3.33,0,1296,0,3483,2187
INDAIAL_2014_11.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2014\INDAIAL_2014_11.tif,2014,11,1.8,0.6,4.09,99.82,3.85,3,1296,0,3483,2187
INDAIAL_2014_12.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2014\INDAIAL_2014_12.tif,2014,12,1.83,0.6,4.13,99.73,3.9,6,1296,0,3483,2187
INDAIAL_2015_02.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2015\INDAIAL_2015_02.tif,2015,2,1.61,0.5,3.97,99.73,3.59,6,1296,0,3483,2187
INDAIAL_2015_01.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2015\INDAIAL_2015_01.tif,2015,1,1.61,0.4,4.35,99.86,3.78,3,1296,0,3483,2187
INDAIAL_2015_03.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2015\INDAIAL_2015_03.tif,2015,3,1.65,0.6,3.47,100.0,3.38,0,1296,0,3483,2187
INDAIAL_2015_04.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2015\INDAIAL_2015_04.tif,2015,4,1.82,0.6,4.18,100.0,3.91,0,1296,0,3483,2187
INDAIAL_2015_05.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2015\INDAIAL_2015_05.tif,2015,5,1.66,0.6,3.49,100.0,3.4,0,1296,0,3483,2187
INDAIAL_2015_06.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2015\INDAIAL_2015_06.tif,2015,6,1.67,0.5,4.25,100.0,3.79,0,1296,0,3483,2187
INDAIAL_2015_07.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2015\INDAIAL_2015_07.tif,2015,7,1.7,0.5,4.13,100.0,3.76,0,1296,0,3483,2187
INDAIAL_2015_08.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2015\INDAIAL_2015_08.tif,2015,8,1.5,0.35,4.24,97.76,3.63,49,1296,0,3483,2187
INDAIAL_2015_09.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2015\INDAIAL_2015_09.tif,2015,9,1.61,0.4,4.18,99.91,3.7,2,1296,0,3483,2187
INDAIAL_2015_10.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2015\INDAIAL_2015_10.tif,2015,10,3.5,1.9,4.26,83.31,5.63,355,1296,0,3483,2187
INDAIAL_2015_11.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2015\INDAIAL_2015_11.tif,2015,11,1.56,0.6,3.65,99.73,3.38,0,1296,0,3483,2187
INDAIAL_2015_12.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2015\INDAIAL_2015_12.tif,2015,12,1.93,0.6,3.16,97.67,3.51,42,1296,0,3483,2187
INDAIAL_2016_01.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2016\INDAIAL_2016_01.tif,2016,1,1.51,0.35,4.13,95.2,3.57,105,1296,0,3483,2187
INDAIAL_2016_02.tif,C:\Users\gtvargas\Documents\Indaial_noturno\raster\INDAIAL_RECORTADO\2016\INDAIAL_2016_02.tif,2016,2,1.58,0.5,3.26,99.18,3.21,18,1296,0,3483,2187
