arquivo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_outliers,total_pixels
Bombinhas_2014_01.tif,2014,1,10.85,7.0,12.06,16.39,16.88,903,0,1080
Bombinhas_2014_02.tif,2014,2,10.83,6.0,12.25,17.69,16.95,889,0,1080
Bombinhas_2014_04.tif,2014,4,11.34,6.0,13.6,17.31,18.14,893,0,1080
Bombinhas_2014_03.tif,2014,3,9.58,6.0,11.13,19.17,15.15,873,0,1080
Bombinhas_2014_08.tif,2014,8,13.08,10.0,11.73,14.72,18.94,921,0,1080
Bombinhas_2014_05.tif,2014,5,12.99,9.0,12.86,14.91,19.42,919,0,1080
Bombinhas_2014_06.tif,2014,6,14.44,10.0,14.46,13.8,21.67,931,0,1080
Bombinhas_2014_07.tif,2014,7,11.57,8.0,10.78,14.72,16.96,921,0,1080
Bombinhas_2014_09.tif,2014,9,10.32,7.0,10.1,18.33,15.37,882,0,1080
Bombinhas_2014_12.tif,2014,12,9.28,7.0,8.96,19.07,13.76,874,0,1080
Bombinhas_2014_11.tif,2014,11,10.14,7.0,9.63,17.59,14.96,890,0,1080
Bombinhas_2014_10.tif,2014,10,8.74,5.0,9.24,20.83,13.36,855,0,1080
Bombinhas_2015_01.tif,2015,1,12.98,8.0,14.05,16.2,20.0,905,0,1080
Bombinhas_2015_02.tif,2015,2,10.18,8.0,9.34,18.52,14.85,880,0,1080
Bombinhas_2015_04.tif,2015,4,11.83,6.0,14.21,19.63,18.93,868,0,1080
Bombinhas_2015_03.tif,2015,3,10.29,6.5,11.42,19.26,16.0,872,0,1080
Bombinhas_2015_05.tif,2015,5,9.82,7.0,10.58,17.87,15.11,887,0,1080
Bombinhas_2015_06.tif,2015,6,10.99,6.0,12.19,17.69,17.09,889,0,1080
Bombinhas_2015_07.tif,2015,7,12.09,8.0,11.3,15.74,17.74,910,0,1080
Bombinhas_2015_08.tif,2015,8,9.48,7.0,8.01,15.74,13.48,910,0,1080
Bombinhas_2015_09.tif,2015,9,7.76,6.0,7.64,19.63,11.58,868,0,1080
Bombinhas_2015_11.tif,2015,11,3.53,3.0,3.07,16.85,5.07,898,0,1080
Bombinhas_2015_10.tif,2015,10,4.45,5.0,3.0,20.46,5.95,859,0,1080
Bombinhas_2015_12.tif,2015,12,4.71,4.0,4.12,18.52,6.77,880,0,1080
Bombinhas_2016_01.tif,2016,1,10.54,7.0,10.48,16.94,15.78,897,0,1080
Bombinhas_2016_03.tif,2016,3,10.84,5.0,12.81,18.43,17.25,881,0,1080
Bombinhas_2016_02.tif,2016,2,8.63,7.0,8.31,18.7,12.79,878,0,1080
Bombinhas_2016_04.tif,2016,4,10.26,7.5,9.62,16.85,15.08,898,0,1080
Bombinhas_2016_05.tif,2016,5,9.74,6.0,9.99,15.46,14.73,913,0,1080
Bombinhas_2016_07.tif,2016,7,10.28,7.0,9.94,14.63,15.25,922,0,1080
Bombinhas_2016_06.tif,2016,6,9.43,7.0,8.04,14.72,13.46,921,0,1080
Bombinhas_2016_08.tif,2016,8,13.19,11.0,11.77,13.43,19.07,935,0,1080
Bombinhas_2016_09.tif,2016,9,10.54,8.0,9.55,16.39,15.32,903,0,1080
Bombinhas_2016_10.tif,2016,10,6.89,6.0,6.63,20.09,10.2,863,0,1080
Bombinhas_2016_11.tif,2016,11,7.67,5.5,7.52,19.81,11.43,866,0,1080
Bombinhas_2016_12.tif,2016,12,8.32,6.0,8.82,17.96,12.73,886,0,1080
Bombinhas_2017_01.tif,2017,1,12.99,9.0,12.99,15.65,19.49,911,0,1080
Bombinhas_2017_02.tif,2017,2,9.67,5.0,11.03,18.24,15.19,883,0,1080
Bombinhas_2017_03.tif,2017,3,11.46,8.0,11.56,15.83,17.24,909,0,1080
Bombinhas_2017_04.tif,2017,4,12.79,8.0,13.66,16.85,19.62,898,0,1080
Bombinhas_2017_05.tif,2017,5,8.46,6.0,7.24,17.04,12.08,896,0,1080
Bombinhas_2017_06.tif,2017,6,8.93,6.0,8.78,17.04,13.33,896,0,1080
Bombinhas_2017_07.tif,2017,7,11.52,9.0,10.24,16.39,16.64,903,0,1080
Bombinhas_2017_08.tif,2017,8,9.61,6.0,9.31,18.43,14.26,881,0,1080
Bombinhas_2017_09.tif,2017,9,6.28,5.0,5.27,20.19,8.92,862,0,1080
Bombinhas_2017_10.tif,2017,10,8.44,5.0,9.39,19.91,13.13,865,0,1080
Bombinhas_2017_11.tif,2017,11,9.14,7.0,9.02,18.7,13.65,878,0,1080
Bombinhas_2018_01.tif,2018,1,12.85,9.0,12.28,16.67,18.99,900,0,1080
Bombinhas_2017_12.tif,2017,12,8.43,6.0,9.21,20.19,13.04,862,0,1080
Bombinhas_2018_02.tif,2018,2,13.08,8.0,13.26,17.13,19.71,895,0,1080
Bombinhas_2018_03.tif,2018,3,8.15,6.0,8.41,19.17,12.35,873,0,1080
Bombinhas_2018_04.tif,2018,4,12.87,8.0,14.42,17.87,20.08,887,0,1080
Bombinhas_2018_05.tif,2018,5,12.17,7.0,13.97,18.8,19.16,877,0,1080
Bombinhas_2018_06.tif,2018,6,10.87,7.0,11.36,17.59,16.55,890,0,1080
Bombinhas_2018_07.tif,2018,7,11.02,8.0,11.09,18.8,16.57,877,0,1080
Bombinhas_2018_08.tif,2018,8,12.3,8.0,13.47,18.61,19.03,879,0,1080
Bombinhas_2018_09.tif,2018,9,11.45,8.0,12.16,18.24,17.53,883,0,1080
Bombinhas_2018_10.tif,2018,10,7.16,5.0,6.15,17.41,10.24,892,0,1080
Bombinhas_2018_11.tif,2018,11,9.99,6.0,10.52,17.31,15.25,893,0,1080
Bombinhas_2018_12.tif,2018,12,11.35,8.0,11.43,18.43,17.06,881,0,1080
Bombinhas_2019_01.tif,2019,1,12.52,7.0,14.18,19.44,19.62,870,0,1080
Bombinhas_2019_02.tif,2019,2,13.49,7.0,15.23,19.17,21.11,873,0,1080
Bombinhas_2019_03.tif,2019,3,11.79,8.0,12.91,19.44,18.25,870,0,1080
Bombinhas_2019_04.tif,2019,4,11.51,6.0,13.12,20.65,18.07,857,0,1080
Bombinhas_2019_05.tif,2019,5,12.03,7.0,13.15,18.7,18.61,878,0,1080
Bombinhas_2019_06.tif,2019,6,11.14,6.0,12.22,19.07,17.25,874,0,1080
Bombinhas_2019_07.tif,2019,7,10.87,7.0,11.37,19.26,16.56,872,0,1080
Bombinhas_2019_08.tif,2019,8,8.59,7.0,8.19,20.37,12.68,860,0,1080
Bombinhas_2019_10.tif,2019,10,8.7,6.0,8.92,19.44,13.16,870,0,1080
Bombinhas_2019_09.tif,2019,9,8.14,7.0,7.07,20.56,11.67,858,0,1080
Bombinhas_2019_11.tif,2019,11,10.03,6.0,11.7,20.65,15.88,857,0,1080
Bombinhas_2019_12.tif,2019,12,8.41,7.0,8.04,20.65,12.43,857,0,1080
Bombinhas_2020_02.tif,2020,2,9.89,7.0,9.95,20.37,14.86,860,0,1080
Bombinhas_2020_01.tif,2020,1,10.84,6.0,11.87,20.37,16.77,860,0,1080
Bombinhas_2020_03.tif,2020,3,11.98,7.0,13.4,19.91,18.68,865,0,1080
Bombinhas_2020_04.tif,2020,4,14.51,10.0,15.01,17.31,22.02,893,0,1080
Bombinhas_2020_06.tif,2020,6,8.72,6.0,8.13,17.31,12.79,893,0,1080
Bombinhas_2020_05.tif,2020,5,14.27,9.0,14.0,16.3,21.27,904,0,1080
Bombinhas_2020_07.tif,2020,7,10.45,7.0,10.02,17.13,15.46,895,0,1080
Bombinhas_2020_09.tif,2020,9,6.64,5.0,6.1,19.81,9.69,866,0,1080
Bombinhas_2020_08.tif,2020,8,12.29,8.0,12.25,18.06,18.41,885,0,1080
