arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Agrolandia_2014_02.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2014\Agrolandia_2014_02.tif,2014,2,0.87,0.4,1.81,99.0,1.78,0,876,0,1972,1096
Agrolandia_2014_01.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2014\Agrolandia_2014_01.tif,2014,1,0.78,0.4,1.27,98.72,1.42,3,876,0,1972,1096
Agrolandia_2014_03.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2014\Agrolandia_2014_03.tif,2014,3,0.81,0.4,1.65,98.45,1.63,6,876,0,1972,1096
Agrolandia_2014_04.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2014\Agrolandia_2014_04.tif,2014,4,0.91,0.5,1.66,99.0,1.73,0,876,0,1972,1096
Agrolandia_2014_05.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2014\Agrolandia_2014_05.tif,2014,5,0.87,0.5,1.6,99.0,1.67,0,876,0,1972,1096
Agrolandia_2014_06.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2014\Agrolandia_2014_06.tif,2014,6,0.73,0.3,1.66,99.0,1.56,0,876,0,1972,1096
Agrolandia_2014_07.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2014\Agrolandia_2014_07.tif,2014,7,0.77,0.3,1.88,99.0,1.71,0,876,0,1972,1096
Agrolandia_2014_09.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2014\Agrolandia_2014_09.tif,2014,9,1.04,0.6,1.85,98.91,1.97,1,876,0,1972,1096
Agrolandia_2014_08.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2014\Agrolandia_2014_08.tif,2014,8,0.77,0.2,2.05,99.0,1.8,0,876,0,1972,1096
Agrolandia_2014_10.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2014\Agrolandia_2014_10.tif,2014,10,0.95,0.5,1.72,99.0,1.81,0,876,0,1972,1096
Agrolandia_2014_11.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2014\Agrolandia_2014_11.tif,2014,11,0.96,0.5,1.81,99.0,1.86,0,876,0,1972,1096
Agrolandia_2014_12.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2014\Agrolandia_2014_12.tif,2014,12,0.7,0.3,1.68,98.18,1.54,9,876,0,1972,1096
Agrolandia_2015_01.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2015\Agrolandia_2015_01.tif,2015,1,1.52,0.6,2.28,98.63,2.66,0,876,0,1972,1096
Agrolandia_2015_02.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2015\Agrolandia_2015_02.tif,2015,2,0.77,0.45,1.38,98.45,1.46,2,876,0,1972,1096
Agrolandia_2015_03.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2015\Agrolandia_2015_03.tif,2015,3,0.89,0.5,1.44,98.91,1.61,1,876,0,1972,1096
Agrolandia_2015_04.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2015\Agrolandia_2015_04.tif,2015,4,0.83,0.45,1.58,98.91,1.62,1,876,0,1972,1096
Agrolandia_2015_05.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2015\Agrolandia_2015_05.tif,2015,5,0.89,0.55,1.43,99.0,1.6,0,876,0,1972,1096
Agrolandia_2015_06.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2015\Agrolandia_2015_06.tif,2015,6,0.82,0.4,1.63,99.0,1.64,0,876,0,1972,1096
Agrolandia_2015_07.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2015\Agrolandia_2015_07.tif,2015,7,0.76,0.3,2.01,95.62,1.77,37,876,0,1972,1096
Agrolandia_2015_08.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2015\Agrolandia_2015_08.tif,2015,8,0.71,0.2,1.89,78.65,1.65,223,876,0,1972,1096
Agrolandia_2015_09.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2015\Agrolandia_2015_09.tif,2015,9,0.63,0.3,1.43,98.91,1.34,1,876,0,1972,1096
Agrolandia_2015_10.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2015\Agrolandia_2015_10.tif,2015,10,2.04,1.1,2.02,97.54,3.06,16,876,0,1972,1096
Agrolandia_2015_11.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2015\Agrolandia_2015_11.tif,2015,11,0.73,0.5,0.92,98.81,1.19,2,876,0,1972,1096
Agrolandia_2015_12.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2015\Agrolandia_2015_12.tif,2015,12,1.06,0.5,1.6,98.91,1.86,1,876,0,1972,1096
Agrolandia_2016_01.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2016\Agrolandia_2016_01.tif,2016,1,0.65,0.3,1.49,91.7,1.4,80,876,0,1972,1096
Agrolandia_2016_02.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2016\Agrolandia_2016_02.tif,2016,2,1.38,0.9,1.51,98.72,2.14,2,876,0,1972,1096
Agrolandia_2016_03.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2016\Agrolandia_2016_03.tif,2016,3,0.8,0.4,1.67,98.81,1.64,2,876,0,1972,1096
Agrolandia_2016_04.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2016\Agrolandia_2016_04.tif,2016,4,0.92,0.55,1.55,98.91,1.69,1,876,0,1972,1096
Agrolandia_2016_06.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2016\Agrolandia_2016_06.tif,2016,6,0.77,0.2,2.04,99.0,1.79,0,876,0,1972,1096
Agrolandia_2016_05.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2016\Agrolandia_2016_05.tif,2016,5,0.9,0.5,1.62,99.0,1.71,0,876,0,1972,1096
Agrolandia_2016_07.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2016\Agrolandia_2016_07.tif,2016,7,0.66,0.2,1.85,98.45,1.58,6,876,0,1972,1096
Agrolandia_2016_08.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2016\Agrolandia_2016_08.tif,2016,8,0.69,0.2,2.17,99.0,1.78,0,876,0,1972,1096
Agrolandia_2016_09.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2016\Agrolandia_2016_09.tif,2016,9,0.76,0.2,2.48,96.44,2.0,28,876,0,1972,1096
Agrolandia_2016_10.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2016\Agrolandia_2016_10.tif,2016,10,0.97,0.6,1.12,99.0,1.53,0,876,0,1972,1096
Agrolandia_2016_11.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2016\Agrolandia_2016_11.tif,2016,11,0.99,0.5,1.96,96.81,1.97,20,876,0,1972,1096
Agrolandia_2017_01.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2017\Agrolandia_2017_01.tif,2017,1,0.73,0.3,1.95,99.0,1.71,0,876,0,1972,1096
Agrolandia_2016_12.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2016\Agrolandia_2016_12.tif,2016,12,0.82,0.45,1.4,99.0,1.52,0,876,0,1972,1096
Agrolandia_2017_02.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2017\Agrolandia_2017_02.tif,2017,2,0.97,0.4,1.7,98.81,1.83,2,876,0,1972,1096
Agrolandia_2017_03.tif,C:\Users\gtvargas\Documents\Agrolandia_noturna\Raster\Agrolandia_recortes\2017\Agrolandia_2017_03.tif,2017,3,0.69,0.35,1.42,98.54,1.4,5,876,0,1972,1096
