arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Apiuna_2014_03.tif,C:\Users\gtvargas\Documents\Apiuna_noturno\Raster\Apiuna_recorte\2014\Apiuna_2014_03.tif,2014,3,0.6,0.45,1.17,99.8,1.19,5,1420,0,3894,2474
Apiuna_2014_02.tif,C:\Users\gtvargas\Documents\Apiuna_noturno\Raster\Apiuna_recorte\2014\Apiuna_2014_02.tif,2014,2,0.56,0.4,1.43,100.0,1.27,0,1420,0,3894,2474
Apiuna_2014_04.tif,C:\Users\gtvargas\Documents\Apiuna_noturno\Raster\Apiuna_recorte\2014\Apiuna_2014_04.tif,2014,4,0.64,0.5,1.02,100.0,1.14,0,1420,0,3894,2474
Apiuna_2014_01.tif,C:\Users\gtvargas\Documents\Apiuna_noturno\Raster\Apiuna_recorte\2014\Apiuna_2014_01.tif,2014,1,0.55,0.4,1.4,97.9,1.25,52,1420,0,3894,2474
Apiuna_2014_05.tif,C:\Users\gtvargas\Documents\Apiuna_noturno\Raster\Apiuna_recorte\2014\Apiuna_2014_05.tif,2014,5,0.69,0.5,1.65,100.0,1.51,0,1420,0,3894,2474
Apiuna_2014_06.tif,C:\Users\gtvargas\Documents\Apiuna_noturno\Raster\Apiuna_recorte\2014\Apiuna_2014_06.tif,2014,6,0.53,0.3,1.69,100.0,1.38,0,1420,0,3894,2474
Apiuna_2014_07.tif,C:\Users\gtvargas\Documents\Apiuna_noturno\Raster\Apiuna_recorte\2014\Apiuna_2014_07.tif,2014,7,0.52,0.3,1.49,100.0,1.27,0,1420,0,3894,2474
Apiuna_2014_08.tif,C:\Users\gtvargas\Documents\Apiuna_noturno\Raster\Apiuna_recorte\2014\Apiuna_2014_08.tif,2014,8,0.52,0.3,1.62,100.0,1.33,0,1420,0,3894,2474
Apiuna_2014_09.tif,C:\Users\gtvargas\Documents\Apiuna_noturno\Raster\Apiuna_recorte\2014\Apiuna_2014_09.tif,2014,9,0.64,0.5,1.03,100.0,1.15,0,1420,0,3894,2474
Apiuna_2014_10.tif,C:\Users\gtvargas\Documents\Apiuna_noturno\Raster\Apiuna_recorte\2014\Apiuna_2014_10.tif,2014,10,0.69,0.5,0.93,100.0,1.16,0,1420,0,3894,2474
Apiuna_2014_11.tif,C:\Users\gtvargas\Documents\Apiuna_noturno\Raster\Apiuna_recorte\2014\Apiuna_2014_11.tif,2014,11,0.63,0.4,1.63,99.96,1.45,1,1420,0,3894,2474
Apiuna_2014_12.tif,C:\Users\gtvargas\Documents\Apiuna_noturno\Raster\Apiuna_recorte\2014\Apiuna_2014_12.tif,2014,12,0.64,0.5,1.43,99.56,1.35,11,1420,0,3894,2474
Apiuna_2015_02.tif,C:\Users\gtvargas\Documents\Apiuna_noturno\Raster\Apiuna_recorte\2015\Apiuna_2015_02.tif,2015,2,0.57,0.4,1.07,99.92,1.11,2,1420,0,3894,2474
Apiuna_2015_01.tif,C:\Users\gtvargas\Documents\Apiuna_noturno\Raster\Apiuna_recorte\2015\Apiuna_2015_01.tif,2015,1,0.52,0.3,1.92,99.47,1.48,13,1420,0,3894,2474
Apiuna_2015_03.tif,C:\Users\gtvargas\Documents\Apiuna_noturno\Raster\Apiuna_recorte\2015\Apiuna_2015_03.tif,2015,3,0.69,0.5,1.05,100.0,1.22,0,1420,0,3894,2474
