arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Atalanta_2014_01.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2014\Atalanta_2014_01.tif,2014,1,0.49,0.4,0.71,100.0,0.85,0,278,0,775,497
Atalanta_2014_02.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2014\Atalanta_2014_02.tif,2014,2,0.51,0.35,0.95,100.0,0.98,0,278,0,775,497
Atalanta_2014_03.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2014\Atalanta_2014_03.tif,2014,3,0.53,0.4,0.88,100.0,0.97,0,278,0,775,497
Atalanta_2014_05.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2014\Atalanta_2014_05.tif,2014,5,0.61,0.5,0.81,100.0,1.01,0,278,0,775,497
Atalanta_2014_04.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2014\Atalanta_2014_04.tif,2014,4,0.55,0.4,0.69,100.0,0.9,0,278,0,775,497
Atalanta_2014_06.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2014\Atalanta_2014_06.tif,2014,6,0.47,0.3,0.89,100.0,0.91,0,278,0,775,497
Atalanta_2014_07.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2014\Atalanta_2014_07.tif,2014,7,0.46,0.3,0.97,100.0,0.95,0,278,0,775,497
Atalanta_2014_08.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2014\Atalanta_2014_08.tif,2014,8,0.4,0.2,0.95,100.0,0.87,0,278,0,775,497
Atalanta_2014_09.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2014\Atalanta_2014_09.tif,2014,9,0.81,0.7,0.79,100.0,1.2,0,278,0,775,497
Atalanta_2014_10.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2014\Atalanta_2014_10.tif,2014,10,0.66,0.5,1.01,100.0,1.16,0,278,0,775,497
Atalanta_2014_12.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2014\Atalanta_2014_12.tif,2014,12,0.49,0.3,1.56,99.4,1.27,3,278,0,775,497
Atalanta_2015_01.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2015\Atalanta_2015_01.tif,2015,1,0.66,0.5,1.34,99.2,1.33,4,278,0,775,497
Atalanta_2014_11.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2014\Atalanta_2014_11.tif,2014,11,0.62,0.4,1.2,100.0,1.22,0,278,0,775,497
Atalanta_2015_02.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2015\Atalanta_2015_02.tif,2015,2,0.53,0.4,0.9,100.0,0.98,0,278,0,775,497
Atalanta_2015_04.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2015\Atalanta_2015_04.tif,2015,4,0.56,0.4,0.94,100.0,1.03,0,278,0,775,497
Atalanta_2015_05.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2015\Atalanta_2015_05.tif,2015,5,0.65,0.5,0.73,100.0,1.01,0,278,0,775,497
Atalanta_2015_03.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2015\Atalanta_2015_03.tif,2015,3,0.52,0.4,0.74,98.59,0.89,7,278,0,775,497
Atalanta_2015_07.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2015\Atalanta_2015_07.tif,2015,7,0.47,0.3,0.89,98.59,0.92,7,278,0,775,497
Atalanta_2015_06.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2015\Atalanta_2015_06.tif,2015,6,0.58,0.4,1.05,100.0,1.1,0,278,0,775,497
Atalanta_2015_08.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2015\Atalanta_2015_08.tif,2015,8,0.41,0.2,1.36,80.48,1.09,97,278,0,775,497
Atalanta_2015_11.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2015\Atalanta_2015_11.tif,2015,11,0.47,0.4,0.5,99.8,0.72,1,278,0,775,497
Atalanta_2015_09.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2015\Atalanta_2015_09.tif,2015,9,0.44,0.3,0.95,100.0,0.92,0,278,0,775,497
Atalanta_2015_12.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2015\Atalanta_2015_12.tif,2015,12,3.59,2.8,3.36,89.54,5.27,19,278,0,775,497
Atalanta_2015_10.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2015\Atalanta_2015_10.tif,2015,10,1.48,0.8,1.48,96.38,2.22,18,278,0,775,497
Atalanta_2016_01.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2016\Atalanta_2016_01.tif,2016,1,0.4,0.3,0.71,99.2,0.75,4,278,0,775,497
Atalanta_2016_02.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2016\Atalanta_2016_02.tif,2016,2,0.65,0.5,0.84,100.0,1.07,0,278,0,775,497
Atalanta_2016_05.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2016\Atalanta_2016_05.tif,2016,5,0.74,0.6,0.84,100.0,1.16,0,278,0,775,497
Atalanta_2016_04.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2016\Atalanta_2016_04.tif,2016,4,0.66,0.5,0.81,99.8,1.06,1,278,0,775,497
Atalanta_2016_07.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2016\Atalanta_2016_07.tif,2016,7,0.4,0.2,1.01,99.4,0.9,3,278,0,775,497
Atalanta_2016_06.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2016\Atalanta_2016_06.tif,2016,6,0.46,0.25,1.13,100.0,1.02,0,278,0,775,497
Atalanta_2016_03.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2016\Atalanta_2016_03.tif,2016,3,0.59,0.4,1.18,100.0,1.18,0,278,0,775,497
Atalanta_2016_09.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2016\Atalanta_2016_09.tif,2016,9,0.48,0.25,1.32,100.0,1.13,0,278,0,775,497
Atalanta_2016_08.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2016\Atalanta_2016_08.tif,2016,8,0.41,0.2,1.1,100.0,0.96,0,278,0,775,497
Atalanta_2016_10.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2016\Atalanta_2016_10.tif,2016,10,0.66,0.5,0.62,100.0,0.97,0,278,0,775,497
Atalanta_2016_11.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2016\Atalanta_2016_11.tif,2016,11,0.68,0.55,0.9,96.58,1.13,17,278,0,775,497
Atalanta_2017_01.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2017\Atalanta_2017_01.tif,2017,1,0.4,0.3,0.65,100.0,0.73,0,278,0,775,497
Atalanta_2016_12.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2016\Atalanta_2016_12.tif,2016,12,0.59,0.45,0.72,100.0,0.95,0,278,0,775,497
Atalanta_2017_02.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2017\Atalanta_2017_02.tif,2017,2,0.59,0.4,0.93,100.0,1.06,0,278,0,775,497
Atalanta_2017_04.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2017\Atalanta_2017_04.tif,2017,4,0.52,0.4,0.76,100.0,0.9,0,278,0,775,497
Atalanta_2017_03.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2017\Atalanta_2017_03.tif,2017,3,0.47,0.3,0.72,100.0,0.83,0,278,0,775,497
Atalanta_2017_05.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2017\Atalanta_2017_05.tif,2017,5,0.53,0.4,0.92,99.2,0.99,4,278,0,775,497
Atalanta_2017_06.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2017\Atalanta_2017_06.tif,2017,6,0.55,0.4,0.73,100.0,0.92,0,278,0,775,497
Atalanta_2017_07.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2017\Atalanta_2017_07.tif,2017,7,0.42,0.2,1.01,100.0,0.93,0,278,0,775,497
Atalanta_2017_09.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2017\Atalanta_2017_09.tif,2017,9,0.59,0.5,0.72,100.0,0.95,0,278,0,775,497
Atalanta_2017_08.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2017\Atalanta_2017_08.tif,2017,8,0.4,0.2,0.91,100.0,0.85,0,278,0,775,497
Atalanta_2017_10.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2017\Atalanta_2017_10.tif,2017,10,0.54,0.4,0.8,100.0,0.94,0,278,0,775,497
Atalanta_2017_11.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2017\Atalanta_2017_11.tif,2017,11,0.54,0.35,1.01,100.0,1.05,0,278,0,775,497
Atalanta_2017_12.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2017\Atalanta_2017_12.tif,2017,12,0.55,0.4,0.82,100.0,0.96,0,278,0,775,497
Atalanta_2018_01.tif,C:\Users\gtvargas\Documents\Atalanta_noturna\Raster\Atlanta_recorte\2018\Atalanta_2018_01.tif,2018,1,0.42,0.2,1.1,81.29,0.97,93,278,0,775,497
