arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
BRUSQUE_2014_01.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2014\BRUSQUE_2014_01.tif,2014,1,6.0,1.95,9.89,99.66,10.94,5,1647,0,3111,1464
BRUSQUE_2014_03.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2014\BRUSQUE_2014_03.tif,2014,3,5.85,2.0,9.46,100.0,10.58,0,1647,0,3111,1464
BRUSQUE_2014_04.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2014\BRUSQUE_2014_04.tif,2014,4,5.79,2.0,9.15,100.0,10.36,0,1647,0,3111,1464
BRUSQUE_2014_02.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2014\BRUSQUE_2014_02.tif,2014,2,6.19,1.9,9.91,100.0,11.15,0,1647,0,3111,1464
BRUSQUE_2014_06.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2014\BRUSQUE_2014_06.tif,2014,6,6.01,1.6,10.47,100.0,11.24,0,1647,0,3111,1464
BRUSQUE_2014_05.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2014\BRUSQUE_2014_05.tif,2014,5,5.91,1.8,9.94,100.0,10.88,0,1647,0,3111,1464
BRUSQUE_2014_07.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2014\BRUSQUE_2014_07.tif,2014,7,6.37,1.75,10.9,100.0,11.81,0,1647,0,3111,1464
BRUSQUE_2014_08.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2014\BRUSQUE_2014_08.tif,2014,8,5.96,1.4,11.09,100.0,11.5,0,1647,0,3111,1464
BRUSQUE_2014_09.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2014\BRUSQUE_2014_09.tif,2014,9,6.13,2.0,9.96,100.0,11.11,0,1647,0,3111,1464
BRUSQUE_2014_10.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2014\BRUSQUE_2014_10.tif,2014,10,6.38,2.2,10.64,100.0,11.7,0,1647,0,3111,1464
BRUSQUE_2014_11.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2014\BRUSQUE_2014_11.tif,2014,11,6.61,1.8,10.86,99.45,12.04,8,1647,0,3111,1464
BRUSQUE_2014_12.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2014\BRUSQUE_2014_12.tif,2014,12,6.15,2.2,9.28,99.45,10.79,8,1647,0,3111,1464
BRUSQUE_2015_01.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2015\BRUSQUE_2015_01.tif,2015,1,5.89,1.65,9.96,100.0,10.88,0,1647,0,3111,1464
BRUSQUE_2015_02.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2015\BRUSQUE_2015_02.tif,2015,2,5.57,1.75,9.46,100.0,10.3,0,1647,0,3111,1464
BRUSQUE_2015_03.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2015\BRUSQUE_2015_03.tif,2015,3,6.03,2.0,9.5,100.0,10.78,0,1647,0,3111,1464
BRUSQUE_2015_05.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2015\BRUSQUE_2015_05.tif,2015,5,5.65,2.0,8.95,99.93,10.13,1,1647,0,3111,1464
BRUSQUE_2015_04.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2015\BRUSQUE_2015_04.tif,2015,4,6.47,2.0,10.67,100.0,11.8,0,1647,0,3111,1464
BRUSQUE_2015_06.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2015\BRUSQUE_2015_06.tif,2015,6,6.2,1.7,10.55,100.0,11.47,0,1647,0,3111,1464
BRUSQUE_2015_08.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2015\BRUSQUE_2015_08.tif,2015,8,5.82,1.9,10.13,99.32,10.89,10,1647,0,3111,1464
BRUSQUE_2015_07.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2015\BRUSQUE_2015_07.tif,2015,7,6.32,2.0,10.75,100.0,11.69,0,1647,0,3111,1464
BRUSQUE_2015_09.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2015\BRUSQUE_2015_09.tif,2015,9,5.82,1.85,10.22,100.0,10.93,0,1647,0,3111,1464
BRUSQUE_2015_11.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2015\BRUSQUE_2015_11.tif,2015,11,3.95,1.65,6.1,96.93,7.0,0,1647,0,3111,1464
BRUSQUE_2015_10.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2015\BRUSQUE_2015_10.tif,2015,10,6.97,6.3,4.86,91.46,9.4,109,1647,0,3111,1464
BRUSQUE_2016_01.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2016\BRUSQUE_2016_01.tif,2016,1,5.71,1.9,9.19,99.93,10.31,1,1647,0,3111,1464
BRUSQUE_2015_12.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2015\BRUSQUE_2015_12.tif,2015,12,5.2,3.3,5.62,90.92,8.01,4,1647,0,3111,1464
BRUSQUE_2016_04.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2016\BRUSQUE_2016_04.tif,2016,4,6.03,1.8,10.27,100.0,11.17,0,1647,0,3111,1464
BRUSQUE_2016_02.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2016\BRUSQUE_2016_02.tif,2016,2,5.68,2.4,8.49,100.0,9.93,0,1647,0,3111,1464
BRUSQUE_2016_03.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2016\BRUSQUE_2016_03.tif,2016,3,6.33,2.0,10.2,100.0,11.43,0,1647,0,3111,1464
BRUSQUE_2016_05.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2016\BRUSQUE_2016_05.tif,2016,5,5.88,2.0,9.49,100.0,10.62,0,1647,0,3111,1464
BRUSQUE_2016_06.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2016\BRUSQUE_2016_06.tif,2016,6,6.09,1.5,10.72,100.0,11.45,0,1647,0,3111,1464
BRUSQUE_2016_07.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2016\BRUSQUE_2016_07.tif,2016,7,5.88,1.4,10.14,100.0,10.95,0,1647,0,3111,1464
BRUSQUE_2016_08.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2016\BRUSQUE_2016_08.tif,2016,8,6.09,1.45,10.52,100.0,11.35,0,1647,0,3111,1464
BRUSQUE_2016_10.tif,C:\Users\gtvargas\Documents\brusque_noturno\RASTER\BRUSQUE_RECORTE\2016\BRUSQUE_2016_10.tif,2016,10,5.65,2.0,9.13,100.0,10.21,0,1647,0,3111,1464
