arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Barra_Velha_2014_01.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2014\Barra_Velha_2014_01.tif,2014,1,3.01,0.7,6.67,98.52,6.35,0,1062,0,1804,742
Barra_Velha_2014_02.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2014\Barra_Velha_2014_02.tif,2014,2,3.37,0.9,7.01,98.65,6.87,0,1062,0,1804,742
Barra_Velha_2014_03.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2014\Barra_Velha_2014_03.tif,2014,3,3.27,1.1,5.98,98.65,6.26,0,1062,0,1804,742
Barra_Velha_2014_05.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2014\Barra_Velha_2014_05.tif,2014,5,3.0,0.9,6.05,98.52,6.02,0,1062,0,1804,742
Barra_Velha_2014_04.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2014\Barra_Velha_2014_04.tif,2014,4,3.32,1.1,5.94,98.52,6.29,0,1062,0,1804,742
Barra_Velha_2014_06.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2014\Barra_Velha_2014_06.tif,2014,6,3.23,0.65,7.52,98.38,6.98,0,1062,0,1804,742
Barra_Velha_2014_08.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2014\Barra_Velha_2014_08.tif,2014,8,3.53,0.8,7.87,98.52,7.47,0,1062,0,1804,742
Barra_Velha_2014_07.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2014\Barra_Velha_2014_07.tif,2014,7,3.26,0.7,7.01,98.38,6.77,0,1062,0,1804,742
Barra_Velha_2014_10.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2014\Barra_Velha_2014_10.tif,2014,10,3.25,1.2,5.76,98.65,6.12,0,1062,0,1804,742
Barra_Velha_2014_09.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2014\Barra_Velha_2014_09.tif,2014,9,3.51,1.0,6.99,98.65,7.01,0,1062,0,1804,742
Barra_Velha_2014_11.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2014\Barra_Velha_2014_11.tif,2014,11,3.47,0.95,7.08,98.38,7.01,0,1062,0,1804,742
Barra_Velha_2014_12.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2014\Barra_Velha_2014_12.tif,2014,12,3.24,0.9,6.45,98.38,6.46,0,1062,0,1804,742
Barra_Velha_2015_01.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2015\Barra_Velha_2015_01.tif,2015,1,3.44,1.05,5.95,98.52,6.42,0,1062,0,1804,742
Barra_Velha_2015_02.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2015\Barra_Velha_2015_02.tif,2015,2,3.11,0.9,6.05,98.52,6.13,0,1062,0,1804,742
Barra_Velha_2015_03.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2015\Barra_Velha_2015_03.tif,2015,3,3.13,1.1,5.46,98.52,5.86,0,1062,0,1804,742
Barra_Velha_2015_04.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2015\Barra_Velha_2015_04.tif,2015,4,3.58,1.25,6.18,98.38,6.67,0,1062,0,1804,742
Barra_Velha_2015_05.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2015\Barra_Velha_2015_05.tif,2015,5,3.64,1.05,7.05,98.38,7.16,0,1062,0,1804,742
Barra_Velha_2015_06.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2015\Barra_Velha_2015_06.tif,2015,6,3.35,0.8,6.91,98.52,6.8,0,1062,0,1804,742
Barra_Velha_2015_07.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2015\Barra_Velha_2015_07.tif,2015,7,3.38,0.8,6.75,98.52,6.75,0,1062,0,1804,742
Barra_Velha_2015_08.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2015\Barra_Velha_2015_08.tif,2015,8,3.03,0.8,6.79,98.38,6.43,0,1062,0,1804,742
Barra_Velha_2015_09.tif,C:\Users\gtvargas\Documents\Barra_Velha_Noturna\Raster\Barra_Velha_Noturna\2015\Barra_Velha_2015_09.tif,2015,9,2.98,0.9,5.86,98.65,5.91,0,1062,0,1804,742
