arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Bombinhas_2014_01.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2014\Bombinhas_2014_01.tif,2014,1,8.52,3.05,11.4,96.39,14.22,0,831,0,1080,249
Bombinhas_2014_03.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2014\Bombinhas_2014_03.tif,2014,3,8.72,4.2,10.86,96.39,14.15,0,831,0,1080,249
Bombinhas_2014_02.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2014\Bombinhas_2014_02.tif,2014,2,9.1,4.7,11.76,96.39,14.98,0,831,0,1080,249
Bombinhas_2014_04.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2014\Bombinhas_2014_04.tif,2014,4,9.32,3.23,12.89,96.39,15.77,0,831,0,1080,249
Bombinhas_2014_06.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2014\Bombinhas_2014_06.tif,2014,6,9.49,2.25,13.34,96.39,16.16,0,831,0,1080,249
Bombinhas_2014_05.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2014\Bombinhas_2014_05.tif,2014,5,9.3,3.2,12.13,95.98,15.36,0,831,0,1080,249
Bombinhas_2014_07.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2014\Bombinhas_2014_07.tif,2014,7,8.18,3.75,10.29,96.39,13.33,0,831,0,1080,249
Bombinhas_2014_08.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2014\Bombinhas_2014_08.tif,2014,8,9.18,4.43,11.31,96.39,14.83,0,831,0,1080,249
Bombinhas_2014_09.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2014\Bombinhas_2014_09.tif,2014,9,9.01,5.6,9.96,95.98,13.99,0,831,0,1080,249
Bombinhas_2014_11.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2014\Bombinhas_2014_11.tif,2014,11,8.54,4.95,9.45,95.98,13.26,0,831,0,1080,249
Bombinhas_2014_10.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2014\Bombinhas_2014_10.tif,2014,10,8.63,5.5,9.21,96.39,13.23,0,831,0,1080,249
Bombinhas_2014_12.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2014\Bombinhas_2014_12.tif,2014,12,8.59,5.35,8.93,94.78,13.06,3,831,0,1080,249
Bombinhas_2015_01.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2015\Bombinhas_2015_01.tif,2015,1,9.98,3.5,13.29,95.98,16.62,0,831,0,1080,249
Bombinhas_2015_02.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2015\Bombinhas_2015_02.tif,2015,2,9.07,6.43,9.37,94.78,13.76,0,831,0,1080,249
Bombinhas_2015_04.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2015\Bombinhas_2015_04.tif,2015,4,10.92,4.25,13.92,95.98,17.88,0,831,0,1080,249
Bombinhas_2015_05.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2015\Bombinhas_2015_05.tif,2015,5,8.39,4.0,10.26,95.98,13.52,0,831,0,1080,249
Bombinhas_2015_03.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2015\Bombinhas_2015_03.tif,2015,3,9.43,4.4,11.23,95.58,15.05,0,831,0,1080,249
Bombinhas_2015_06.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2015\Bombinhas_2015_06.tif,2015,6,9.21,3.25,11.74,96.39,15.09,0,831,0,1080,249
Bombinhas_2015_07.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2015\Bombinhas_2015_07.tif,2015,7,9.08,4.18,10.97,96.39,14.56,0,831,0,1080,249
Bombinhas_2015_08.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2015\Bombinhas_2015_08.tif,2015,8,7.18,3.45,7.97,96.39,11.16,0,831,0,1080,249
Bombinhas_2015_09.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2015\Bombinhas_2015_09.tif,2015,9,7.33,4.75,7.62,95.98,11.14,0,831,0,1080,249
Bombinhas_2015_11.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2015\Bombinhas_2015_11.tif,2015,11,3.22,2.25,3.07,95.58,4.76,0,831,0,1080,249
Bombinhas_2015_10.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2015\Bombinhas_2015_10.tif,2015,10,4.59,4.58,3.1,95.58,6.14,0,831,0,1080,249
Bombinhas_2015_12.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2015\Bombinhas_2015_12.tif,2015,12,4.55,3.48,4.15,93.98,6.62,1,831,0,1080,249
Bombinhas_2016_01.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2016\Bombinhas_2016_01.tif,2016,1,8.53,3.65,10.15,96.39,13.61,0,831,0,1080,249
Bombinhas_2016_02.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2016\Bombinhas_2016_02.tif,2016,2,7.8,5.35,8.25,95.58,11.93,2,831,0,1080,249
Bombinhas_2016_03.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2016\Bombinhas_2016_03.tif,2016,3,9.51,3.4,12.38,95.58,15.7,0,831,0,1080,249
Bombinhas_2016_04.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2016\Bombinhas_2016_04.tif,2016,4,8.28,3.6,9.45,96.39,13.0,0,831,0,1080,249
Bombinhas_2016_05.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2016\Bombinhas_2016_05.tif,2016,5,7.35,3.1,9.44,95.98,12.07,0,831,0,1080,249
Bombinhas_2016_09.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2016\Bombinhas_2016_09.tif,2016,9,8.27,4.43,9.38,96.39,12.96,0,831,0,1080,249
Bombinhas_2016_07.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2016\Bombinhas_2016_07.tif,2016,7,7.26,2.7,9.39,96.39,11.95,0,831,0,1080,249
Bombinhas_2016_08.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2016\Bombinhas_2016_08.tif,2016,8,8.59,3.0,11.18,95.18,14.18,0,831,0,1080,249
Bombinhas_2016_06.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2016\Bombinhas_2016_06.tif,2016,6,6.75,3.1,7.89,96.39,10.69,0,831,0,1080,249
Bombinhas_2016_11.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2016\Bombinhas_2016_11.tif,2016,11,7.29,4.85,7.49,96.39,11.03,0,831,0,1080,249
Bombinhas_2016_12.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2016\Bombinhas_2016_12.tif,2016,12,7.19,3.55,8.57,96.39,11.47,0,831,0,1080,249
Bombinhas_2017_01.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2017\Bombinhas_2017_01.tif,2017,1,9.67,2.9,12.37,96.39,15.85,0,831,0,1080,249
Bombinhas_2016_10.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2016\Bombinhas_2016_10.tif,2016,10,6.7,4.75,6.62,95.98,10.01,0,831,0,1080,249
Bombinhas_2017_03.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2017\Bombinhas_2017_03.tif,2017,3,8.67,3.93,11.03,96.39,14.18,0,831,0,1080,249
Bombinhas_2017_04.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2017\Bombinhas_2017_04.tif,2017,4,10.27,3.65,13.1,95.58,16.82,0,831,0,1080,249
Bombinhas_2017_02.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2017\Bombinhas_2017_02.tif,2017,2,8.48,4.25,10.68,95.58,13.82,0,831,0,1080,249
Bombinhas_2017_07.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2017\Bombinhas_2017_07.tif,2017,7,9.01,4.2,10.1,96.39,14.06,0,831,0,1080,249
Bombinhas_2017_06.tif,C:\Users\gtvargas\Documents\Bombinhas_noturna\Raster\Bombinhas_recorte\2017\Bombinhas_2017_06.tif,2017,6,7.35,4.22,8.57,96.39,11.64,0,831,0,1080,249
