arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Braco_Do_Trambudo_2014_01.tif,C:\Users\gtvargas\Documents\Braco_Do_Trombudo_noturno\Raster\Braco_Do_Trombudo_recortes\2014\Braco_Do_Trambudo_2014_01.tif,2014,1,0.72,0.5,0.99,100.0,1.21,0,237,0,713,476
Braco_Do_Trambudo_2014_02.tif,C:\Users\gtvargas\Documents\Braco_Do_Trombudo_noturno\Raster\Braco_Do_Trombudo_recortes\2014\Braco_Do_Trambudo_2014_02.tif,2014,2,0.73,0.4,1.43,100.0,1.44,0,237,0,713,476
Braco_Do_Trambudo_2014_03.tif,C:\Users\gtvargas\Documents\Braco_Do_Trombudo_noturno\Raster\Braco_Do_Trombudo_recortes\2014\Braco_Do_Trambudo_2014_03.tif,2014,3,0.74,0.4,1.68,100.0,1.58,0,237,0,713,476
Braco_Do_Trambudo_2014_05.tif,C:\Users\gtvargas\Documents\Braco_Do_Trombudo_noturno\Raster\Braco_Do_Trombudo_recortes\2014\Braco_Do_Trambudo_2014_05.tif,2014,5,0.82,0.6,0.93,100.0,1.28,0,237,0,713,476
Braco_Do_Trambudo_2014_04.tif,C:\Users\gtvargas\Documents\Braco_Do_Trombudo_noturno\Raster\Braco_Do_Trombudo_recortes\2014\Braco_Do_Trambudo_2014_04.tif,2014,4,0.75,0.5,1.02,100.0,1.26,0,237,0,713,476
Braco_Do_Trambudo_2014_06.tif,C:\Users\gtvargas\Documents\Braco_Do_Trombudo_noturno\Raster\Braco_Do_Trombudo_recortes\2014\Braco_Do_Trambudo_2014_06.tif,2014,6,0.66,0.3,1.54,100.0,1.43,0,237,0,713,476
Braco_Do_Trambudo_2014_08.tif,C:\Users\gtvargas\Documents\Braco_Do_Trombudo_noturno\Raster\Braco_Do_Trombudo_recortes\2014\Braco_Do_Trambudo_2014_08.tif,2014,8,0.62,0.2,1.53,100.0,1.39,0,237,0,713,476
Braco_Do_Trambudo_2014_09.tif,C:\Users\gtvargas\Documents\Braco_Do_Trombudo_noturno\Raster\Braco_Do_Trombudo_recortes\2014\Braco_Do_Trambudo_2014_09.tif,2014,9,0.85,0.55,1.12,100.0,1.41,0,237,0,713,476
Braco_Do_Trambudo_2014_07.tif,C:\Users\gtvargas\Documents\Braco_Do_Trombudo_noturno\Raster\Braco_Do_Trombudo_recortes\2014\Braco_Do_Trambudo_2014_07.tif,2014,7,0.67,0.25,1.62,100.0,1.48,0,237,0,713,476
Braco_Do_Trambudo_2014_10.tif,C:\Users\gtvargas\Documents\Braco_Do_Trombudo_noturno\Raster\Braco_Do_Trombudo_recortes\2014\Braco_Do_Trambudo_2014_10.tif,2014,10,0.83,0.55,1.05,100.0,1.36,0,237,0,713,476
