arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Chapadao_Do_Lageado_2014_01.tif,C:\Users\gtvargas\Documents\Chapadao_Do_Lageado_Noturno\Raster\Chapadao_Do_Lageado_recortes\2014\Chapadao_Do_Lageado_2014_01.tif,2014,1,0.39,0.3,0.43,99.39,0.61,0,709,0,1369,660
Chapadao_Do_Lageado_2014_02.tif,C:\Users\gtvargas\Documents\Chapadao_Do_Lageado_Noturno\Raster\Chapadao_Do_Lageado_recortes\2014\Chapadao_Do_Lageado_2014_02.tif,2014,2,0.38,0.3,0.56,99.39,0.66,0,709,0,1369,660
Chapadao_Do_Lageado_2014_03.tif,C:\Users\gtvargas\Documents\Chapadao_Do_Lageado_Noturno\Raster\Chapadao_Do_Lageado_recortes\2014\Chapadao_Do_Lageado_2014_03.tif,2014,3,0.41,0.35,0.61,99.09,0.72,2,709,0,1369,660
Chapadao_Do_Lageado_2014_04.tif,C:\Users\gtvargas\Documents\Chapadao_Do_Lageado_Noturno\Raster\Chapadao_Do_Lageado_recortes\2014\Chapadao_Do_Lageado_2014_04.tif,2014,4,0.51,0.4,0.62,99.39,0.82,0,709,0,1369,660
Chapadao_Do_Lageado_2014_05.tif,C:\Users\gtvargas\Documents\Chapadao_Do_Lageado_Noturno\Raster\Chapadao_Do_Lageado_recortes\2014\Chapadao_Do_Lageado_2014_05.tif,2014,5,0.49,0.4,0.58,99.39,0.78,0,709,0,1369,660
Chapadao_Do_Lageado_2014_06.tif,C:\Users\gtvargas\Documents\Chapadao_Do_Lageado_Noturno\Raster\Chapadao_Do_Lageado_recortes\2014\Chapadao_Do_Lageado_2014_06.tif,2014,6,0.4,0.3,0.48,99.39,0.64,0,709,0,1369,660
Chapadao_Do_Lageado_2014_07.tif,C:\Users\gtvargas\Documents\Chapadao_Do_Lageado_Noturno\Raster\Chapadao_Do_Lageado_recortes\2014\Chapadao_Do_Lageado_2014_07.tif,2014,7,0.37,0.2,0.72,99.39,0.72,0,709,0,1369,660
Chapadao_Do_Lageado_2014_08.tif,C:\Users\gtvargas\Documents\Chapadao_Do_Lageado_Noturno\Raster\Chapadao_Do_Lageado_recortes\2014\Chapadao_Do_Lageado_2014_08.tif,2014,8,0.3,0.2,0.59,99.39,0.6,0,709,0,1369,660
Chapadao_Do_Lageado_2014_09.tif,C:\Users\gtvargas\Documents\Chapadao_Do_Lageado_Noturno\Raster\Chapadao_Do_Lageado_recortes\2014\Chapadao_Do_Lageado_2014_09.tif,2014,9,0.67,0.6,0.75,99.39,1.05,0,709,0,1369,660
Chapadao_Do_Lageado_2014_10.tif,C:\Users\gtvargas\Documents\Chapadao_Do_Lageado_Noturno\Raster\Chapadao_Do_Lageado_recortes\2014\Chapadao_Do_Lageado_2014_10.tif,2014,10,0.56,0.45,0.71,99.24,0.91,1,709,0,1369,660
