arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Itajai_2014_01.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2014\Itajai_2014_01.tif,2014,1,11.02,2.1,22.03,99.8,22.03,0,1857,0,3348,1491
Itajai_2014_02.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2014\Itajai_2014_02.tif,2014,2,12.1,2.7,23.86,99.8,24.03,0,1857,0,3348,1491
Itajai_2014_03.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2014\Itajai_2014_03.tif,2014,3,11.74,2.55,22.98,99.87,23.23,0,1857,1,3348,1491
Itajai_2014_04.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2014\Itajai_2014_04.tif,2014,4,10.98,2.65,20.48,99.87,21.22,0,1857,1,3348,1491
Itajai_2014_06.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2014\Itajai_2014_06.tif,2014,6,11.66,1.8,24.01,99.87,23.67,0,1857,0,3348,1491
Itajai_2014_05.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2014\Itajai_2014_05.tif,2014,5,11.5,2.25,23.12,99.87,23.06,0,1857,0,3348,1491
Itajai_2014_08.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2014\Itajai_2014_08.tif,2014,8,13.26,1.95,27.01,99.87,26.77,0,1857,1,3348,1491
Itajai_2014_09.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2014\Itajai_2014_09.tif,2014,9,12.67,2.5,24.38,99.87,24.86,0,1857,0,3348,1491
Itajai_2014_07.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2014\Itajai_2014_07.tif,2014,7,12.05,1.95,24.02,99.87,24.06,0,1857,0,3348,1491
Itajai_2014_10.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2014\Itajai_2014_10.tif,2014,10,11.94,3.2,19.65,99.87,21.76,0,1857,0,3348,1491
Itajai_2014_11.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2014\Itajai_2014_11.tif,2014,11,12.92,2.5,23.93,99.87,24.89,0,1857,0,3348,1491
Itajai_2015_01.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2015\Itajai_2015_01.tif,2015,1,12.29,2.3,22.88,99.87,23.73,0,1857,0,3348,1491
Itajai_2014_12.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2014\Itajai_2014_12.tif,2014,12,12.63,2.7,22.97,99.87,24.11,0,1857,0,3348,1491
Itajai_2015_04.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2015\Itajai_2015_04.tif,2015,4,12.95,2.55,24.88,99.87,25.39,0,1857,0,3348,1491
Itajai_2015_02.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2015\Itajai_2015_02.tif,2015,2,12.01,2.4,22.8,99.87,23.41,0,1857,0,3348,1491
Itajai_2015_03.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2015\Itajai_2015_03.tif,2015,3,12.57,2.5,24.32,99.87,24.73,0,1857,0,3348,1491
Itajai_2015_05.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2015\Itajai_2015_05.tif,2015,5,12.42,2.35,24.6,99.87,24.72,0,1857,1,3348,1491
Itajai_2015_07.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2015\Itajai_2015_07.tif,2015,7,13.5,2.2,26.93,99.87,26.96,0,1857,1,3348,1491
Itajai_2015_06.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2015\Itajai_2015_06.tif,2015,6,12.59,2.1,25.29,99.87,25.24,0,1857,2,3348,1491
Itajai_2015_08.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2015\Itajai_2015_08.tif,2015,8,11.9,2.5,25.62,99.87,24.71,0,1857,2,3348,1491
Itajai_2015_09.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2015\Itajai_2015_09.tif,2015,9,11.38,2.5,21.1,99.87,21.93,0,1857,0,3348,1491
Itajai_2015_10.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2015\Itajai_2015_10.tif,2015,10,9.35,7.2,8.53,90.61,13.62,134,1857,0,3348,1491
Itajai_2015_11.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2015\Itajai_2015_11.tif,2015,11,8.03,1.9,13.09,99.8,14.58,0,1857,0,3348,1491
Itajai_2015_12.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2015\Itajai_2015_12.tif,2015,12,8.49,2.7,13.93,99.46,15.46,3,1857,0,3348,1491
Itajai_2016_02.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2016\Itajai_2016_02.tif,2016,2,10.72,2.9,18.86,99.87,20.16,0,1857,0,3348,1491
Itajai_2016_01.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2016\Itajai_2016_01.tif,2016,1,11.7,2.3,21.75,99.87,22.57,0,1857,0,3348,1491
Itajai_2016_03.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2016\Itajai_2016_03.tif,2016,3,12.77,2.5,24.04,99.87,24.79,0,1857,0,3348,1491
Itajai_2016_04.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2016\Itajai_2016_04.tif,2016,4,11.59,2.4,21.63,99.87,22.41,0,1857,0,3348,1491
Itajai_2016_05.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2016\Itajai_2016_05.tif,2016,5,12.0,2.2,22.51,99.87,23.26,0,1857,0,3348,1491
Itajai_2016_06.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2016\Itajai_2016_06.tif,2016,6,12.55,2.0,25.63,99.87,25.36,0,1857,1,3348,1491
Itajai_2016_08.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2016\Itajai_2016_08.tif,2016,8,12.1,1.9,23.7,99.87,23.95,0,1857,0,3348,1491
Itajai_2016_07.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2016\Itajai_2016_07.tif,2016,7,12.22,2.0,24.08,99.87,24.26,0,1857,0,3348,1491
Itajai_2016_09.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2016\Itajai_2016_09.tif,2016,9,11.71,2.45,20.31,99.87,21.86,0,1857,0,3348,1491
Itajai_2016_11.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2016\Itajai_2016_11.tif,2016,11,11.8,3.6,19.44,99.87,21.52,0,1857,0,3348,1491
Itajai_2016_12.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2016\Itajai_2016_12.tif,2016,12,11.02,2.65,19.37,99.87,20.71,0,1857,0,3348,1491
Itajai_2016_10.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2016\Itajai_2016_10.tif,2016,10,10.37,2.85,16.36,99.87,18.54,0,1857,0,3348,1491
Itajai_2017_02.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2017\Itajai_2017_02.tif,2017,2,11.63,2.7,20.47,99.87,21.87,0,1857,0,3348,1491
Itajai_2017_01.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2017\Itajai_2017_01.tif,2017,1,11.7,2.4,21.67,99.87,22.53,0,1857,0,3348,1491
Itajai_2017_03.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2017\Itajai_2017_03.tif,2017,3,9.41,2.15,17.42,99.87,18.12,0,1857,0,3348,1491
Itajai_2017_06.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2017\Itajai_2017_06.tif,2017,6,10.75,2.1,21.42,99.26,21.47,9,1857,1,3348,1491
Itajai_2017_05.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2017\Itajai_2017_05.tif,2017,5,10.13,2.65,18.97,99.87,19.62,0,1857,0,3348,1491
Itajai_2017_04.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2017\Itajai_2017_04.tif,2017,4,11.63,2.45,22.61,99.87,22.94,0,1857,0,3348,1491
Itajai_2017_07.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2017\Itajai_2017_07.tif,2017,7,11.19,2.7,20.09,99.87,21.23,0,1857,0,3348,1491
Itajai_2017_08.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2017\Itajai_2017_08.tif,2017,8,9.65,2.5,16.19,99.87,17.74,0,1857,0,3348,1491
Itajai_2017_11.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2017\Itajai_2017_11.tif,2017,11,10.88,2.6,19.26,99.87,20.51,0,1857,0,3348,1491
Itajai_2017_10.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2017\Itajai_2017_10.tif,2017,10,10.98,2.5,20.4,99.87,21.18,0,1857,0,3348,1491
Itajai_2017_09.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2017\Itajai_2017_09.tif,2017,9,8.59,3.3,11.93,99.87,14.56,0,1857,0,3348,1491
Itajai_2017_12.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2017\Itajai_2017_12.tif,2017,12,10.99,3.7,17.77,99.73,19.88,2,1857,0,3348,1491
Itajai_2018_01.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2018\Itajai_2018_01.tif,2018,1,12.39,2.55,24.57,99.8,24.67,1,1857,2,3348,1491
Itajai_2018_02.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2018\Itajai_2018_02.tif,2018,2,11.59,2.85,20.79,99.87,21.99,0,1857,0,3348,1491
Itajai_2018_03.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2018\Itajai_2018_03.tif,2018,3,8.95,2.25,14.31,99.73,16.1,2,1857,0,3348,1491
Itajai_2018_04.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2018\Itajai_2018_04.tif,2018,4,12.1,2.2,22.51,99.87,23.35,0,1857,0,3348,1491
Itajai_2018_05.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2018\Itajai_2018_05.tif,2018,5,10.69,2.8,17.72,99.87,19.54,0,1857,0,3348,1491
Itajai_2018_08.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2018\Itajai_2018_08.tif,2018,8,11.54,2.7,20.17,99.87,21.63,0,1857,0,3348,1491
Itajai_2018_09.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2018\Itajai_2018_09.tif,2018,9,11.03,2.95,18.5,99.87,20.28,0,1857,0,3348,1491
Itajai_2018_06.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2018\Itajai_2018_06.tif,2018,6,10.47,2.3,19.09,99.87,20.01,0,1857,0,3348,1491
Itajai_2018_07.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2018\Itajai_2018_07.tif,2018,7,10.64,2.8,17.55,99.87,19.41,0,1857,0,3348,1491
Itajai_2018_10.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2018\Itajai_2018_10.tif,2018,10,9.53,3.58,14.8,99.53,16.93,2,1857,0,3348,1491
Itajai_2018_11.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2018\Itajai_2018_11.tif,2018,11,10.2,2.7,17.48,99.87,18.94,0,1857,0,3348,1491
Itajai_2018_12.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2018\Itajai_2018_12.tif,2018,12,11.4,2.9,19.6,99.87,21.2,0,1857,0,3348,1491
Itajai_2019_01.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2019\Itajai_2019_01.tif,2019,1,12.31,2.7,23.29,99.87,23.96,0,1857,0,3348,1491
Itajai_2019_02.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2019\Itajai_2019_02.tif,2019,2,11.7,2.9,22.25,99.87,22.82,0,1857,0,3348,1491
Itajai_2019_03.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2019\Itajai_2019_03.tif,2019,3,10.62,3.3,17.11,99.87,19.18,0,1857,0,3348,1491
Itajai_2019_06.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2019\Itajai_2019_06.tif,2019,6,11.44,3.2,20.38,99.87,21.63,0,1857,0,3348,1491
Itajai_2019_05.tif,C:\Users\gtvargas\Documents\Itajai_noturno\Raster\Itajai_recorte\2019\Itajai_2019_05.tif,2019,5,12.03,2.8,21.83,99.87,22.94,0,1857,0,3348,1491
