arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Itapema_2014_01.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2014\Itapema_2014_01.tif,2014,1,12.45,2.4,19.79,97.88,22.35,0,222,0,552,330
Itapema_2014_03.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2014\Itapema_2014_03.tif,2014,3,10.24,2.7,15.0,97.88,17.74,0,222,0,552,330
Itapema_2014_02.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2014\Itapema_2014_02.tif,2014,2,12.6,2.6,19.63,97.88,22.42,0,222,0,552,330
Itapema_2014_04.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2014\Itapema_2014_04.tif,2014,4,11.88,2.9,18.64,97.88,21.19,0,222,0,552,330
Itapema_2014_05.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2014\Itapema_2014_05.tif,2014,5,12.29,2.9,19.67,97.88,22.12,0,222,0,552,330
Itapema_2014_06.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2014\Itapema_2014_06.tif,2014,6,12.38,2.5,20.5,97.88,22.63,0,222,0,552,330
Itapema_2014_07.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2014\Itapema_2014_07.tif,2014,7,11.57,2.8,17.58,97.88,20.36,0,222,0,552,330
Itapema_2014_08.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2014\Itapema_2014_08.tif,2014,8,12.8,2.5,20.59,97.88,23.1,0,222,0,552,330
Itapema_2014_09.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2014\Itapema_2014_09.tif,2014,9,11.82,3.3,17.58,97.88,20.61,0,222,0,552,330
Itapema_2014_10.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2014\Itapema_2014_10.tif,2014,10,10.53,3.7,14.81,97.88,17.93,0,222,0,552,330
Itapema_2014_11.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2014\Itapema_2014_11.tif,2014,11,12.39,2.7,18.9,97.88,21.84,0,222,0,552,330
Itapema_2015_02.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2015\Itapema_2015_02.tif,2015,2,9.16,3.25,12.09,97.88,15.2,0,222,0,552,330
Itapema_2015_01.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2015\Itapema_2015_01.tif,2015,1,10.96,3.1,16.02,97.88,18.97,0,222,0,552,330
Itapema_2014_12.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2014\Itapema_2014_12.tif,2014,12,10.07,3.55,13.45,97.88,16.79,0,222,0,552,330
Itapema_2015_05.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2015\Itapema_2015_05.tif,2015,5,11.05,3.1,16.49,97.88,19.3,0,222,0,552,330
Itapema_2015_03.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2015\Itapema_2015_03.tif,2015,3,10.81,3.3,15.23,97.88,18.43,0,222,0,552,330
Itapema_2015_04.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2015\Itapema_2015_04.tif,2015,4,11.71,3.05,17.36,97.88,20.39,0,222,0,552,330
Itapema_2015_06.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2015\Itapema_2015_06.tif,2015,6,11.59,2.45,17.61,97.88,20.39,0,222,0,552,330
Itapema_2015_09.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2015\Itapema_2015_09.tif,2015,9,10.62,3.2,15.36,97.88,18.3,0,222,0,552,330
Itapema_2015_08.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2015\Itapema_2015_08.tif,2015,8,10.2,2.95,15.55,97.88,17.97,0,222,0,552,330
Itapema_2015_07.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2015\Itapema_2015_07.tif,2015,7,11.24,3.0,16.1,97.88,19.29,0,222,0,552,330
Itapema_2016_01.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2016\Itapema_2016_01.tif,2016,1,11.93,2.55,18.4,97.88,21.13,0,222,0,552,330
Itapema_2015_11.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2015\Itapema_2015_11.tif,2015,11,6.36,2.1,10.4,97.88,11.56,0,222,0,552,330
Itapema_2015_10.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2015\Itapema_2015_10.tif,2015,10,7.26,5.4,6.09,97.88,10.31,0,222,0,552,330
Itapema_2015_12.tif,C:\Users\gtvargas\Documents\Itapema_noturna\Raster\Itapema_recorte\2015\Itapema_2015_12.tif,2015,12,8.79,4.05,11.79,97.88,14.69,0,222,0,552,330
