arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Laurentino_2014_03.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2014\Laurentino_2014_03.tif,2014,3,1.14,0.6,1.69,100.0,1.99,0,315,0,754,439
Laurentino_2014_02.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2014\Laurentino_2014_02.tif,2014,2,1.17,0.6,1.98,100.0,2.16,0,315,0,754,439
Laurentino_2014_01.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2014\Laurentino_2014_01.tif,2014,1,1.2,0.6,1.98,100.0,2.19,0,315,0,754,439
Laurentino_2014_04.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2014\Laurentino_2014_04.tif,2014,4,1.3,0.7,1.99,100.0,2.29,0,315,0,754,439
Laurentino_2014_06.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2014\Laurentino_2014_06.tif,2014,6,1.18,0.55,2.03,100.0,2.2,0,315,0,754,439
Laurentino_2014_05.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2014\Laurentino_2014_05.tif,2014,5,1.22,0.8,1.24,100.0,1.84,0,315,0,754,439
Laurentino_2014_07.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2014\Laurentino_2014_07.tif,2014,7,1.04,0.5,1.62,100.0,1.85,0,315,0,754,439
Laurentino_2014_08.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2014\Laurentino_2014_08.tif,2014,8,1.17,0.45,2.16,100.0,2.25,0,315,0,754,439
Laurentino_2014_10.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2014\Laurentino_2014_10.tif,2014,10,1.36,0.8,1.64,100.0,2.18,0,315,0,754,439
Laurentino_2014_09.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2014\Laurentino_2014_09.tif,2014,9,1.44,0.8,1.91,100.0,2.4,0,315,0,754,439
Laurentino_2014_11.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2014\Laurentino_2014_11.tif,2014,11,1.3,0.7,1.86,100.0,2.23,0,315,0,754,439
Laurentino_2014_12.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2014\Laurentino_2014_12.tif,2014,12,1.09,0.55,1.96,99.54,2.07,2,315,0,754,439
Laurentino_2015_01.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2015\Laurentino_2015_01.tif,2015,1,1.21,0.7,1.71,100.0,2.07,0,315,0,754,439
Laurentino_2015_02.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2015\Laurentino_2015_02.tif,2015,2,1.22,0.6,1.89,100.0,2.16,0,315,0,754,439
Laurentino_2015_03.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2015\Laurentino_2015_03.tif,2015,3,1.16,0.7,1.61,100.0,1.97,0,315,0,754,439
Laurentino_2015_04.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2015\Laurentino_2015_04.tif,2015,4,1.11,0.6,1.88,99.77,2.05,1,315,0,754,439
Laurentino_2015_05.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2015\Laurentino_2015_05.tif,2015,5,1.18,0.8,1.24,100.0,1.8,0,315,0,754,439
Laurentino_2015_06.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2015\Laurentino_2015_06.tif,2015,6,0.98,0.6,1.14,100.0,1.55,0,315,0,754,439
Laurentino_2015_07.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2015\Laurentino_2015_07.tif,2015,7,1.2,0.5,2.1,98.63,2.25,0,315,0,754,439
Laurentino_2015_08.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2015\Laurentino_2015_08.tif,2015,8,1.14,0.4,2.4,91.57,2.34,37,315,0,754,439
Laurentino_2015_09.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2015\Laurentino_2015_09.tif,2015,9,1.21,0.5,2.33,100.0,2.38,0,315,0,754,439
Laurentino_2015_10.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2015\Laurentino_2015_10.tif,2015,10,1.65,0.6,2.15,97.95,2.72,9,315,0,754,439
Laurentino_2015_11.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2015\Laurentino_2015_11.tif,2015,11,1.0,0.7,1.26,100.0,1.63,0,315,0,754,439
Laurentino_2015_12.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2015\Laurentino_2015_12.tif,2015,12,1.07,0.7,1.15,98.63,1.64,0,315,0,754,439
Laurentino_2016_01.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2016\Laurentino_2016_01.tif,2016,1,1.1,0.55,1.75,100.0,1.97,0,315,0,754,439
Laurentino_2016_02.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2016\Laurentino_2016_02.tif,2016,2,1.38,0.8,1.86,100.0,2.31,0,315,0,754,439
Laurentino_2016_03.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2016\Laurentino_2016_03.tif,2016,3,1.4,0.7,2.38,100.0,2.59,0,315,0,754,439
Laurentino_2016_04.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2016\Laurentino_2016_04.tif,2016,4,1.31,0.6,2.13,99.77,2.38,1,315,0,754,439
Laurentino_2016_05.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2016\Laurentino_2016_05.tif,2016,5,1.25,0.7,1.77,100.0,2.13,0,315,0,754,439
Laurentino_2016_06.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2016\Laurentino_2016_06.tif,2016,6,1.11,0.5,2.06,100.0,2.14,0,315,0,754,439
Laurentino_2016_07.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2016\Laurentino_2016_07.tif,2016,7,1.19,0.4,2.69,100.0,2.54,0,315,0,754,439
Laurentino_2016_08.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2016\Laurentino_2016_08.tif,2016,8,1.09,0.4,2.37,100.0,2.27,0,315,0,754,439
Laurentino_2016_10.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2016\Laurentino_2016_10.tif,2016,10,1.34,0.6,2.57,99.32,2.63,0,315,0,754,439
Laurentino_2016_09.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2016\Laurentino_2016_09.tif,2016,9,1.2,0.5,2.24,100.0,2.32,0,315,0,754,439
Laurentino_2016_11.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2016\Laurentino_2016_11.tif,2016,11,1.35,0.7,2.15,100.0,2.43,0,315,0,754,439
Laurentino_2016_12.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2016\Laurentino_2016_12.tif,2016,12,1.31,0.7,1.99,100.0,2.3,0,315,0,754,439
Laurentino_2017_02.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2017\Laurentino_2017_02.tif,2017,2,1.25,0.6,2.15,100.0,2.33,0,315,0,754,439
Laurentino_2017_01.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2017\Laurentino_2017_01.tif,2017,1,1.15,0.55,1.83,99.77,2.07,1,315,0,754,439
Laurentino_2017_03.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2017\Laurentino_2017_03.tif,2017,3,1.18,0.6,2.01,100.0,2.19,0,315,0,754,439
Laurentino_2017_04.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2017\Laurentino_2017_04.tif,2017,4,1.25,0.6,2.41,100.0,2.45,0,315,0,754,439
Laurentino_2017_05.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2017\Laurentino_2017_05.tif,2017,5,1.18,0.55,1.97,100.0,2.16,0,315,0,754,439
Laurentino_2017_06.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2017\Laurentino_2017_06.tif,2017,6,1.3,0.7,1.72,100.0,2.16,0,315,0,754,439
Laurentino_2017_07.tif,C:\Users\gtvargas\Documents\Laurentino_Noturno\Raster\Laurentino_recortes\2017\Laurentino_2017_07.tif,2017,7,1.22,0.5,1.95,100.0,2.2,0,315,0,754,439
