arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Luiz_Alves_2014_01.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2014\Luiz_Alves_2014_01.tif,2014,1,1.08,0.5,2.24,97.84,2.2,23,1153,0,2496,1343
Luiz_Alves_2014_02.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2014\Luiz_Alves_2014_02.tif,2014,2,1.31,0.7,1.97,99.55,2.29,0,1153,0,2496,1343
Luiz_Alves_2014_03.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2014\Luiz_Alves_2014_03.tif,2014,3,1.24,0.75,1.88,99.55,2.18,0,1153,0,2496,1343
Luiz_Alves_2014_04.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2014\Luiz_Alves_2014_04.tif,2014,4,1.27,0.8,1.85,99.55,2.19,0,1153,0,2496,1343
Luiz_Alves_2014_05.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2014\Luiz_Alves_2014_05.tif,2014,5,1.25,0.7,1.92,99.55,2.21,0,1153,0,2496,1343
Luiz_Alves_2014_06.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2014\Luiz_Alves_2014_06.tif,2014,6,1.14,0.5,2.25,99.55,2.27,0,1153,0,2496,1343
Luiz_Alves_2014_07.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2014\Luiz_Alves_2014_07.tif,2014,7,1.32,0.6,2.44,99.55,2.54,0,1153,0,2496,1343
Luiz_Alves_2014_08.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2014\Luiz_Alves_2014_08.tif,2014,8,1.26,0.6,2.4,99.55,2.46,0,1153,0,2496,1343
Luiz_Alves_2014_09.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2014\Luiz_Alves_2014_09.tif,2014,9,1.34,0.75,2.06,99.55,2.36,0,1153,0,2496,1343
Luiz_Alves_2014_10.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2014\Luiz_Alves_2014_10.tif,2014,10,1.3,0.8,1.83,99.55,2.22,0,1153,0,2496,1343
Luiz_Alves_2014_11.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2014\Luiz_Alves_2014_11.tif,2014,11,1.47,0.8,2.59,99.55,2.76,0,1153,0,2496,1343
Luiz_Alves_2014_12.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2014\Luiz_Alves_2014_12.tif,2014,12,1.3,0.8,2.07,97.77,2.34,24,1153,0,2496,1343
Luiz_Alves_2015_01.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2015\Luiz_Alves_2015_01.tif,2015,1,1.37,0.75,2.22,99.55,2.48,0,1153,0,2496,1343
Luiz_Alves_2015_02.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2015\Luiz_Alves_2015_02.tif,2015,2,1.24,0.7,2.01,99.55,2.24,0,1153,0,2496,1343
Luiz_Alves_2015_03.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2015\Luiz_Alves_2015_03.tif,2015,3,1.37,0.85,1.91,99.55,2.33,0,1153,0,2496,1343
Luiz_Alves_2015_04.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2015\Luiz_Alves_2015_04.tif,2015,4,1.48,0.9,1.94,99.55,2.45,0,1153,0,2496,1343
Luiz_Alves_2015_06.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2015\Luiz_Alves_2015_06.tif,2015,6,1.38,0.7,2.42,99.55,2.59,0,1153,0,2496,1343
Luiz_Alves_2015_05.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2015\Luiz_Alves_2015_05.tif,2015,5,1.29,0.75,2.04,99.55,2.31,0,1153,0,2496,1343
Luiz_Alves_2015_07.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2015\Luiz_Alves_2015_07.tif,2015,7,1.37,0.65,2.72,99.4,2.73,2,1153,0,2496,1343
Luiz_Alves_2015_08.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2015\Luiz_Alves_2015_08.tif,2015,8,1.16,0.6,2.16,99.33,2.24,3,1153,0,2496,1343
Luiz_Alves_2015_09.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2015\Luiz_Alves_2015_09.tif,2015,9,1.07,0.6,1.77,99.55,1.96,0,1153,0,2496,1343
Luiz_Alves_2015_10.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2015\Luiz_Alves_2015_10.tif,2015,10,3.54,2.6,3.42,96.65,5.24,39,1153,0,2496,1343
Luiz_Alves_2015_12.tif,C:\Users\gtvargas\Documents\Luiz_Alves_noturno\Raster\Luiz_Alves_recorte\2015\Luiz_Alves_2015_12.tif,2015,12,2.18,0.9,3.24,97.32,3.8,1,1153,0,2496,1343
