arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Mirim_Doce_2014_01.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2014\Mirim_Doce_2014_01.tif,2014,1,0.39,0.35,0.8,99.31,0.79,3,2030,0,3773,1743
Mirim_Doce_2014_02.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2014\Mirim_Doce_2014_02.tif,2014,2,0.41,0.35,0.53,99.48,0.68,0,2030,0,3773,1743
Mirim_Doce_2014_03.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2014\Mirim_Doce_2014_03.tif,2014,3,0.4,0.35,0.68,96.39,0.74,54,2030,0,3773,1743
Mirim_Doce_2014_04.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2014\Mirim_Doce_2014_04.tif,2014,4,0.51,0.5,0.82,99.48,0.92,0,2030,0,3773,1743
Mirim_Doce_2014_05.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2014\Mirim_Doce_2014_05.tif,2014,5,0.43,0.4,0.41,99.37,0.64,2,2030,0,3773,1743
Mirim_Doce_2014_06.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2014\Mirim_Doce_2014_06.tif,2014,6,0.26,0.2,0.56,99.37,0.54,2,2030,0,3773,1743
Mirim_Doce_2014_07.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2014\Mirim_Doce_2014_07.tif,2014,7,0.23,0.2,0.55,99.43,0.51,1,2030,0,3773,1743
Mirim_Doce_2014_08.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2014\Mirim_Doce_2014_08.tif,2014,8,0.27,0.2,0.86,99.48,0.7,0,2030,0,3773,1743
Mirim_Doce_2014_09.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2014\Mirim_Doce_2014_09.tif,2014,9,0.48,0.4,0.78,99.48,0.87,0,2030,0,3773,1743
Mirim_Doce_2014_10.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2014\Mirim_Doce_2014_10.tif,2014,10,0.41,0.35,0.36,98.62,0.59,13,2030,0,3773,1743
Mirim_Doce_2014_11.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2014\Mirim_Doce_2014_11.tif,2014,11,0.47,0.4,0.49,99.48,0.72,0,2030,0,3773,1743
Mirim_Doce_2014_12.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2014\Mirim_Doce_2014_12.tif,2014,12,0.34,0.3,0.49,99.37,0.59,2,2030,0,3773,1743
Mirim_Doce_2015_01.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2015\Mirim_Doce_2015_01.tif,2015,1,1.34,0.4,1.97,84.28,2.33,154,2030,0,3773,1743
Mirim_Doce_2015_02.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2015\Mirim_Doce_2015_02.tif,2015,2,0.46,0.4,0.37,95.75,0.64,65,2030,0,3773,1743
Mirim_Doce_2015_03.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2015\Mirim_Doce_2015_03.tif,2015,3,0.63,0.55,0.62,97.59,0.94,13,2030,0,3773,1743
Mirim_Doce_2015_04.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2015\Mirim_Doce_2015_04.tif,2015,4,0.49,0.45,0.41,99.48,0.7,0,2030,0,3773,1743
Mirim_Doce_2015_05.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2015\Mirim_Doce_2015_05.tif,2015,5,0.55,0.55,0.14,99.43,0.62,1,2030,0,3773,1743
Mirim_Doce_2015_06.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2015\Mirim_Doce_2015_06.tif,2015,6,0.39,0.35,0.35,99.48,0.57,0,2030,0,3773,1743
Mirim_Doce_2015_07.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2015\Mirim_Doce_2015_07.tif,2015,7,0.26,0.2,0.63,92.6,0.57,120,2030,0,3773,1743
Mirim_Doce_2015_08.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2015\Mirim_Doce_2015_08.tif,2015,8,0.21,0.1,0.62,71.77,0.52,483,2030,0,3773,1743
Mirim_Doce_2015_09.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2015\Mirim_Doce_2015_09.tif,2015,9,0.23,0.2,0.54,98.45,0.5,18,2030,0,3773,1743
Mirim_Doce_2015_10.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2015\Mirim_Doce_2015_10.tif,2015,10,1.23,0.4,1.47,95.7,1.96,55,2030,0,3773,1743
Mirim_Doce_2015_11.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2015\Mirim_Doce_2015_11.tif,2015,11,0.44,0.4,0.25,99.37,0.56,2,2030,0,3773,1743
Mirim_Doce_2015_12.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2015\Mirim_Doce_2015_12.tif,2015,12,0.49,0.3,0.62,98.68,0.8,10,2030,0,3773,1743
Mirim_Doce_2016_01.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2016\Mirim_Doce_2016_01.tif,2016,1,0.31,0.2,0.45,79.69,0.53,345,2030,0,3773,1743
Mirim_Doce_2016_02.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2016\Mirim_Doce_2016_02.tif,2016,2,1.55,0.7,1.62,97.25,2.36,21,2030,0,3773,1743
Mirim_Doce_2016_03.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2016\Mirim_Doce_2016_03.tif,2016,3,0.3,0.25,0.44,97.88,0.52,28,2030,0,3773,1743
Mirim_Doce_2016_04.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2016\Mirim_Doce_2016_04.tif,2016,4,0.45,0.4,0.27,99.43,0.59,1,2030,0,3773,1743
Mirim_Doce_2016_05.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2016\Mirim_Doce_2016_05.tif,2016,5,0.46,0.4,0.7,99.48,0.81,0,2030,0,3773,1743
Mirim_Doce_2016_06.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2016\Mirim_Doce_2016_06.tif,2016,6,0.22,0.2,0.48,99.48,0.46,0,2030,0,3773,1743
Mirim_Doce_2016_07.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2016\Mirim_Doce_2016_07.tif,2016,7,0.22,0.15,0.85,97.36,0.64,37,2030,0,3773,1743
Mirim_Doce_2016_08.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2016\Mirim_Doce_2016_08.tif,2016,8,0.23,0.2,0.59,98.68,0.52,14,2030,0,3773,1743
Mirim_Doce_2016_09.tif,C:\Users\gtvargas\Documents\Mirim_Doce_Noturna\Raster\Mirim_Doce_Recortes\2016\Mirim_Doce_2016_09.tif,2016,9,0.23,0.2,0.56,98.62,0.51,15,2030,0,3773,1743
