arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Navegantes_2014_01.tif,C:\Users\gtvargas\Documents\Navegantes_noturna\Raster\Navegantes_noturno\2014\Navegantes_2014_01.tif,2014,1,10.76,2.0,23.29,99.21,22.41,2,1219,0,1848,629
Navegantes_2014_02.tif,C:\Users\gtvargas\Documents\Navegantes_noturna\Raster\Navegantes_noturno\2014\Navegantes_2014_02.tif,2014,2,12.11,2.2,26.1,100.0,25.16,0,1219,0,1848,629
Navegantes_2014_03.tif,C:\Users\gtvargas\Documents\Navegantes_noturna\Raster\Navegantes_noturno\2014\Navegantes_2014_03.tif,2014,3,11.08,2.1,23.4,100.0,22.78,0,1219,1,1848,629
Navegantes_2014_04.tif,C:\Users\gtvargas\Documents\Navegantes_noturna\Raster\Navegantes_noturno\2014\Navegantes_2014_04.tif,2014,4,10.16,3.1,19.43,100.0,19.87,0,1219,0,1848,629
Navegantes_2014_05.tif,C:\Users\gtvargas\Documents\Navegantes_noturna\Raster\Navegantes_noturno\2014\Navegantes_2014_05.tif,2014,5,11.08,2.1,23.77,99.84,22.96,0,1219,0,1848,629
Navegantes_2014_06.tif,C:\Users\gtvargas\Documents\Navegantes_noturna\Raster\Navegantes_noturno\2014\Navegantes_2014_06.tif,2014,6,10.99,1.6,24.81,100.0,23.4,0,1219,0,1848,629
Navegantes_2014_07.tif,C:\Users\gtvargas\Documents\Navegantes_noturna\Raster\Navegantes_noturno\2014\Navegantes_2014_07.tif,2014,7,12.0,2.0,24.41,100.0,24.21,0,1219,0,1848,629
Navegantes_2014_08.tif,C:\Users\gtvargas\Documents\Navegantes_noturna\Raster\Navegantes_noturno\2014\Navegantes_2014_08.tif,2014,8,12.57,1.9,27.87,100.0,26.5,0,1219,1,1848,629
Navegantes_2014_09.tif,C:\Users\gtvargas\Documents\Navegantes_noturna\Raster\Navegantes_noturno\2014\Navegantes_2014_09.tif,2014,9,12.59,2.5,25.27,100.0,25.23,0,1219,0,1848,629
Navegantes_2014_10.tif,C:\Users\gtvargas\Documents\Navegantes_noturna\Raster\Navegantes_noturno\2014\Navegantes_2014_10.tif,2014,10,11.24,3.0,18.02,100.0,20.25,0,1219,0,1848,629
Navegantes_2014_11.tif,C:\Users\gtvargas\Documents\Navegantes_noturna\Raster\Navegantes_noturno\2014\Navegantes_2014_11.tif,2014,11,11.92,2.4,23.47,100.0,23.66,0,1219,0,1848,629
Navegantes_2015_02.tif,C:\Users\gtvargas\Documents\Navegantes_noturna\Raster\Navegantes_noturno\2015\Navegantes_2015_02.tif,2015,2,11.36,2.5,22.94,100.0,22.83,0,1219,0,1848,629
Navegantes_2014_12.tif,C:\Users\gtvargas\Documents\Navegantes_noturna\Raster\Navegantes_noturno\2014\Navegantes_2014_12.tif,2014,12,11.1,2.43,21.5,99.84,21.85,0,1219,0,1848,629
Navegantes_2015_01.tif,C:\Users\gtvargas\Documents\Navegantes_noturna\Raster\Navegantes_noturno\2015\Navegantes_2015_01.tif,2015,1,11.74,2.5,24.41,100.0,23.94,0,1219,0,1848,629
Navegantes_2015_05.tif,C:\Users\gtvargas\Documents\Navegantes_noturna\Raster\Navegantes_noturno\2015\Navegantes_2015_05.tif,2015,5,12.03,2.1,27.46,100.0,25.76,0,1219,2,1848,629
Navegantes_2015_03.tif,C:\Users\gtvargas\Documents\Navegantes_noturna\Raster\Navegantes_noturno\2015\Navegantes_2015_03.tif,2015,3,11.7,2.3,25.55,100.0,24.47,0,1219,1,1848,629
