arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Picarras_2014_01.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2014\Picarras_2014_01.tif,2014,1,2.98,0.8,5.65,99.62,5.81,0,361,0,891,530
Picarras_2014_04.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2014\Picarras_2014_04.tif,2014,4,3.47,1.1,6.25,99.62,6.6,0,361,0,891,530
Picarras_2014_03.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2014\Picarras_2014_03.tif,2014,3,3.27,1.05,5.75,99.62,6.14,0,361,0,891,530
Picarras_2014_02.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2014\Picarras_2014_02.tif,2014,2,3.57,0.9,6.76,99.62,6.95,0,361,0,891,530
Picarras_2014_07.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2014\Picarras_2014_07.tif,2014,7,3.16,0.8,6.22,99.62,6.27,0,361,0,891,530
Picarras_2014_06.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2014\Picarras_2014_06.tif,2014,6,3.43,0.7,7.36,99.62,7.11,0,361,0,891,530
Picarras_2014_08.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2014\Picarras_2014_08.tif,2014,8,3.79,0.9,7.82,99.62,7.7,0,361,0,891,530
Picarras_2014_05.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2014\Picarras_2014_05.tif,2014,5,3.59,0.9,6.9,99.62,7.03,0,361,0,891,530
Picarras_2014_09.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2014\Picarras_2014_09.tif,2014,9,3.86,1.0,6.78,99.62,7.25,0,361,0,891,530
Picarras_2014_10.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2014\Picarras_2014_10.tif,2014,10,3.83,1.15,6.77,99.62,7.22,0,361,0,891,530
Picarras_2014_11.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2014\Picarras_2014_11.tif,2014,11,4.11,1.1,7.22,99.62,7.72,0,361,0,891,530
Picarras_2014_12.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2014\Picarras_2014_12.tif,2014,12,3.91,1.05,7.68,99.43,7.75,1,361,0,891,530
Picarras_2015_02.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2015\Picarras_2015_02.tif,2015,2,3.96,1.0,7.56,99.62,7.74,0,361,0,891,530
Picarras_2015_01.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2015\Picarras_2015_01.tif,2015,1,4.29,1.15,8.15,99.62,8.37,0,361,0,891,530
Picarras_2015_03.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2015\Picarras_2015_03.tif,2015,3,4.03,1.2,7.31,99.62,7.69,0,361,0,891,530
Picarras_2015_04.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2015\Picarras_2015_04.tif,2015,4,4.48,1.38,8.17,99.62,8.56,0,361,0,891,530
Picarras_2015_05.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2015\Picarras_2015_05.tif,2015,5,4.15,1.1,7.58,99.62,7.94,0,361,0,891,530
Picarras_2015_06.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2015\Picarras_2015_06.tif,2015,6,4.49,0.9,9.49,99.62,9.23,0,361,0,891,530
Picarras_2015_07.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2015\Picarras_2015_07.tif,2015,7,4.47,1.0,8.68,99.62,8.82,0,361,0,891,530
Picarras_2015_08.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2015\Picarras_2015_08.tif,2015,8,3.41,1.0,5.81,99.62,6.32,0,361,0,891,530
Picarras_2015_09.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2015\Picarras_2015_09.tif,2015,9,3.4,1.0,6.01,99.62,6.41,0,361,0,891,530
Picarras_2015_10.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2015\Picarras_2015_10.tif,2015,10,3.83,2.85,3.34,97.74,5.5,10,361,0,891,530
Picarras_2015_11.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2015\Picarras_2015_11.tif,2015,11,2.93,0.95,4.4,99.62,5.13,0,361,0,891,530
Picarras_2015_12.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2015\Picarras_2015_12.tif,2015,12,1.9,1.05,2.17,99.43,2.99,0,361,0,891,530
Picarras_2016_01.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2016\Picarras_2016_01.tif,2016,1,4.0,0.8,8.34,99.62,8.17,0,361,0,891,530
Picarras_2016_02.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2016\Picarras_2016_02.tif,2016,2,4.05,1.55,5.43,99.62,6.76,0,361,0,891,530
Picarras_2016_03.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2016\Picarras_2016_03.tif,2016,3,4.62,1.1,8.84,99.62,9.04,0,361,0,891,530
Picarras_2016_04.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2016\Picarras_2016_04.tif,2016,4,4.0,1.0,7.32,99.62,7.66,0,361,0,891,530
Picarras_2016_05.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2016\Picarras_2016_05.tif,2016,5,4.01,1.0,7.18,99.62,7.6,0,361,0,891,530
Picarras_2016_06.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2016\Picarras_2016_06.tif,2016,6,4.23,0.9,7.97,99.62,8.22,0,361,0,891,530
Picarras_2016_07.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2016\Picarras_2016_07.tif,2016,7,4.02,0.8,8.54,99.62,8.29,0,361,0,891,530
Picarras_2016_08.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2016\Picarras_2016_08.tif,2016,8,4.71,0.8,10.44,99.62,9.93,0,361,0,891,530
Picarras_2016_09.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2016\Picarras_2016_09.tif,2016,9,4.08,1.05,6.98,99.62,7.57,0,361,0,891,530
Picarras_2016_10.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2016\Picarras_2016_10.tif,2016,10,4.72,1.3,8.64,99.62,9.04,0,361,0,891,530
Picarras_2016_11.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2016\Picarras_2016_11.tif,2016,11,4.52,1.4,7.27,99.62,8.15,0,361,0,891,530
Picarras_2016_12.tif,C:\Users\gtvargas\Documents\Balneario_Picarras_noturno\Raster\Picarras_recorte\2016\Picarras_2016_12.tif,2016,12,4.57,1.1,9.08,99.62,9.12,0,361,0,891,530
