arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
reprojetado_2014_01.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\REPROJETADOS\2014\reprojetado_2014_01.tif,2014,1,1.71,0.4,6.51,60.21,4.97,1488,3334,0,122825,119491
reprojetado_2014_02.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\REPROJETADOS\2014\reprojetado_2014_02.tif,2014,2,1.79,0.4,6.62,61.48,5.1,3,3334,0,122825,119491
reprojetado_2014_03.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\REPROJETADOS\2014\reprojetado_2014_03.tif,2014,3,1.81,0.5,9.81,61.23,6.72,289,3334,4,122825,119491
reprojetado_2014_04.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\REPROJETADOS\2014\reprojetado_2014_04.tif,2014,4,1.78,0.5,5.94,61.47,4.75,3,3334,1,122825,119491
reprojetado_2014_05.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\REPROJETADOS\2014\reprojetado_2014_05.tif,2014,5,1.8,0.55,6.44,61.44,5.02,7,3334,0,122825,119491
reprojetado_2014_07.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\REPROJETADOS\2014\reprojetado_2014_07.tif,2014,7,1.71,0.3,6.56,61.43,4.99,56,3334,0,122825,119491
reprojetado_2014_06.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\REPROJETADOS\2014\reprojetado_2014_06.tif,2014,6,1.68,0.35,6.75,61.44,5.06,39,3334,0,122825,119491
reprojetado_2014_08.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\REPROJETADOS\2014\reprojetado_2014_08.tif,2014,8,1.76,0.3,7.24,61.47,5.38,2,3334,1,122825,119491
reprojetado_2014_09.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\REPROJETADOS\2014\reprojetado_2014_09.tif,2014,9,1.86,0.6,6.32,61.46,5.02,13,3334,0,122825,119491
reprojetado_2014_10.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\REPROJETADOS\2014\reprojetado_2014_10.tif,2014,10,1.88,0.6,5.66,61.34,4.7,160,3334,0,122825,119491
reprojetado_2014_11.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\REPROJETADOS\2014\reprojetado_2014_11.tif,2014,11,1.92,0.5,6.73,61.32,5.28,109,3334,0,122825,119491
reprojetado_2015_02.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\REPROJETADOS\2015\reprojetado_2015_02.tif,2015,2,1.72,0.5,5.93,61.22,4.68,287,3334,0,122825,119491
reprojetado_2014_12.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\REPROJETADOS\2014\reprojetado_2014_12.tif,2014,12,1.83,0.5,6.29,60.83,4.98,767,3334,0,122825,119491
