arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Salete_2014_01.tif,C:\Users\gtvargas\Documents\Salete_noturna\Raster\Salete_recorte\2014\Salete_2014_01.tif,2014,1,0.54,0.3,1.83,95.85,1.45,38,448,0,1364,916
Salete_2014_02.tif,C:\Users\gtvargas\Documents\Salete_noturna\Raster\Salete_recorte\2014\Salete_2014_02.tif,2014,2,0.66,0.4,1.48,100.0,1.4,0,448,0,1364,916
Salete_2014_03.tif,C:\Users\gtvargas\Documents\Salete_noturna\Raster\Salete_recorte\2014\Salete_2014_03.tif,2014,3,0.59,0.3,2.0,96.51,1.59,32,448,0,1364,916
Salete_2014_04.tif,C:\Users\gtvargas\Documents\Salete_noturna\Raster\Salete_recorte\2014\Salete_2014_04.tif,2014,4,0.71,0.5,1.64,100.0,1.53,0,448,0,1364,916
Salete_2014_05.tif,C:\Users\gtvargas\Documents\Salete_noturna\Raster\Salete_recorte\2014\Salete_2014_05.tif,2014,5,0.65,0.4,1.38,100.0,1.34,0,448,0,1364,916
Salete_2014_06.tif,C:\Users\gtvargas\Documents\Salete_noturna\Raster\Salete_recorte\2014\Salete_2014_06.tif,2014,6,0.55,0.23,1.86,100.0,1.48,0,448,0,1364,916
Salete_2014_08.tif,C:\Users\gtvargas\Documents\Salete_noturna\Raster\Salete_recorte\2014\Salete_2014_08.tif,2014,8,0.52,0.2,1.83,100.0,1.44,0,448,0,1364,916
Salete_2014_07.tif,C:\Users\gtvargas\Documents\Salete_noturna\Raster\Salete_recorte\2014\Salete_2014_07.tif,2014,7,0.51,0.2,1.97,100.0,1.5,0,448,0,1364,916
Salete_2014_10.tif,C:\Users\gtvargas\Documents\Salete_noturna\Raster\Salete_recorte\2014\Salete_2014_10.tif,2014,10,1.1,0.55,1.62,97.16,1.91,26,448,0,1364,916
Salete_2014_09.tif,C:\Users\gtvargas\Documents\Salete_noturna\Raster\Salete_recorte\2014\Salete_2014_09.tif,2014,9,0.65,0.45,1.09,100.0,1.19,0,448,0,1364,916
Salete_2015_01.tif,C:\Users\gtvargas\Documents\Salete_noturna\Raster\Salete_recorte\2015\Salete_2015_01.tif,2015,1,0.63,0.3,1.96,95.63,1.61,40,448,0,1364,916
Salete_2014_12.tif,C:\Users\gtvargas\Documents\Salete_noturna\Raster\Salete_recorte\2014\Salete_2014_12.tif,2014,12,0.63,0.4,1.82,96.83,1.54,29,448,0,1364,916
Salete_2014_11.tif,C:\Users\gtvargas\Documents\Salete_noturna\Raster\Salete_recorte\2014\Salete_2014_11.tif,2014,11,0.67,0.4,1.65,100.0,1.49,0,448,0,1364,916
