arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Tijucas_2014_01.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2014\Tijucas_2014_01.tif,2014,1,2.71,0.65,8.88,99.86,7.15,0,892,0,2332,1440
Tijucas_2014_02.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2014\Tijucas_2014_02.tif,2014,2,2.62,0.6,8.6,99.86,6.92,0,892,0,2332,1440
Tijucas_2014_03.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2014\Tijucas_2014_03.tif,2014,3,2.6,0.7,7.71,99.86,6.45,0,892,0,2332,1440
Tijucas_2014_04.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2014\Tijucas_2014_04.tif,2014,4,2.68,0.7,8.21,99.86,6.79,0,892,0,2332,1440
Tijucas_2014_06.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2014\Tijucas_2014_06.tif,2014,6,2.49,0.55,8.18,99.86,6.58,0,892,0,2332,1440
Tijucas_2014_07.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2014\Tijucas_2014_07.tif,2014,7,2.64,0.5,9.06,99.86,7.17,0,892,0,2332,1440
Tijucas_2014_05.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2014\Tijucas_2014_05.tif,2014,5,2.51,0.7,7.54,99.86,6.28,0,892,0,2332,1440
Tijucas_2014_10.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2014\Tijucas_2014_10.tif,2014,10,2.8,0.85,7.95,99.86,6.78,0,892,0,2332,1440
Tijucas_2014_08.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2014\Tijucas_2014_08.tif,2014,8,2.69,0.5,9.28,99.86,7.33,0,892,0,2332,1440
Tijucas_2014_09.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2014\Tijucas_2014_09.tif,2014,9,2.91,0.7,9.3,99.86,7.56,0,892,0,2332,1440
Tijucas_2014_11.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2014\Tijucas_2014_11.tif,2014,11,2.7,0.7,8.21,99.86,6.8,0,892,0,2332,1440
Tijucas_2015_01.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2015\Tijucas_2015_01.tif,2015,1,2.69,0.6,8.19,99.86,6.78,0,892,0,2332,1440
Tijucas_2014_12.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2014\Tijucas_2014_12.tif,2014,12,2.93,0.8,8.48,99.79,7.17,1,892,0,2332,1440
Tijucas_2015_02.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2015\Tijucas_2015_02.tif,2015,2,2.33,0.6,7.09,99.79,5.87,1,892,0,2332,1440
Tijucas_2015_05.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2015\Tijucas_2015_05.tif,2015,5,2.66,0.8,7.63,99.86,6.48,0,892,0,2332,1440
Tijucas_2015_03.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2015\Tijucas_2015_03.tif,2015,3,2.46,0.7,6.77,99.86,5.84,0,892,0,2332,1440
Tijucas_2015_04.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2015\Tijucas_2015_04.tif,2015,4,2.61,0.8,7.17,99.86,6.19,0,892,0,2332,1440
Tijucas_2015_06.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2015\Tijucas_2015_06.tif,2015,6,2.67,0.62,8.55,99.86,6.95,0,892,0,2332,1440
Tijucas_2015_08.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2015\Tijucas_2015_08.tif,2015,8,2.31,0.55,7.55,99.44,6.09,6,892,0,2332,1440
Tijucas_2015_07.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2015\Tijucas_2015_07.tif,2015,7,2.69,0.7,8.21,99.86,6.8,0,892,0,2332,1440
Tijucas_2015_09.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2015\Tijucas_2015_09.tif,2015,9,2.39,0.65,7.46,99.86,6.12,0,892,0,2332,1440
Tijucas_2015_12.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2015\Tijucas_2015_12.tif,2015,12,4.57,1.1,42.38,87.99,25.77,6,892,1,2332,1440
Tijucas_2015_11.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2015\Tijucas_2015_11.tif,2015,11,2.93,0.8,7.18,94.03,6.52,4,892,0,2332,1440
Tijucas_2015_10.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2015\Tijucas_2015_10.tif,2015,10,3.71,2.0,3.9,98.33,5.66,1,892,0,2332,1440
Tijucas_2016_02.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2016\Tijucas_2016_02.tif,2016,2,2.41,0.75,6.25,99.38,5.54,5,892,0,2332,1440
Tijucas_2016_01.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2016\Tijucas_2016_01.tif,2016,1,2.47,0.45,8.4,99.24,6.67,9,892,0,2332,1440
Tijucas_2016_05.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2016\Tijucas_2016_05.tif,2016,5,2.6,0.8,7.5,99.86,6.35,0,892,0,2332,1440
Tijucas_2016_03.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2016\Tijucas_2016_03.tif,2016,3,2.65,0.7,7.92,99.86,6.61,0,892,0,2332,1440
Tijucas_2016_04.tif,C:\Users\gtvargas\Documents\Tijucas_Noturna\Raster\Tijucas_recortes\2016\Tijucas_2016_04.tif,2016,4,2.53,0.7,7.49,99.86,6.27,0,892,0,2332,1440
