arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Timbo_2014_02.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2014\Timbo_2014_02.tif,2014,2,4.53,1.4,6.71,100.0,7.88,0,353,0,1023,670
Timbo_2014_01.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2014\Timbo_2014_01.tif,2014,1,4.25,1.3,6.2,100.0,7.35,0,353,0,1023,670
Timbo_2014_04.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2014\Timbo_2014_04.tif,2014,4,4.29,1.65,5.95,100.0,7.26,0,353,0,1023,670
Timbo_2014_03.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2014\Timbo_2014_03.tif,2014,3,4.12,1.7,5.73,100.0,6.99,0,353,0,1023,670
Timbo_2014_05.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2014\Timbo_2014_05.tif,2014,5,4.35,1.4,6.59,100.0,7.64,0,353,0,1023,670
Timbo_2014_06.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2014\Timbo_2014_06.tif,2014,6,4.27,1.1,7.0,100.0,7.77,0,353,0,1023,670
Timbo_2014_07.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2014\Timbo_2014_07.tif,2014,7,4.33,1.2,6.17,100.0,7.41,0,353,0,1023,670
Timbo_2014_08.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2014\Timbo_2014_08.tif,2014,8,4.69,1.1,8.25,100.0,8.81,0,353,0,1023,670
Timbo_2014_09.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2014\Timbo_2014_09.tif,2014,9,4.52,1.3,6.94,100.0,7.99,0,353,0,1023,670
Timbo_2014_10.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2014\Timbo_2014_10.tif,2014,10,4.38,1.65,6.31,100.0,7.53,0,353,0,1023,670
Timbo_2014_12.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2014\Timbo_2014_12.tif,2014,12,4.26,1.35,6.48,100.0,7.5,0,353,0,1023,670
Timbo_2015_01.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2015\Timbo_2015_01.tif,2015,1,4.31,1.15,6.83,100.0,7.72,0,353,0,1023,670
Timbo_2015_02.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2015\Timbo_2015_02.tif,2015,2,4.29,1.4,6.74,100.0,7.66,0,353,0,1023,670
Timbo_2014_11.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2014\Timbo_2014_11.tif,2014,11,4.9,1.7,7.46,99.7,8.63,1,353,0,1023,670
Timbo_2015_03.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2015\Timbo_2015_03.tif,2015,3,4.35,1.6,6.43,100.0,7.56,0,353,0,1023,670
Timbo_2015_04.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2015\Timbo_2015_04.tif,2015,4,4.51,1.45,6.78,100.0,7.9,0,353,0,1023,670
Timbo_2015_05.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2015\Timbo_2015_05.tif,2015,5,3.88,1.5,6.15,100.0,6.95,0,353,0,1023,670
Timbo_2015_06.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2015\Timbo_2015_06.tif,2015,6,4.45,1.3,7.25,100.0,8.08,0,353,0,1023,670
Timbo_2015_08.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2015\Timbo_2015_08.tif,2015,8,4.15,1.1,7.03,100.0,7.67,0,353,0,1023,670
Timbo_2015_07.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2015\Timbo_2015_07.tif,2015,7,4.45,1.25,7.65,100.0,8.28,0,353,0,1023,670
Timbo_2015_09.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2015\Timbo_2015_09.tif,2015,9,3.95,1.25,6.32,100.0,7.12,0,353,0,1023,670
Timbo_2015_12.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2015\Timbo_2015_12.tif,2015,12,3.23,1.7,4.03,100.0,5.25,0,353,0,1023,670
Timbo_2015_10.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2015\Timbo_2015_10.tif,2015,10,6.28,4.4,5.43,90.45,9.0,59,353,0,1023,670
Timbo_2016_02.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2016\Timbo_2016_02.tif,2016,2,4.18,1.5,6.15,100.0,7.25,0,353,0,1023,670
Timbo_2015_11.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2015\Timbo_2015_11.tif,2015,11,3.49,1.38,5.27,100.0,6.13,0,353,0,1023,670
Timbo_2016_01.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2016\Timbo_2016_01.tif,2016,1,4.31,1.2,7.28,100.0,7.95,0,353,0,1023,670
Timbo_2016_03.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2016\Timbo_2016_03.tif,2016,3,4.4,1.6,6.55,100.0,7.67,0,353,0,1023,670
Timbo_2016_04.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2016\Timbo_2016_04.tif,2016,4,4.59,1.7,7.23,99.85,8.21,1,353,0,1023,670
Timbo_2016_05.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2016\Timbo_2016_05.tif,2016,5,4.16,1.5,6.65,100.0,7.49,0,353,0,1023,670
Timbo_2016_06.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2016\Timbo_2016_06.tif,2016,6,4.33,1.15,7.46,100.0,8.06,0,353,0,1023,670
Timbo_2016_08.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2016\Timbo_2016_08.tif,2016,8,4.09,1.0,7.36,100.0,7.77,0,353,0,1023,670
Timbo_2016_07.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2016\Timbo_2016_07.tif,2016,7,4.21,1.1,7.24,99.7,7.83,2,353,0,1023,670
Timbo_2016_09.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2016\Timbo_2016_09.tif,2016,9,4.41,1.2,7.22,100.0,8.02,0,353,0,1023,670
Timbo_2016_10.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2016\Timbo_2016_10.tif,2016,10,3.92,1.6,5.97,100.0,6.9,0,353,0,1023,670
Timbo_2016_11.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2016\Timbo_2016_11.tif,2016,11,3.81,1.55,5.41,100.0,6.51,0,353,0,1023,670
Timbo_2016_12.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2016\Timbo_2016_12.tif,2016,12,2.99,1.55,3.09,100.0,4.54,0,353,0,1023,670
Timbo_2017_01.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2017\Timbo_2017_01.tif,2017,1,4.11,1.25,6.8,100.0,7.51,0,353,0,1023,670
Timbo_2017_02.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2017\Timbo_2017_02.tif,2017,2,4.46,1.5,6.79,100.0,7.86,0,353,0,1023,670
Timbo_2017_03.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2017\Timbo_2017_03.tif,2017,3,3.73,1.5,5.1,100.0,6.28,0,353,0,1023,670
Timbo_2017_04.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2017\Timbo_2017_04.tif,2017,4,4.47,1.7,6.68,100.0,7.81,0,353,0,1023,670
Timbo_2017_05.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2017\Timbo_2017_05.tif,2017,5,4.45,1.85,6.2,100.0,7.55,0,353,0,1023,670
Timbo_2017_06.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2017\Timbo_2017_06.tif,2017,6,4.36,1.4,7.06,100.0,7.89,0,353,0,1023,670
Timbo_2017_08.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2017\Timbo_2017_08.tif,2017,8,4.33,1.45,6.99,100.0,7.82,0,353,0,1023,670
Timbo_2017_07.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2017\Timbo_2017_07.tif,2017,7,4.9,1.55,8.03,100.0,8.92,0,353,0,1023,670
Timbo_2017_09.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2017\Timbo_2017_09.tif,2017,9,5.14,2.85,6.06,96.57,8.17,5,353,0,1023,670
Timbo_2017_10.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2017\Timbo_2017_10.tif,2017,10,4.47,1.3,7.44,100.0,8.18,0,353,0,1023,670
Timbo_2017_11.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2017\Timbo_2017_11.tif,2017,11,4.71,1.5,7.3,100.0,8.36,0,353,0,1023,670
Timbo_2017_12.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2017\Timbo_2017_12.tif,2017,12,5.58,2.48,8.1,100.0,9.63,0,353,0,1023,670
Timbo_2018_03.tif,C:\Users\gtvargas\Documents\Timbo_noturno\Raster\Timbo_recortes\2018\Timbo_2018_03.tif,2018,3,3.66,1.75,5.27,99.7,6.3,0,353,0,1023,670
