arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
VI_2024_01.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\UTM\VI_2024_01.tif,2024,1,2.25,0.65,6.02,52.57,5.26,173,3334,0,122825,119491
VI_2024_02.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\UTM\VI_2024_02.tif,2024,2,2.37,0.6,6.85,52.41,5.8,342,3334,0,122825,119491
VI_2024_03.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\UTM\VI_2024_03.tif,2024,3,2.66,0.6,7.85,52.55,6.59,194,3334,0,122825,119491
VI_2024_04.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\UTM\VI_2024_04.tif,2024,4,2.57,0.6,7.58,52.64,6.36,57,3334,0,122825,119491
VI_2024_05.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\UTM\VI_2024_05.tif,2024,5,2.29,0.5,9.05,52.1,6.82,725,3334,1,122825,119491
VI_2024_06.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\UTM\VI_2024_06.tif,2024,6,2.49,0.5,7.98,52.19,6.48,638,3334,1,122825,119491
VI_2024_09.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\UTM\VI_2024_09.tif,2024,9,1.88,0.5,9.39,52.61,6.58,132,3334,1,122825,119491
VI_2024_10.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\UTM\VI_2024_10.tif,2024,10,2.44,0.7,5.99,52.64,5.44,48,3334,0,122825,119491
VI_2024_07.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\UTM\VI_2024_07.tif,2024,7,2.41,0.5,7.67,51.05,6.25,1938,3334,0,122825,119491
VI_2024_08.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\UTM\VI_2024_08.tif,2024,8,2.12,0.5,5.79,52.72,5.02,2,3334,0,122825,119491
VI_2024_12.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\UTM\VI_2024_12.tif,2024,12,3.55,0.6,11.24,36.82,9.17,18948,3334,2,122825,119491
VI_2024_11.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\UTM\VI_2024_11.tif,2024,11,2.93,0.9,6.98,52.46,6.42,117,3334,0,122825,119491
