arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Vidal_Ramos_2014_01.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2014\Vidal_Ramos_2014_01.tif,2014,1,0.53,0.4,1.27,97.53,1.17,45,2743,0,4565,1822
Vidal_Ramos_2014_02.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2014\Vidal_Ramos_2014_02.tif,2014,2,0.53,0.35,1.41,99.89,1.23,2,2743,0,4565,1822
Vidal_Ramos_2014_03.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2014\Vidal_Ramos_2014_03.tif,2014,3,0.54,0.4,0.89,99.34,0.98,12,2743,0,4565,1822
Vidal_Ramos_2014_04.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2014\Vidal_Ramos_2014_04.tif,2014,4,0.6,0.5,1.01,100.0,1.11,0,2743,0,4565,1822
Vidal_Ramos_2014_05.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2014\Vidal_Ramos_2014_05.tif,2014,5,0.6,0.5,1.01,99.89,1.11,2,2743,0,4565,1822
Vidal_Ramos_2014_06.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2014\Vidal_Ramos_2014_06.tif,2014,6,0.47,0.3,1.29,99.95,1.12,1,2743,0,4565,1822
Vidal_Ramos_2014_07.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2014\Vidal_Ramos_2014_07.tif,2014,7,0.44,0.25,1.36,99.95,1.12,1,2743,0,4565,1822
Vidal_Ramos_2014_08.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2014\Vidal_Ramos_2014_08.tif,2014,8,0.46,0.3,1.42,100.0,1.17,0,2743,0,4565,1822
Vidal_Ramos_2014_09.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2014\Vidal_Ramos_2014_09.tif,2014,9,0.75,0.5,1.12,99.95,1.31,1,2743,0,4565,1822
Vidal_Ramos_2014_10.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2014\Vidal_Ramos_2014_10.tif,2014,10,0.64,0.45,1.27,100.0,1.27,0,2743,0,4565,1822
Vidal_Ramos_2014_11.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2014\Vidal_Ramos_2014_11.tif,2014,11,0.57,0.4,1.58,99.78,1.36,4,2743,0,4565,1822
Vidal_Ramos_2014_12.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2014\Vidal_Ramos_2014_12.tif,2014,12,0.58,0.4,1.14,100.0,1.15,0,2743,0,4565,1822
Vidal_Ramos_2015_01.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2015\Vidal_Ramos_2015_01.tif,2015,1,0.49,0.3,1.37,99.4,1.17,11,2743,0,4565,1822
Vidal_Ramos_2015_02.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2015\Vidal_Ramos_2015_02.tif,2015,2,0.51,0.4,1.0,100.0,1.02,0,2743,0,4565,1822
Vidal_Ramos_2015_03.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2015\Vidal_Ramos_2015_03.tif,2015,3,0.62,0.5,1.16,100.0,1.2,0,2743,0,4565,1822
Vidal_Ramos_2015_04.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2015\Vidal_Ramos_2015_04.tif,2015,4,0.68,0.5,1.37,99.95,1.36,1,2743,0,4565,1822
Vidal_Ramos_2015_05.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2015\Vidal_Ramos_2015_05.tif,2015,5,0.68,0.55,1.1,100.0,1.23,0,2743,0,4565,1822
Vidal_Ramos_2015_06.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2015\Vidal_Ramos_2015_06.tif,2015,6,0.49,0.3,1.18,99.84,1.08,3,2743,0,4565,1822
Vidal_Ramos_2015_07.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2015\Vidal_Ramos_2015_07.tif,2015,7,0.51,0.35,1.34,99.78,1.18,4,2743,0,4565,1822
Vidal_Ramos_2015_08.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2015\Vidal_Ramos_2015_08.tif,2015,8,0.36,0.2,1.11,76.84,0.92,422,2743,0,4565,1822
Vidal_Ramos_2015_09.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2015\Vidal_Ramos_2015_09.tif,2015,9,0.38,0.2,1.2,99.12,0.98,16,2743,0,4565,1822
Vidal_Ramos_2015_10.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2015\Vidal_Ramos_2015_10.tif,2015,10,1.63,0.7,1.94,97.09,2.61,46,2743,0,4565,1822
Vidal_Ramos_2015_11.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2015\Vidal_Ramos_2015_11.tif,2015,11,0.59,0.5,1.0,97.97,1.09,34,2743,0,4565,1822
Vidal_Ramos_2015_12.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2015\Vidal_Ramos_2015_12.tif,2015,12,1.24,0.3,2.33,95.72,2.41,17,2743,0,4565,1822
Vidal_Ramos_2016_01.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2016\Vidal_Ramos_2016_01.tif,2016,1,0.38,0.25,1.02,94.4,0.88,102,2743,0,4565,1822
Vidal_Ramos_2016_02.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2016\Vidal_Ramos_2016_02.tif,2016,2,0.78,0.5,1.55,96.93,1.56,6,2743,0,4565,1822
Vidal_Ramos_2016_03.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2016\Vidal_Ramos_2016_03.tif,2016,3,0.6,0.4,1.52,100.0,1.36,0,2743,0,4565,1822
Vidal_Ramos_2016_05.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2016\Vidal_Ramos_2016_05.tif,2016,5,0.65,0.5,0.85,100.0,1.07,0,2743,0,4565,1822
Vidal_Ramos_2016_04.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2016\Vidal_Ramos_2016_04.tif,2016,4,0.63,0.5,0.84,99.89,1.05,2,2743,0,4565,1822
Vidal_Ramos_2016_06.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2016\Vidal_Ramos_2016_06.tif,2016,6,0.39,0.2,1.29,100.0,1.04,0,2743,0,4565,1822
Vidal_Ramos_2016_07.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2016\Vidal_Ramos_2016_07.tif,2016,7,0.39,0.2,1.49,99.56,1.13,8,2743,0,4565,1822
Vidal_Ramos_2016_08.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2016\Vidal_Ramos_2016_08.tif,2016,8,0.39,0.2,1.32,97.69,1.06,9,2743,0,4565,1822
Vidal_Ramos_2016_09.tif,C:\Users\gtvargas\Documents\Vidal_Ramos_Noturno\Raster\Vidal_Ramos_recorte\2016\Vidal_Ramos_2016_09.tif,2016,9,0.38,0.2,1.44,98.13,1.1,34,2743,0,4565,1822
