arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
guabiruba_2014_01.tif,C:\Users\gtvargas\Documents\guabiruba_noturno\RASTER\guabiruba_recortes\2014\guabiruba_2014_01.tif,2014,1,1.96,0.8,2.66,99.12,3.29,8,1069,0,1978,909
guabiruba_2014_02.tif,C:\Users\gtvargas\Documents\guabiruba_noturno\RASTER\guabiruba_recortes\2014\guabiruba_2014_02.tif,2014,2,1.9,0.85,2.69,100.0,3.25,0,1069,0,1978,909
guabiruba_2014_03.tif,C:\Users\gtvargas\Documents\guabiruba_noturno\RASTER\guabiruba_recortes\2014\guabiruba_2014_03.tif,2014,3,1.88,0.8,2.75,100.0,3.25,0,1069,0,1978,909
guabiruba_2014_05.tif,C:\Users\gtvargas\Documents\guabiruba_noturno\RASTER\guabiruba_recortes\2014\guabiruba_2014_05.tif,2014,5,1.95,0.8,2.92,100.0,3.41,0,1069,0,1978,909
guabiruba_2014_04.tif,C:\Users\gtvargas\Documents\guabiruba_noturno\RASTER\guabiruba_recortes\2014\guabiruba_2014_04.tif,2014,4,1.96,1.05,2.29,100.0,3.11,0,1069,0,1978,909
guabiruba_2014_06.tif,C:\Users\gtvargas\Documents\guabiruba_noturno\RASTER\guabiruba_recortes\2014\guabiruba_2014_06.tif,2014,6,1.89,0.7,2.85,100.0,3.32,0,1069,0,1978,909
guabiruba_2014_08.tif,C:\Users\gtvargas\Documents\guabiruba_noturno\RASTER\guabiruba_recortes\2014\guabiruba_2014_08.tif,2014,8,1.73,0.7,2.72,100.0,3.09,0,1069,0,1978,909
guabiruba_2014_07.tif,C:\Users\gtvargas\Documents\guabiruba_noturno\RASTER\guabiruba_recortes\2014\guabiruba_2014_07.tif,2014,7,2.13,0.8,3.29,100.0,3.77,0,1069,0,1978,909
guabiruba_2014_09.tif,C:\Users\gtvargas\Documents\guabiruba_noturno\RASTER\guabiruba_recortes\2014\guabiruba_2014_09.tif,2014,9,1.85,0.9,2.44,100.0,3.07,0,1069,0,1978,909
guabiruba_2014_10.tif,C:\Users\gtvargas\Documents\guabiruba_noturno\RASTER\guabiruba_recortes\2014\guabiruba_2014_10.tif,2014,10,2.06,0.9,3.15,100.0,3.64,0,1069,0,1978,909
guabiruba_2014_11.tif,C:\Users\gtvargas\Documents\guabiruba_noturno\RASTER\guabiruba_recortes\2014\guabiruba_2014_11.tif,2014,11,2.08,0.8,3.2,99.56,3.67,4,1069,0,1978,909
guabiruba_2015_02.tif,C:\Users\gtvargas\Documents\guabiruba_noturno\RASTER\guabiruba_recortes\2015\guabiruba_2015_02.tif,2015,2,1.78,0.7,2.8,100.0,3.18,0,1069,0,1978,909
guabiruba_2014_12.tif,C:\Users\gtvargas\Documents\guabiruba_noturno\RASTER\guabiruba_recortes\2014\guabiruba_2014_12.tif,2014,12,2.12,0.9,2.99,99.78,3.62,2,1069,0,1978,909
guabiruba_2015_03.tif,C:\Users\gtvargas\Documents\guabiruba_noturno\RASTER\guabiruba_recortes\2015\guabiruba_2015_03.tif,2015,3,2.19,1.05,2.82,100.0,3.6,0,1069,0,1978,909
guabiruba_2015_01.tif,C:\Users\gtvargas\Documents\guabiruba_noturno\RASTER\guabiruba_recortes\2015\guabiruba_2015_01.tif,2015,1,1.97,0.9,2.99,100.0,3.46,0,1069,0,1978,909
guabiruba_2015_04.tif,C:\Users\gtvargas\Documents\guabiruba_noturno\RASTER\guabiruba_recortes\2015\guabiruba_2015_04.tif,2015,4,2.23,1.0,3.02,100.0,3.74,0,1069,0,1978,909
guabiruba_2015_05.tif,C:\Users\gtvargas\Documents\guabiruba_noturno\RASTER\guabiruba_recortes\2015\guabiruba_2015_05.tif,2015,5,2.12,1.0,2.95,100.0,3.6,0,1069,0,1978,909
guabiruba_2015_06.tif,C:\Users\gtvargas\Documents\guabiruba_noturno\RASTER\guabiruba_recortes\2015\guabiruba_2015_06.tif,2015,6,2.14,0.9,3.31,99.89,3.79,0,1069,0,1978,909
guabiruba_2015_07.tif,C:\Users\gtvargas\Documents\guabiruba_noturno\RASTER\guabiruba_recortes\2015\guabiruba_2015_07.tif,2015,7,2.09,0.9,2.81,100.0,3.49,0,1069,0,1978,909
