arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
balneario_camboriu_2014_02.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2014\balneario_camboriu_2014_02.tif,2014,2,31.63,17.05,34.69,97.43,48.97,0,352,0,624,272
balneario_camboriu_2014_04.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2014\balneario_camboriu_2014_04.tif,2014,4,29.42,16.6,30.21,97.43,44.53,0,352,0,624,272
balneario_camboriu_2014_03.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2014\balneario_camboriu_2014_03.tif,2014,3,32.3,15.7,36.26,97.43,50.43,0,352,0,624,272
balneario_camboriu_2014_05.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2014\balneario_camboriu_2014_05.tif,2014,5,30.62,15.25,35.74,97.43,48.49,0,352,0,624,272
balneario_camboriu_2014_06.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2014\balneario_camboriu_2014_06.tif,2014,6,32.2,14.7,38.6,97.43,51.5,0,352,0,624,272
balneario_camboriu_2014_08.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2014\balneario_camboriu_2014_08.tif,2014,8,32.16,18.3,34.75,97.43,49.54,0,352,0,624,272
balneario_camboriu_2014_07.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2014\balneario_camboriu_2014_07.tif,2014,7,29.69,14.1,34.59,97.43,46.98,0,352,0,624,272
balneario_camboriu_2014_11.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2014\balneario_camboriu_2014_11.tif,2014,11,31.42,16.5,32.77,97.43,47.81,0,352,0,624,272
balneario_camboriu_2014_09.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2014\balneario_camboriu_2014_09.tif,2014,9,27.47,15.1,28.87,97.43,41.91,0,352,0,624,272
balneario_camboriu_2014_10.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2014\balneario_camboriu_2014_10.tif,2014,10,23.72,14.5,24.04,97.43,35.74,0,352,0,624,272
balneario_camboriu_2014_12.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2014\balneario_camboriu_2014_12.tif,2014,12,30.35,18.1,31.8,97.43,46.25,0,352,0,624,272
balneario_camboriu_2015_01.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2015\balneario_camboriu_2015_01.tif,2015,1,30.74,18.3,31.88,97.43,46.67,0,352,0,624,272
balneario_camboriu_2014_01.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2015\balneario_camboriu_2014_01.tif,2014,1,31.0,15.4,35.35,97.43,48.68,0,352,0,624,272
balneario_camboriu_2015_02.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2015\balneario_camboriu_2015_02.tif,2015,2,26.98,16.4,25.75,97.43,39.86,0,352,0,624,272
balneario_camboriu_2015_03.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2015\balneario_camboriu_2015_03.tif,2015,3,30.94,16.9,32.13,97.43,47.0,0,352,0,624,272
balneario_camboriu_2015_04.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2015\balneario_camboriu_2015_04.tif,2015,4,33.12,18.1,34.14,97.43,50.19,0,352,0,624,272
balneario_camboriu_2015_06.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2015\balneario_camboriu_2015_06.tif,2015,6,31.65,17.0,33.86,97.43,48.58,0,352,0,624,272
balneario_camboriu_2015_05.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2015\balneario_camboriu_2015_05.tif,2015,5,30.84,15.5,32.51,97.43,47.1,0,352,0,624,272
balneario_camboriu_2015_07.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2015\balneario_camboriu_2015_07.tif,2015,7,30.99,16.75,31.08,97.43,46.53,0,352,0,624,272
balneario_camboriu_2015_08.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2015\balneario_camboriu_2015_08.tif,2015,8,20.9,10.6,27.57,97.43,34.68,0,352,0,624,272
balneario_camboriu_2015_10.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2015\balneario_camboriu_2015_10.tif,2015,10,13.98,12.33,6.87,97.06,17.41,0,352,0,624,272
balneario_camboriu_2015_09.tif,C:\Users\gtvargas\Documents\balneario_camboriu_noturno\RASTER\picarras_recortado\2015\balneario_camboriu_2015_09.tif,2015,9,25.74,14.85,25.76,97.43,38.62,0,352,0,624,272
