arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
pomerode_2014_01.tif,C:\Users\gtvargas\Documents\pomerode_noturno\RASTER\pomerode_recorte\2014\pomerode_2014_01.tif,2014,1,2.15,0.8,4.57,99.46,4.44,1,432,0,1540,1108
pomerode_2014_02.tif,C:\Users\gtvargas\Documents\pomerode_noturno\RASTER\pomerode_recorte\2014\pomerode_2014_02.tif,2014,2,2.29,1.0,3.84,99.55,4.22,0,432,0,1540,1108
pomerode_2014_03.tif,C:\Users\gtvargas\Documents\pomerode_noturno\RASTER\pomerode_recorte\2014\pomerode_2014_03.tif,2014,3,2.15,1.3,3.04,99.55,3.67,0,432,0,1540,1108
pomerode_2014_04.tif,C:\Users\gtvargas\Documents\pomerode_noturno\RASTER\pomerode_recorte\2014\pomerode_2014_04.tif,2014,4,2.07,1.1,2.83,99.55,3.49,0,432,0,1540,1108
pomerode_2014_05.tif,C:\Users\gtvargas\Documents\pomerode_noturno\RASTER\pomerode_recorte\2014\pomerode_2014_05.tif,2014,5,2.24,1.0,3.66,99.55,4.07,0,432,0,1540,1108
pomerode_2014_07.tif,C:\Users\gtvargas\Documents\pomerode_noturno\RASTER\pomerode_recorte\2014\pomerode_2014_07.tif,2014,7,2.35,0.85,3.92,99.55,4.31,0,432,0,1540,1108
pomerode_2014_06.tif,C:\Users\gtvargas\Documents\pomerode_noturno\RASTER\pomerode_recorte\2014\pomerode_2014_06.tif,2014,6,2.09,0.7,4.07,99.55,4.12,0,432,0,1540,1108
pomerode_2014_08.tif,C:\Users\gtvargas\Documents\pomerode_noturno\RASTER\pomerode_recorte\2014\pomerode_2014_08.tif,2014,8,2.16,0.8,4.17,99.55,4.24,0,432,0,1540,1108
pomerode_2014_10.tif,C:\Users\gtvargas\Documents\pomerode_noturno\RASTER\pomerode_recorte\2014\pomerode_2014_10.tif,2014,10,2.3,1.2,3.19,99.55,3.9,0,432,0,1540,1108
pomerode_2014_11.tif,C:\Users\gtvargas\Documents\pomerode_noturno\RASTER\pomerode_recorte\2014\pomerode_2014_11.tif,2014,11,2.4,1.05,4.07,99.37,4.43,2,432,0,1540,1108
pomerode_2014_09.tif,C:\Users\gtvargas\Documents\pomerode_noturno\RASTER\pomerode_recorte\2014\pomerode_2014_09.tif,2014,9,2.07,1.0,2.84,99.46,3.49,1,432,0,1540,1108
