arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
gaspar_2014_01.tif,C:\Users\gtvargas\Documents\gaspar_noturno\RASTER\recortes_gaspar\2014\gaspar_2014_01.tif,2014,1,1.75,0.8,3.13,98.77,3.31,23,1355,0,3312,1957
gaspar_2014_02.tif,C:\Users\gtvargas\Documents\gaspar_noturno\RASTER\recortes_gaspar\2014\gaspar_2014_02.tif,2014,2,1.94,1.0,2.89,100.0,3.38,0,1355,0,3312,1957
gaspar_2014_03.tif,C:\Users\gtvargas\Documents\gaspar_noturno\RASTER\recortes_gaspar\2014\gaspar_2014_03.tif,2014,3,1.93,1.15,2.42,100.0,3.14,0,1355,0,3312,1957
gaspar_2014_04.tif,C:\Users\gtvargas\Documents\gaspar_noturno\RASTER\recortes_gaspar\2014\gaspar_2014_04.tif,2014,4,1.81,1.0,2.46,100.0,3.04,0,1355,0,3312,1957
gaspar_2014_05.tif,C:\Users\gtvargas\Documents\gaspar_noturno\RASTER\recortes_gaspar\2014\gaspar_2014_05.tif,2014,5,1.82,1.0,2.77,100.0,3.2,0,1355,0,3312,1957
gaspar_2014_07.tif,C:\Users\gtvargas\Documents\gaspar_noturno\RASTER\recortes_gaspar\2014\gaspar_2014_07.tif,2014,7,1.91,0.9,2.91,100.0,3.36,0,1355,0,3312,1957
gaspar_2014_09.tif,C:\Users\gtvargas\Documents\gaspar_noturno\RASTER\recortes_gaspar\2014\gaspar_2014_09.tif,2014,9,1.87,1.05,2.55,100.0,3.14,0,1355,0,3312,1957
gaspar_2014_08.tif,C:\Users\gtvargas\Documents\gaspar_noturno\RASTER\recortes_gaspar\2014\gaspar_2014_08.tif,2014,8,1.73,0.9,2.77,100.0,3.11,0,1355,0,3312,1957
gaspar_2014_06.tif,C:\Users\gtvargas\Documents\gaspar_noturno\RASTER\recortes_gaspar\2014\gaspar_2014_06.tif,2014,6,1.73,0.8,2.85,100.0,3.16,0,1355,0,3312,1957
gaspar_2014_12.tif,C:\Users\gtvargas\Documents\gaspar_noturno\RASTER\recortes_gaspar\2014\gaspar_2014_12.tif,2014,12,2.1,1.25,2.86,99.9,3.53,2,1355,0,3312,1957
gaspar_2014_10.tif,C:\Users\gtvargas\Documents\gaspar_noturno\RASTER\recortes_gaspar\2014\gaspar_2014_10.tif,2014,10,2.04,1.2,2.4,100.0,3.24,0,1355,0,3312,1957
gaspar_2014_11.tif,C:\Users\gtvargas\Documents\gaspar_noturno\RASTER\recortes_gaspar\2014\gaspar_2014_11.tif,2014,11,2.11,1.1,3.29,100.0,3.76,0,1355,0,3312,1957
gaspar_2015_01.tif,C:\Users\gtvargas\Documents\gaspar_noturno\RASTER\recortes_gaspar\2015\gaspar_2015_01.tif,2015,1,1.95,1.0,3.05,100.0,3.48,0,1355,0,3312,1957
gaspar_2015_02.tif,C:\Users\gtvargas\Documents\gaspar_noturno\RASTER\recortes_gaspar\2015\gaspar_2015_02.tif,2015,2,1.68,0.9,2.33,100.0,2.84,0,1355,0,3312,1957
