arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Agronomica_2014_03.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2014\Agronomica_2014_03.tif,2014,3,0.71,0.4,1.33,99.85,1.38,1,300,0,988,688
Agronomica_2014_04.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2014\Agronomica_2014_04.tif,2014,4,0.73,0.5,0.88,100.0,1.17,0,300,0,988,688
Agronomica_2014_01.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2014\Agronomica_2014_01.tif,2014,1,0.66,0.45,0.83,100.0,1.07,0,300,0,988,688
Agronomica_2014_02.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2014\Agronomica_2014_02.tif,2014,2,0.65,0.4,0.95,100.0,1.12,0,300,0,988,688
Agronomica_2014_05.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2014\Agronomica_2014_05.tif,2014,5,0.79,0.6,0.73,100.0,1.15,0,300,0,988,688
Agronomica_2014_08.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2014\Agronomica_2014_08.tif,2014,8,0.61,0.3,1.15,100.0,1.18,0,300,0,988,688
Agronomica_2014_06.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2014\Agronomica_2014_06.tif,2014,6,0.65,0.35,1.08,100.0,1.19,0,300,0,988,688
Agronomica_2014_07.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2014\Agronomica_2014_07.tif,2014,7,0.67,0.4,1.06,100.0,1.2,0,300,0,988,688
Agronomica_2014_09.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2014\Agronomica_2014_09.tif,2014,9,0.86,0.65,0.8,100.0,1.27,0,300,0,988,688
Agronomica_2014_10.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2014\Agronomica_2014_10.tif,2014,10,0.79,0.6,0.84,100.0,1.21,0,300,0,988,688
Agronomica_2014_11.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2014\Agronomica_2014_11.tif,2014,11,0.75,0.5,0.94,100.0,1.22,0,300,0,988,688
Agronomica_2014_12.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2014\Agronomica_2014_12.tif,2014,12,0.62,0.4,0.95,97.53,1.09,17,300,0,988,688
Agronomica_2015_02.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2015\Agronomica_2015_02.tif,2015,2,0.79,0.45,1.03,100.0,1.3,0,300,0,988,688
Agronomica_2015_01.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2015\Agronomica_2015_01.tif,2015,1,0.86,0.55,1.1,100.0,1.41,0,300,0,988,688
Agronomica_2015_03.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2015\Agronomica_2015_03.tif,2015,3,0.76,0.55,0.93,100.0,1.22,0,300,0,988,688
Agronomica_2015_04.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2015\Agronomica_2015_04.tif,2015,4,0.73,0.5,0.97,100.0,1.21,0,300,0,988,688
Agronomica_2015_05.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2015\Agronomica_2015_05.tif,2015,5,0.8,0.6,0.69,100.0,1.15,0,300,0,988,688
Agronomica_2015_06.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2015\Agronomica_2015_06.tif,2015,6,0.65,0.5,0.6,100.0,0.95,0,300,0,988,688
Agronomica_2015_08.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2015\Agronomica_2015_08.tif,2015,8,0.54,0.2,1.26,87.5,1.17,86,300,0,988,688
Agronomica_2015_07.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2015\Agronomica_2015_07.tif,2015,7,0.82,0.5,1.68,99.42,1.66,3,300,0,988,688
Agronomica_2015_09.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2015\Agronomica_2015_09.tif,2015,9,0.55,0.3,0.95,100.0,1.02,0,300,0,988,688
Agronomica_2015_10.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2015\Agronomica_2015_10.tif,2015,10,2.0,1.0,1.9,99.42,2.95,4,300,0,988,688
Agronomica_2015_11.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2015\Agronomica_2015_11.tif,2015,11,0.73,0.6,0.56,100.0,1.01,0,300,0,988,688
Agronomica_2015_12.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2015\Agronomica_2015_12.tif,2015,12,1.66,0.65,2.06,98.4,2.69,3,300,0,988,688
Agronomica_2016_02.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2016\Agronomica_2016_02.tif,2016,2,0.72,0.5,1.0,99.56,1.22,3,300,0,988,688
Agronomica_2016_01.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2016\Agronomica_2016_01.tif,2016,1,0.64,0.4,1.05,100.0,1.17,0,300,0,988,688
Agronomica_2016_04.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2016\Agronomica_2016_04.tif,2016,4,0.79,0.5,1.24,99.85,1.42,0,300,0,988,688
Agronomica_2016_03.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2016\Agronomica_2016_03.tif,2016,3,0.8,0.5,1.18,99.85,1.39,1,300,0,988,688
Agronomica_2016_05.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2016\Agronomica_2016_05.tif,2016,5,0.81,0.6,1.03,100.0,1.33,0,300,0,988,688
Agronomica_2016_06.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2016\Agronomica_2016_06.tif,2016,6,0.61,0.3,1.23,100.0,1.23,0,300,0,988,688
Agronomica_2016_07.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2016\Agronomica_2016_07.tif,2016,7,0.62,0.3,1.32,100.0,1.28,0,300,0,988,688
Agronomica_2016_08.tif,C:\Users\gtvargas\Documents\Agronomica_noturna\Raster\Agronomica_noturna\2016\Agronomica_2016_08.tif,2016,8,0.62,0.3,1.31,100.0,1.28,0,300,0,988,688
