arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Ascurra_2014_01.tif,C:\Users\gtvargas\Documents\Ascurra_noturno\Raster\Ascurra_recorte\2014\Ascurra_2014_01.tif,2014,1,9.62,3.0,25.7,99.67,22.47,372,360,1,962,602
Ascurra_2014_02.tif,C:\Users\gtvargas\Documents\Ascurra_noturno\Raster\Ascurra_recorte\2014\Ascurra_2014_02.tif,2014,2,9.91,2.0,25.44,99.83,22.63,373,360,1,962,602
Ascurra_2014_03.tif,C:\Users\gtvargas\Documents\Ascurra_noturno\Raster\Ascurra_recorte\2014\Ascurra_2014_03.tif,2014,3,14.05,4.0,35.27,98.01,31.69,393,360,1,962,602
Ascurra_2014_04.tif,C:\Users\gtvargas\Documents\Ascurra_noturno\Raster\Ascurra_recorte\2014\Ascurra_2014_04.tif,2014,4,13.26,4.0,32.01,99.83,29.26,363,360,1,962,602
Ascurra_2014_05.tif,C:\Users\gtvargas\Documents\Ascurra_noturno\Raster\Ascurra_recorte\2014\Ascurra_2014_05.tif,2014,5,11.14,2.0,28.14,98.67,25.22,486,360,1,962,602
Ascurra_2014_06.tif,C:\Users\gtvargas\Documents\Ascurra_noturno\Raster\Ascurra_recorte\2014\Ascurra_2014_06.tif,2014,6,11.99,2.0,29.35,99.83,26.67,572,360,1,962,602
Ascurra_2014_07.tif,C:\Users\gtvargas\Documents\Ascurra_noturno\Raster\Ascurra_recorte\2014\Ascurra_2014_07.tif,2014,7,11.15,2.0,27.21,99.0,24.76,448,360,1,962,602
Ascurra_2014_08.tif,C:\Users\gtvargas\Documents\Ascurra_noturno\Raster\Ascurra_recorte\2014\Ascurra_2014_08.tif,2014,8,11.39,2.0,29.64,99.5,26.21,584,360,1,962,602
Ascurra_2014_09.tif,C:\Users\gtvargas\Documents\Ascurra_noturno\Raster\Ascurra_recorte\2014\Ascurra_2014_09.tif,2014,9,18.52,4.0,41.81,99.83,39.43,361,360,2,962,602
Ascurra_2014_10.tif,C:\Users\gtvargas\Documents\Ascurra_noturno\Raster\Ascurra_recorte\2014\Ascurra_2014_10.tif,2014,10,15.77,5.0,33.27,99.17,32.4,365,360,1,962,602
