arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Aurora_2014_03.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2014\Aurora_2014_03.tif,2014,3,0.58,0.4,0.65,100.0,0.9,0,505,0,1564,1059
Aurora_2014_02.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2014\Aurora_2014_02.tif,2014,2,0.44,0.35,0.46,100.0,0.67,0,505,0,1564,1059
Aurora_2014_04.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2014\Aurora_2014_04.tif,2014,4,0.54,0.5,0.42,100.0,0.75,0,505,0,1564,1059
Aurora_2014_01.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2014\Aurora_2014_01.tif,2014,1,0.47,0.4,0.38,100.0,0.66,0,505,0,1564,1059
Aurora_2014_06.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2014\Aurora_2014_06.tif,2014,6,0.46,0.3,0.52,100.0,0.72,0,505,0,1564,1059
Aurora_2014_05.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2014\Aurora_2014_05.tif,2014,5,0.63,0.5,0.51,100.0,0.89,0,505,0,1564,1059
Aurora_2014_07.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2014\Aurora_2014_07.tif,2014,7,0.45,0.3,0.57,100.0,0.73,0,505,0,1564,1059
Aurora_2014_08.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2014\Aurora_2014_08.tif,2014,8,0.39,0.3,0.49,100.0,0.64,0,505,0,1564,1059
Aurora_2014_09.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2014\Aurora_2014_09.tif,2014,9,0.61,0.5,0.43,99.53,0.83,5,505,0,1564,1059
Aurora_2014_10.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2014\Aurora_2014_10.tif,2014,10,0.67,0.6,0.5,100.0,0.92,0,505,0,1564,1059
Aurora_2014_11.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2014\Aurora_2014_11.tif,2014,11,0.5,0.4,0.52,99.53,0.75,5,505,0,1564,1059
Aurora_2014_12.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2014\Aurora_2014_12.tif,2014,12,0.42,0.3,0.57,97.45,0.7,27,505,0,1564,1059
Aurora_2015_02.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2015\Aurora_2015_02.tif,2015,2,0.47,0.4,0.36,99.72,0.65,3,505,0,1564,1059
Aurora_2015_01.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2015\Aurora_2015_01.tif,2015,1,0.52,0.4,0.56,99.91,0.8,1,505,0,1564,1059
Aurora_2015_03.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2015\Aurora_2015_03.tif,2015,3,0.61,0.5,0.43,100.0,0.82,0,505,0,1564,1059
Aurora_2015_04.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2015\Aurora_2015_04.tif,2015,4,0.57,0.5,0.55,99.91,0.85,1,505,0,1564,1059
Aurora_2015_05.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2015\Aurora_2015_05.tif,2015,5,0.61,0.55,0.29,100.0,0.76,0,505,0,1564,1059
Aurora_2015_06.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2015\Aurora_2015_06.tif,2015,6,0.5,0.4,0.28,100.0,0.63,0,505,0,1564,1059
Aurora_2015_07.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2015\Aurora_2015_07.tif,2015,7,0.56,0.4,0.54,99.72,0.83,3,505,0,1564,1059
Aurora_2015_08.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2015\Aurora_2015_08.tif,2015,8,0.36,0.2,0.56,92.35,0.64,81,505,0,1564,1059
Aurora_2015_09.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2015\Aurora_2015_09.tif,2015,9,0.44,0.3,0.62,99.62,0.76,4,505,0,1564,1059
Aurora_2015_10.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2015\Aurora_2015_10.tif,2015,10,1.1,0.6,1.32,98.21,1.77,19,505,0,1564,1059
Aurora_2015_11.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2015\Aurora_2015_11.tif,2015,11,0.58,0.5,0.49,99.91,0.82,1,505,0,1564,1059
Aurora_2015_12.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2015\Aurora_2015_12.tif,2015,12,0.53,0.5,0.39,94.05,0.72,3,505,0,1564,1059
Aurora_2016_01.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2016\Aurora_2016_01.tif,2016,1,0.42,0.3,0.51,98.87,0.67,12,505,0,1564,1059
Aurora_2016_02.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2016\Aurora_2016_02.tif,2016,2,0.59,0.45,0.71,98.3,0.94,18,505,0,1564,1059
Aurora_2016_03.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2016\Aurora_2016_03.tif,2016,3,0.6,0.5,0.59,100.0,0.89,0,505,0,1564,1059
Aurora_2016_04.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2016\Aurora_2016_04.tif,2016,4,0.64,0.5,0.55,99.91,0.92,1,505,0,1564,1059
Aurora_2016_05.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2016\Aurora_2016_05.tif,2016,5,0.66,0.5,0.7,100.0,1.01,0,505,0,1564,1059
Aurora_2016_06.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2016\Aurora_2016_06.tif,2016,6,0.43,0.25,0.77,99.91,0.82,1,505,0,1564,1059
Aurora_2016_07.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2016\Aurora_2016_07.tif,2016,7,0.38,0.25,0.57,100.0,0.66,0,505,0,1564,1059
Aurora_2016_08.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2016\Aurora_2016_08.tif,2016,8,0.36,0.25,0.53,98.3,0.63,0,505,0,1564,1059
Aurora_2016_09.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2016\Aurora_2016_09.tif,2016,9,0.39,0.25,0.59,99.24,0.69,8,505,0,1564,1059
Aurora_2016_10.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2016\Aurora_2016_10.tif,2016,10,0.65,0.5,0.61,100.0,0.96,0,505,0,1564,1059
Aurora_2016_11.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2016\Aurora_2016_11.tif,2016,11,0.62,0.5,0.49,100.0,0.86,0,505,0,1564,1059
Aurora_2016_12.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2016\Aurora_2016_12.tif,2016,12,0.56,0.4,0.53,100.0,0.83,0,505,0,1564,1059
Aurora_2017_01.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2017\Aurora_2017_01.tif,2017,1,0.52,0.4,0.69,99.72,0.86,3,505,0,1564,1059
Aurora_2017_02.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2017\Aurora_2017_02.tif,2017,2,0.5,0.3,0.58,100.0,0.79,0,505,0,1564,1059
Aurora_2017_04.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2017\Aurora_2017_04.tif,2017,4,0.53,0.4,0.37,100.0,0.72,0,505,0,1564,1059
Aurora_2017_03.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2017\Aurora_2017_03.tif,2017,3,0.45,0.3,0.47,100.0,0.68,0,505,0,1564,1059
Aurora_2017_05.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2017\Aurora_2017_05.tif,2017,5,0.82,0.45,1.78,99.34,1.71,7,505,0,1564,1059
Aurora_2017_06.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2017\Aurora_2017_06.tif,2017,6,0.59,0.5,0.46,100.0,0.82,0,505,0,1564,1059
Aurora_2017_07.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2017\Aurora_2017_07.tif,2017,7,0.51,0.3,0.89,100.0,0.95,0,505,0,1564,1059
Aurora_2017_08.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2017\Aurora_2017_08.tif,2017,8,0.41,0.3,0.55,97.36,0.68,28,505,0,1564,1059
Aurora_2017_09.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2017\Aurora_2017_09.tif,2017,9,0.48,0.35,0.51,99.62,0.74,4,505,0,1564,1059
Aurora_2017_10.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2017\Aurora_2017_10.tif,2017,10,0.57,0.45,0.53,99.53,0.83,5,505,0,1564,1059
Aurora_2017_11.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2017\Aurora_2017_11.tif,2017,11,0.62,0.4,0.74,100.0,0.99,0,505,0,1564,1059
Aurora_2017_12.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2017\Aurora_2017_12.tif,2017,12,0.66,0.5,0.65,99.15,0.98,9,505,0,1564,1059
Aurora_2018_01.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2018\Aurora_2018_01.tif,2018,1,0.46,0.2,0.83,57.32,0.87,452,505,0,1564,1059
Aurora_2018_03.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2018\Aurora_2018_03.tif,2018,3,0.51,0.35,0.59,100.0,0.81,0,505,0,1564,1059
Aurora_2018_02.tif,C:\Users\gtvargas\Documents\Aurora_noturna\Raster\Aurora_recortes\2018\Aurora_2018_02.tif,2018,2,0.56,0.4,0.58,100.0,0.85,0,505,0,1564,1059
