arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
blumenau_recortado_2014_01.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\BNU_RECORTADO\2014\blumenau_recortado_2014_01.tif,2014,1,5.89,0.9,12.53,98.99,12.15,23,2456,0,5125,2669
blumenau_recortado_2014_04.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\BNU_RECORTADO\2014\blumenau_recortado_2014_04.tif,2014,4,5.47,1.2,10.6,99.85,10.77,0,2456,0,5125,2669
blumenau_recortado_2014_03.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\BNU_RECORTADO\2014\blumenau_recortado_2014_03.tif,2014,3,5.66,1.4,11.47,99.85,11.4,0,2456,0,5125,2669
blumenau_recortado_2014_02.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\BNU_RECORTADO\2014\blumenau_recortado_2014_02.tif,2014,2,5.76,1.1,11.94,99.85,11.72,0,2456,0,5125,2669
blumenau_recortado_2014_06.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\BNU_RECORTADO\2014\blumenau_recortado_2014_06.tif,2014,6,5.54,0.95,11.53,99.85,11.31,0,2456,0,5125,2669
blumenau_recortado_2014_05.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\BNU_RECORTADO\2014\blumenau_recortado_2014_05.tif,2014,5,6.03,1.15,12.45,99.85,12.25,0,2456,0,5125,2669
blumenau_recortado_2014_08.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\BNU_RECORTADO\2014\blumenau_recortado_2014_08.tif,2014,8,6.29,1.0,13.54,99.85,13.07,0,2456,0,5125,2669
blumenau_recortado_2014_07.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\BNU_RECORTADO\2014\blumenau_recortado_2014_07.tif,2014,7,5.91,1.1,11.75,99.85,11.78,0,2456,0,5125,2669
blumenau_recortado_2014_10.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\BNU_RECORTADO\2014\blumenau_recortado_2014_10.tif,2014,10,5.93,1.35,10.79,99.85,11.33,0,2456,0,5125,2669
blumenau_recortado_2014_12.tif,C:\Users\gtvargas\Documents\blumenau_noturno\RASTER\BNU_RECORTADO\2014\blumenau_recortado_2014_12.tif,2014,12,6.04,1.35,11.28,99.85,11.68,0,2456,0,5125,2669
