arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
teste.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\teste.tif,0,0,0.74,0.45,0.92,99.59,1.2,8,1514,0,3479,1965
Benedito_novo_2014_01.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2014\Benedito_novo_2014_01.tif,2014,1,0.67,0.4,1.22,91.04,1.28,158,1514,0,3479,1965
Benedito_novo_2014_02.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2014\Benedito_novo_2014_02.tif,2014,2,0.7,0.45,1.04,100.0,1.22,0,1514,0,3479,1965
Benedito_novo_2014_03.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2014\Benedito_novo_2014_03.tif,2014,3,0.63,0.4,0.99,99.49,1.13,10,1514,0,3479,1965
Benedito_novo_2014_04.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2014\Benedito_novo_2014_04.tif,2014,4,0.73,0.55,0.77,100.0,1.11,0,1514,0,3479,1965
Benedito_novo_2014_05.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2014\Benedito_novo_2014_05.tif,2014,5,0.78,0.5,1.28,100.0,1.43,0,1514,0,3479,1965
Benedito_novo_2014_06.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2014\Benedito_novo_2014_06.tif,2014,6,0.58,0.3,1.37,100.0,1.27,0,1514,0,3479,1965
Benedito_novo_2014_07.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2014\Benedito_novo_2014_07.tif,2014,7,0.62,0.3,1.39,100.0,1.32,0,1514,0,3479,1965
Benedito_novo_2014_08.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2014\Benedito_novo_2014_08.tif,2014,8,0.59,0.3,1.3,100.0,1.24,0,1514,0,3479,1965
Benedito_novo_2014_09.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2014\Benedito_novo_2014_09.tif,2014,9,0.87,0.55,1.49,100.0,1.61,0,1514,0,3479,1965
Benedito_novo_2014_10.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2014\Benedito_novo_2014_10.tif,2014,10,0.8,0.6,1.03,100.0,1.31,0,1514,0,3479,1965
Benedito_novo_2014_12.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2014\Benedito_novo_2014_12.tif,2014,12,0.7,0.5,1.15,99.69,1.28,6,1514,0,3479,1965
Benedito_novo_2014_11.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2014\Benedito_novo_2014_11.tif,2014,11,0.83,0.6,1.24,99.34,1.45,0,1514,0,3479,1965
Benedito_novo_2015_01.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2015\Benedito_novo_2015_01.tif,2015,1,0.6,0.4,0.96,99.24,1.08,15,1514,0,3479,1965
Benedito_novo_2015_02.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2015\Benedito_novo_2015_02.tif,2015,2,0.64,0.4,1.18,99.24,1.23,15,1514,0,3479,1965
Benedito_novo_2015_03.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2015\Benedito_novo_2015_03.tif,2015,3,0.82,0.6,1.11,99.85,1.37,3,1514,0,3479,1965
Benedito_novo_2015_04.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2015\Benedito_novo_2015_04.tif,2015,4,0.82,0.6,1.13,99.75,1.38,5,1514,0,3479,1965
Benedito_novo_2015_05.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2015\Benedito_novo_2015_05.tif,2015,5,0.8,0.6,0.86,100.0,1.23,0,1514,0,3479,1965
Benedito_novo_2015_06.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2015\Benedito_novo_2015_06.tif,2015,6,0.67,0.4,1.21,100.0,1.27,0,1514,0,3479,1965
Benedito_novo_2015_07.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2015\Benedito_novo_2015_07.tif,2015,7,0.64,0.4,1.35,100.0,1.31,0,1514,0,3479,1965
Benedito_novo_2015_08.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2015\Benedito_novo_2015_08.tif,2015,8,0.56,0.2,1.41,94.45,1.26,109,1514,0,3479,1965
Benedito_novo_2015_10.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2015\Benedito_novo_2015_10.tif,2015,10,1.09,0.5,1.57,95.73,1.88,84,1514,0,3479,1965
Benedito_novo_2015_09.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2015\Benedito_novo_2015_09.tif,2015,9,0.55,0.3,1.16,99.59,1.13,8,1514,0,3479,1965
Benedito_novo_2015_11.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2015\Benedito_novo_2015_11.tif,2015,11,0.61,0.4,0.96,100.0,1.1,0,1514,0,3479,1965
Benedito_novo_2015_12.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2015\Benedito_novo_2015_12.tif,2015,12,1.29,0.7,1.55,94.86,2.06,94,1514,0,3479,1965
Benedito_novo_2016_01.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2016\Benedito_novo_2016_01.tif,2016,1,0.61,0.3,1.39,87.79,1.3,240,1514,0,3479,1965
Benedito_novo_2016_02.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2016\Benedito_novo_2016_02.tif,2016,2,0.72,0.4,1.28,98.07,1.36,38,1514,0,3479,1965
Benedito_novo_2016_03.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2016\Benedito_novo_2016_03.tif,2016,3,0.77,0.5,1.15,100.0,1.34,0,1514,0,3479,1965
Benedito_novo_2016_05.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2016\Benedito_novo_2016_05.tif,2016,5,0.78,0.5,1.1,100.0,1.33,0,1514,0,3479,1965
Benedito_novo_2016_04.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2016\Benedito_novo_2016_04.tif,2016,4,0.76,0.5,1.26,100.0,1.39,0,1514,0,3479,1965
Benedito_novo_2016_06.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2016\Benedito_novo_2016_06.tif,2016,6,0.59,0.2,1.51,100.0,1.34,0,1514,0,3479,1965
Benedito_novo_2016_07.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2016\Benedito_novo_2016_07.tif,2016,7,0.56,0.25,1.38,99.85,1.25,3,1514,0,3479,1965
Benedito_novo_2016_08.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2016\Benedito_novo_2016_08.tif,2016,8,0.56,0.2,1.41,100.0,1.26,0,1514,0,3479,1965
Benedito_novo_2016_09.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2016\Benedito_novo_2016_09.tif,2016,9,0.59,0.25,1.4,99.95,1.3,1,1514,0,3479,1965
Benedito_novo_2016_10.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2016\Benedito_novo_2016_10.tif,2016,10,0.89,0.6,1.13,99.8,1.46,4,1514,0,3479,1965
Benedito_novo_2016_11.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2016\Benedito_novo_2016_11.tif,2016,11,0.67,0.45,0.96,100.0,1.15,0,1514,0,3479,1965
Benedito_novo_2016_12.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2016\Benedito_novo_2016_12.tif,2016,12,0.74,0.5,0.84,100.0,1.16,0,1514,0,3479,1965
Benedito_novo_2017_01.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2017\Benedito_novo_2017_01.tif,2017,1,0.67,0.4,1.31,99.85,1.32,3,1514,0,3479,1965
Benedito_novo_2017_02.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2017\Benedito_novo_2017_02.tif,2017,2,0.67,0.4,1.15,100.0,1.25,0,1514,0,3479,1965
Benedito_novo_2017_04.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2017\Benedito_novo_2017_04.tif,2017,4,0.76,0.5,1.24,100.0,1.38,0,1514,0,3479,1965
Benedito_novo_2017_03.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2017\Benedito_novo_2017_03.tif,2017,3,0.58,0.35,0.8,99.9,0.98,2,1514,0,3479,1965
Benedito_novo_2017_06.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2017\Benedito_novo_2017_06.tif,2017,6,0.78,0.5,1.32,99.95,1.44,1,1514,0,3479,1965
Benedito_novo_2017_05.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2017\Benedito_novo_2017_05.tif,2017,5,0.73,0.5,0.89,99.39,1.18,12,1514,0,3479,1965
Benedito_novo_2017_07.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2017\Benedito_novo_2017_07.tif,2017,7,0.64,0.25,1.31,99.75,1.29,5,1514,0,3479,1965
Benedito_novo_2017_08.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2017\Benedito_novo_2017_08.tif,2017,8,0.65,0.3,1.49,95.47,1.4,89,1514,0,3479,1965
Benedito_novo_2017_09.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2017\Benedito_novo_2017_09.tif,2017,9,0.82,0.4,1.49,93.44,1.57,108,1514,0,3479,1965
Benedito_novo_2017_11.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2017\Benedito_novo_2017_11.tif,2017,11,0.79,0.4,1.55,100.0,1.56,0,1514,0,3479,1965
Benedito_novo_2017_10.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2017\Benedito_novo_2017_10.tif,2017,10,0.69,0.4,1.34,99.95,1.36,1,1514,0,3479,1965
Benedito_novo_2017_12.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2017\Benedito_novo_2017_12.tif,2017,12,0.74,0.45,0.92,99.59,1.2,8,1514,0,3479,1965
Benedito_novo_2018_01.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2018\Benedito_novo_2018_01.tif,2018,1,0.68,0.3,1.44,92.16,1.4,154,1514,0,3479,1965
Benedito_novo_2018_02.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2018\Benedito_novo_2018_02.tif,2018,2,0.68,0.4,1.04,99.9,1.2,2,1514,0,3479,1965
Benedito_novo_2018_03.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2018\Benedito_novo_2018_03.tif,2018,3,0.53,0.3,0.93,99.08,1.0,15,1514,0,3479,1965
Benedito_novo_2018_05.tif,C:\Users\gtvargas\Documents\Benedito_novo_noturno\Raster\Benedito_novo_recorte\2018\Benedito_novo_2018_05.tif,2018,5,0.86,0.5,1.37,100.0,1.54,0,1514,0,3479,1965
