arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Canelinha_2014_01.tif,C:\Users\gtvargas\Documents\Canelinha_noturna\Raster\Canelinha_recortes\2014\Canelinha_2014_01.tif,2014,1,1.13,0.7,2.0,99.63,2.13,3,1509,0,2322,813
Canelinha_2014_02.tif,C:\Users\gtvargas\Documents\Canelinha_noturna\Raster\Canelinha_recortes\2014\Canelinha_2014_02.tif,2014,2,1.2,0.6,2.15,100.0,2.27,0,1509,0,2322,813
Canelinha_2014_03.tif,C:\Users\gtvargas\Documents\Canelinha_noturna\Raster\Canelinha_recortes\2014\Canelinha_2014_03.tif,2014,3,1.3,0.8,2.12,100.0,2.36,0,1509,0,2322,813
Canelinha_2014_04.tif,C:\Users\gtvargas\Documents\Canelinha_noturna\Raster\Canelinha_recortes\2014\Canelinha_2014_04.tif,2014,4,1.28,0.8,2.02,100.0,2.29,0,1509,0,2322,813
Canelinha_2014_06.tif,C:\Users\gtvargas\Documents\Canelinha_noturna\Raster\Canelinha_recortes\2014\Canelinha_2014_06.tif,2014,6,1.1,0.6,2.12,100.0,2.16,0,1509,0,2322,813
Canelinha_2014_07.tif,C:\Users\gtvargas\Documents\Canelinha_noturna\Raster\Canelinha_recortes\2014\Canelinha_2014_07.tif,2014,7,1.15,0.6,2.3,100.0,2.3,0,1509,0,2322,813
Canelinha_2014_05.tif,C:\Users\gtvargas\Documents\Canelinha_noturna\Raster\Canelinha_recortes\2014\Canelinha_2014_05.tif,2014,5,1.29,0.8,2.13,100.0,2.35,0,1509,0,2322,813
Canelinha_2014_08.tif,C:\Users\gtvargas\Documents\Canelinha_noturna\Raster\Canelinha_recortes\2014\Canelinha_2014_08.tif,2014,8,1.16,0.6,2.46,100.0,2.39,0,1509,0,2322,813
Canelinha_2014_09.tif,C:\Users\gtvargas\Documents\Canelinha_noturna\Raster\Canelinha_recortes\2014\Canelinha_2014_09.tif,2014,9,1.32,0.8,2.12,100.0,2.37,0,1509,0,2322,813
Canelinha_2014_10.tif,C:\Users\gtvargas\Documents\Canelinha_noturna\Raster\Canelinha_recortes\2014\Canelinha_2014_10.tif,2014,10,1.33,0.9,1.79,100.0,2.22,0,1509,0,2322,813
Canelinha_2014_11.tif,C:\Users\gtvargas\Documents\Canelinha_noturna\Raster\Canelinha_recortes\2014\Canelinha_2014_11.tif,2014,11,1.32,0.65,2.9,100.0,2.77,0,1509,0,2322,813
