arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Dona_Emma_2014_01.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2014\Dona_Emma_2014_01.tif,2014,1,0.41,0.3,0.52,98.98,0.67,10,913,0,1890,977
Dona_Emma_2014_02.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2014\Dona_Emma_2014_02.tif,2014,2,0.59,0.5,0.63,100.0,0.9,0,913,0,1890,977
Dona_Emma_2014_03.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2014\Dona_Emma_2014_03.tif,2014,3,0.52,0.4,0.55,100.0,0.8,0,913,0,1890,977
Dona_Emma_2014_04.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2014\Dona_Emma_2014_04.tif,2014,4,0.51,0.4,0.48,100.0,0.74,0,913,0,1890,977
Dona_Emma_2014_05.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2014\Dona_Emma_2014_05.tif,2014,5,0.68,0.55,0.7,100.0,1.03,0,913,0,1890,977
Dona_Emma_2014_06.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2014\Dona_Emma_2014_06.tif,2014,6,0.39,0.3,0.51,100.0,0.65,0,913,0,1890,977
Dona_Emma_2014_07.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2014\Dona_Emma_2014_07.tif,2014,7,0.37,0.25,0.65,100.0,0.7,0,913,0,1890,977
Dona_Emma_2014_08.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2014\Dona_Emma_2014_08.tif,2014,8,0.34,0.2,0.56,100.0,0.62,0,913,0,1890,977
Dona_Emma_2014_09.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2014\Dona_Emma_2014_09.tif,2014,9,0.58,0.5,0.54,100.0,0.85,0,913,0,1890,977
Dona_Emma_2014_10.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2014\Dona_Emma_2014_10.tif,2014,10,0.66,0.5,0.65,100.0,0.99,0,913,0,1890,977
Dona_Emma_2014_11.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2014\Dona_Emma_2014_11.tif,2014,11,0.5,0.4,0.57,100.0,0.78,0,913,0,1890,977
Dona_Emma_2014_12.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2014\Dona_Emma_2014_12.tif,2014,12,0.48,0.35,0.81,99.49,0.88,5,913,0,1890,977
Dona_Emma_2015_01.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2015\Dona_Emma_2015_01.tif,2015,1,0.37,0.25,0.61,98.98,0.67,10,913,0,1890,977
Dona_Emma_2015_02.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2015\Dona_Emma_2015_02.tif,2015,2,0.52,0.4,0.52,99.28,0.78,0,913,0,1890,977
Dona_Emma_2015_03.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2015\Dona_Emma_2015_03.tif,2015,3,0.6,0.5,0.43,100.0,0.81,0,913,0,1890,977
Dona_Emma_2015_04.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2015\Dona_Emma_2015_04.tif,2015,4,0.59,0.5,0.52,100.0,0.85,0,913,0,1890,977
Dona_Emma_2015_05.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2015\Dona_Emma_2015_05.tif,2015,5,0.64,0.6,0.36,100.0,0.82,0,913,0,1890,977
Dona_Emma_2015_06.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2015\Dona_Emma_2015_06.tif,2015,6,0.48,0.4,0.41,100.0,0.69,0,913,0,1890,977
Dona_Emma_2015_07.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2015\Dona_Emma_2015_07.tif,2015,7,0.4,0.3,0.59,99.28,0.7,6,913,0,1890,977
Dona_Emma_2015_08.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2015\Dona_Emma_2015_08.tif,2015,8,0.31,0.2,0.74,84.65,0.68,150,913,0,1890,977
Dona_Emma_2015_09.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2015\Dona_Emma_2015_09.tif,2015,9,0.32,0.2,0.59,99.28,0.62,7,913,0,1890,977
Dona_Emma_2015_10.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2015\Dona_Emma_2015_10.tif,2015,10,0.59,0.35,0.95,97.24,1.06,9,913,0,1890,977
Dona_Emma_2015_11.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2015\Dona_Emma_2015_11.tif,2015,11,0.57,0.5,0.39,100.0,0.76,0,913,0,1890,977
Dona_Emma_2015_12.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2015\Dona_Emma_2015_12.tif,2015,12,0.63,0.4,1.15,82.6,1.21,2,913,0,1890,977
Dona_Emma_2016_01.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2016\Dona_Emma_2016_01.tif,2016,1,0.31,0.2,0.45,98.98,0.53,10,913,0,1890,977
Dona_Emma_2016_02.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2016\Dona_Emma_2016_02.tif,2016,2,0.45,0.4,0.41,99.18,0.65,8,913,0,1890,977
Dona_Emma_2016_03.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2016\Dona_Emma_2016_03.tif,2016,3,0.48,0.4,0.57,100.0,0.76,0,913,0,1890,977
Dona_Emma_2016_04.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2016\Dona_Emma_2016_04.tif,2016,4,0.51,0.4,0.46,99.59,0.74,4,913,0,1890,977
Dona_Emma_2016_05.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2016\Dona_Emma_2016_05.tif,2016,5,0.59,0.5,0.45,100.0,0.82,0,913,0,1890,977
Dona_Emma_2016_06.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2016\Dona_Emma_2016_06.tif,2016,6,0.33,0.2,0.67,100.0,0.66,0,913,0,1890,977
Dona_Emma_2016_07.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2016\Dona_Emma_2016_07.tif,2016,7,0.28,0.2,0.43,98.16,0.5,18,913,0,1890,977
Dona_Emma_2016_08.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2016\Dona_Emma_2016_08.tif,2016,8,0.3,0.2,0.44,99.8,0.52,2,913,0,1890,977
Dona_Emma_2016_09.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2016\Dona_Emma_2016_09.tif,2016,9,0.33,0.2,0.59,99.49,0.62,5,913,0,1890,977
Dona_Emma_2016_10.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2016\Dona_Emma_2016_10.tif,2016,10,0.6,0.5,0.79,99.59,0.99,4,913,0,1890,977
Dona_Emma_2016_11.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2016\Dona_Emma_2016_11.tif,2016,11,0.52,0.45,0.43,100.0,0.73,0,913,0,1890,977
Dona_Emma_2016_12.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2016\Dona_Emma_2016_12.tif,2016,12,0.55,0.45,0.52,100.0,0.81,0,913,0,1890,977
Dona_Emma_2017_01.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2017\Dona_Emma_2017_01.tif,2017,1,0.46,0.3,0.71,99.08,0.81,9,913,0,1890,977
Dona_Emma_2017_02.tif,C:\Users\gtvargas\Documents\Dona_Emma_noturna\Raster\Dona_Emma_recortes\2017\Dona_Emma_2017_02.tif,2017,2,0.52,0.4,0.64,100.0,0.84,0,913,0,1890,977
