arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Ibirama_2014_02.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2014\Ibirama_2014_02.tif,2014,2,1.01,0.5,1.84,100.0,1.93,0,612,0,1888,1276
Ibirama_2014_03.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2014\Ibirama_2014_03.tif,2014,3,1.03,0.55,1.75,99.84,1.9,2,612,0,1888,1276
Ibirama_2014_01.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2014\Ibirama_2014_01.tif,2014,1,1.02,0.5,1.77,99.61,1.91,5,612,0,1888,1276
Ibirama_2014_04.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2014\Ibirama_2014_04.tif,2014,4,1.1,0.55,1.92,100.0,2.06,0,612,0,1888,1276
Ibirama_2014_05.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2014\Ibirama_2014_05.tif,2014,5,1.06,0.6,1.5,100.0,1.81,0,612,0,1888,1276
Ibirama_2014_06.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2014\Ibirama_2014_06.tif,2014,6,0.98,0.4,1.95,100.0,1.96,0,612,0,1888,1276
Ibirama_2014_09.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2014\Ibirama_2014_09.tif,2014,9,1.08,0.6,1.44,100.0,1.8,0,612,0,1888,1276
Ibirama_2014_08.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2014\Ibirama_2014_08.tif,2014,8,0.94,0.3,2.07,100.0,1.98,0,612,0,1888,1276
Ibirama_2014_07.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2014\Ibirama_2014_07.tif,2014,7,0.95,0.4,1.67,100.0,1.78,0,612,0,1888,1276
Ibirama_2014_10.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2014\Ibirama_2014_10.tif,2014,10,1.09,0.6,1.47,100.0,1.83,0,612,0,1888,1276
Ibirama_2014_12.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2014\Ibirama_2014_12.tif,2014,12,1.08,0.55,2.26,98.75,2.21,16,612,0,1888,1276
Ibirama_2014_11.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2014\Ibirama_2014_11.tif,2014,11,1.14,0.6,2.02,100.0,2.15,0,612,0,1888,1276
Ibirama_2015_01.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2015\Ibirama_2015_01.tif,2015,1,1.0,0.5,1.73,100.0,1.87,0,612,0,1888,1276
Ibirama_2015_02.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2015\Ibirama_2015_02.tif,2015,2,1.11,0.5,2.25,99.76,2.24,3,612,0,1888,1276
Ibirama_2015_03.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2015\Ibirama_2015_03.tif,2015,3,1.11,0.6,1.41,100.0,1.81,0,612,0,1888,1276
Ibirama_2015_05.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2015\Ibirama_2015_05.tif,2015,5,1.02,0.7,1.21,99.92,1.62,1,612,0,1888,1276
Ibirama_2015_04.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2015\Ibirama_2015_04.tif,2015,4,1.14,0.6,1.94,99.69,2.11,4,612,0,1888,1276
Ibirama_2015_06.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2015\Ibirama_2015_06.tif,2015,6,0.97,0.55,1.41,100.0,1.67,0,612,0,1888,1276
Ibirama_2015_07.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2015\Ibirama_2015_07.tif,2015,7,1.35,0.5,2.61,100.0,2.65,0,612,0,1888,1276
Ibirama_2015_08.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2015\Ibirama_2015_08.tif,2015,8,0.88,0.3,2.02,98.2,1.89,23,612,0,1888,1276
Ibirama_2015_11.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2015\Ibirama_2015_11.tif,2015,11,0.86,0.5,1.42,100.0,1.58,0,612,0,1888,1276
Ibirama_2015_10.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2015\Ibirama_2015_10.tif,2015,10,1.78,0.7,2.12,98.12,2.84,22,612,0,1888,1276
Ibirama_2015_12.tif,C:\Users\gtvargas\Documents\Ibirama_Noturna\Raster\Ibirama_noturna\2015\Ibirama_2015_12.tif,2015,12,1.13,0.75,1.22,86.6,1.74,12,612,0,1888,1276
