arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Ilhota_2014_02.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2014\Ilhota_2014_02.tif,2014,2,1.34,0.8,2.11,100.0,2.39,0,1158,0,2450,1292
Ilhota_2014_01.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2014\Ilhota_2014_01.tif,2014,1,1.1,0.6,2.24,97.21,2.22,35,1158,0,2450,1292
Ilhota_2014_03.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2014\Ilhota_2014_03.tif,2014,3,1.33,0.8,1.99,100.0,2.33,0,1158,0,2450,1292
Ilhota_2014_04.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2014\Ilhota_2014_04.tif,2014,4,1.46,0.8,2.65,100.0,2.79,0,1158,0,2450,1292
Ilhota_2014_06.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2014\Ilhota_2014_06.tif,2014,6,1.23,0.6,2.54,100.0,2.5,0,1158,0,2450,1292
Ilhota_2014_05.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2014\Ilhota_2014_05.tif,2014,5,1.32,0.8,2.07,100.0,2.35,0,1158,0,2450,1292
Ilhota_2014_07.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2014\Ilhota_2014_07.tif,2014,7,1.33,0.6,2.98,100.0,2.82,0,1158,0,2450,1292
Ilhota_2014_09.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2014\Ilhota_2014_09.tif,2014,9,1.42,0.8,2.02,100.0,2.43,0,1158,0,2450,1292
Ilhota_2014_08.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2014\Ilhota_2014_08.tif,2014,8,1.28,0.7,2.55,100.0,2.56,0,1158,0,2450,1292
Ilhota_2014_10.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2014\Ilhota_2014_10.tif,2014,10,1.65,0.9,2.85,100.0,3.08,0,1158,0,2450,1292
Ilhota_2014_12.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2014\Ilhota_2014_12.tif,2014,12,1.63,0.95,2.23,99.46,2.75,7,1158,0,2450,1292
Ilhota_2014_11.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2014\Ilhota_2014_11.tif,2014,11,1.52,0.85,2.45,100.0,2.74,0,1158,0,2450,1292
Ilhota_2015_03.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2015\Ilhota_2015_03.tif,2015,3,1.6,0.95,2.57,100.0,2.89,0,1158,0,2450,1292
Ilhota_2015_01.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2015\Ilhota_2015_01.tif,2015,1,1.42,0.8,2.24,100.0,2.54,0,1158,0,2450,1292
Ilhota_2015_02.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2015\Ilhota_2015_02.tif,2015,2,1.36,0.7,2.46,100.0,2.58,0,1158,0,2450,1292
Ilhota_2015_05.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2015\Ilhota_2015_05.tif,2015,5,1.44,0.8,2.0,100.0,2.44,0,1158,0,2450,1292
Ilhota_2015_04.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2015\Ilhota_2015_04.tif,2015,4,1.57,0.95,2.32,100.0,2.73,0,1158,0,2450,1292
Ilhota_2015_06.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2015\Ilhota_2015_06.tif,2015,6,1.38,0.8,2.37,100.0,2.56,0,1158,0,2450,1292
Ilhota_2015_07.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2015\Ilhota_2015_07.tif,2015,7,1.51,0.8,2.92,99.85,2.97,2,1158,0,2450,1292
Ilhota_2015_08.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2015\Ilhota_2015_08.tif,2015,8,1.3,0.65,1.87,99.61,2.23,5,1158,0,2450,1292
Ilhota_2015_11.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2015\Ilhota_2015_11.tif,2015,11,1.05,0.7,1.44,100.0,1.77,0,1158,0,2450,1292
Ilhota_2015_10.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2015\Ilhota_2015_10.tif,2015,10,2.67,1.3,2.78,96.75,4.06,42,1158,0,2450,1292
Ilhota_2015_09.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2015\Ilhota_2015_09.tif,2015,9,1.34,0.75,2.1,100.0,2.39,0,1158,0,2450,1292
Ilhota_2015_12.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2015\Ilhota_2015_12.tif,2015,12,1.45,0.9,1.59,99.3,2.25,2,1158,0,2450,1292
Ilhota_2016_02.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2016\Ilhota_2016_02.tif,2016,2,1.47,0.95,1.82,98.68,2.38,2,1158,0,2450,1292
Ilhota_2016_01.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2016\Ilhota_2016_01.tif,2016,1,1.21,0.55,2.43,99.23,2.43,10,1158,0,2450,1292
Ilhota_2016_03.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2016\Ilhota_2016_03.tif,2016,3,1.56,0.9,2.61,100.0,2.86,0,1158,0,2450,1292
Ilhota_2016_05.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2016\Ilhota_2016_05.tif,2016,5,1.4,0.7,2.91,100.0,2.86,0,1158,0,2450,1292
Ilhota_2016_04.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2016\Ilhota_2016_04.tif,2016,4,1.5,0.75,2.44,100.0,2.72,0,1158,0,2450,1292
Ilhota_2016_06.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2016\Ilhota_2016_06.tif,2016,6,1.28,0.6,2.65,100.0,2.61,0,1158,0,2450,1292
Ilhota_2016_08.tif,C:\Users\gtvargas\Documents\Ilhota_noturno\Raster\Ilhota_recorte\2016\Ilhota_2016_08.tif,2016,8,1.26,0.5,2.81,100.0,2.67,0,1158,0,2450,1292
