arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Imbuia_2014_01.tif,C:\Users\gtvargas\Documents\Imbuia_noturna\Raster\Imbuia_Recorte\2014\Imbuia_2014_01.tif,2014,1,0.55,0.4,1.08,98.57,1.09,4,707,0,1406,699
Imbuia_2014_02.tif,C:\Users\gtvargas\Documents\Imbuia_noturna\Raster\Imbuia_Recorte\2014\Imbuia_2014_02.tif,2014,2,0.53,0.3,1.14,99.14,1.1,0,707,0,1406,699
Imbuia_2014_03.tif,C:\Users\gtvargas\Documents\Imbuia_noturna\Raster\Imbuia_Recorte\2014\Imbuia_2014_03.tif,2014,3,0.66,0.4,1.34,97.85,1.33,9,707,0,1406,699
Imbuia_2014_05.tif,C:\Users\gtvargas\Documents\Imbuia_noturna\Raster\Imbuia_Recorte\2014\Imbuia_2014_05.tif,2014,5,0.78,0.5,1.63,99.14,1.59,0,707,0,1406,699
Imbuia_2014_04.tif,C:\Users\gtvargas\Documents\Imbuia_noturna\Raster\Imbuia_Recorte\2014\Imbuia_2014_04.tif,2014,4,0.7,0.5,1.2,99.14,1.3,0,707,0,1406,699
Imbuia_2014_06.tif,C:\Users\gtvargas\Documents\Imbuia_noturna\Raster\Imbuia_Recorte\2014\Imbuia_2014_06.tif,2014,6,0.57,0.3,1.16,99.0,1.15,1,707,0,1406,699
Imbuia_2014_07.tif,C:\Users\gtvargas\Documents\Imbuia_noturna\Raster\Imbuia_Recorte\2014\Imbuia_2014_07.tif,2014,7,0.54,0.3,1.25,99.14,1.17,0,707,0,1406,699
Imbuia_2014_08.tif,C:\Users\gtvargas\Documents\Imbuia_noturna\Raster\Imbuia_Recorte\2014\Imbuia_2014_08.tif,2014,8,0.5,0.25,1.17,99.14,1.09,0,707,0,1406,699
Imbuia_2014_11.tif,C:\Users\gtvargas\Documents\Imbuia_noturna\Raster\Imbuia_Recorte\2014\Imbuia_2014_11.tif,2014,11,0.71,0.5,1.29,98.57,1.36,4,707,0,1406,699
Imbuia_2014_09.tif,C:\Users\gtvargas\Documents\Imbuia_noturna\Raster\Imbuia_Recorte\2014\Imbuia_2014_09.tif,2014,9,0.78,0.55,1.12,99.0,1.34,1,707,0,1406,699
Imbuia_2014_10.tif,C:\Users\gtvargas\Documents\Imbuia_noturna\Raster\Imbuia_Recorte\2014\Imbuia_2014_10.tif,2014,10,0.78,0.5,1.23,99.14,1.4,0,707,0,1406,699
Imbuia_2015_03.tif,C:\Users\gtvargas\Documents\Imbuia_noturna\Raster\Imbuia_Recorte\2015\Imbuia_2015_03.tif,2015,3,0.71,0.5,1.12,99.14,1.27,0,707,0,1406,699
Imbuia_2014_12.tif,C:\Users\gtvargas\Documents\Imbuia_noturna\Raster\Imbuia_Recorte\2014\Imbuia_2014_12.tif,2014,12,0.69,0.45,1.22,99.14,1.3,0,707,0,1406,699
Imbuia_2015_02.tif,C:\Users\gtvargas\Documents\Imbuia_noturna\Raster\Imbuia_Recorte\2015\Imbuia_2015_02.tif,2015,2,0.57,0.35,1.19,99.14,1.17,0,707,0,1406,699
Imbuia_2015_01.tif,C:\Users\gtvargas\Documents\Imbuia_noturna\Raster\Imbuia_Recorte\2015\Imbuia_2015_01.tif,2015,1,0.55,0.3,1.21,99.14,1.16,0,707,0,1406,699
