arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Ituporanga_2014_01.tif,C:\Users\gtvargas\Documents\Ituporanga_noturno\Raster\Ituparanga_Recorte\2014\Ituporanga_2014_01.tif,2014,1,0.71,0.4,1.74,99.83,1.58,3,2633,0,4422,1789
Ituporanga_2014_03.tif,C:\Users\gtvargas\Documents\Ituporanga_noturno\Raster\Ituparanga_Recorte\2014\Ituporanga_2014_03.tif,2014,3,0.82,0.45,1.77,99.83,1.7,3,2633,0,4422,1789
Ituporanga_2014_02.tif,C:\Users\gtvargas\Documents\Ituporanga_noturno\Raster\Ituparanga_Recorte\2014\Ituporanga_2014_02.tif,2014,2,0.71,0.4,1.73,100.0,1.58,0,2633,0,4422,1789
Ituporanga_2014_05.tif,C:\Users\gtvargas\Documents\Ituporanga_noturno\Raster\Ituparanga_Recorte\2014\Ituporanga_2014_05.tif,2014,5,0.78,0.5,1.37,100.0,1.47,0,2633,0,4422,1789
Ituporanga_2014_06.tif,C:\Users\gtvargas\Documents\Ituporanga_noturno\Raster\Ituparanga_Recorte\2014\Ituporanga_2014_06.tif,2014,6,0.67,0.4,1.32,100.0,1.33,0,2633,0,4422,1789
Ituporanga_2014_04.tif,C:\Users\gtvargas\Documents\Ituporanga_noturno\Raster\Ituparanga_Recorte\2014\Ituporanga_2014_04.tif,2014,4,0.85,0.5,1.86,100.0,1.78,0,2633,0,4422,1789
Ituporanga_2014_07.tif,C:\Users\gtvargas\Documents\Ituporanga_noturno\Raster\Ituparanga_Recorte\2014\Ituporanga_2014_07.tif,2014,7,0.86,0.3,1.78,100.0,1.74,0,2633,0,4422,1789
Ituporanga_2014_09.tif,C:\Users\gtvargas\Documents\Ituporanga_noturno\Raster\Ituparanga_Recorte\2014\Ituporanga_2014_09.tif,2014,9,0.88,0.55,1.47,100.0,1.62,0,2633,0,4422,1789
Ituporanga_2014_08.tif,C:\Users\gtvargas\Documents\Ituporanga_noturno\Raster\Ituparanga_Recorte\2014\Ituporanga_2014_08.tif,2014,8,0.63,0.3,1.62,100.0,1.44,0,2633,0,4422,1789
Ituporanga_2014_10.tif,C:\Users\gtvargas\Documents\Ituporanga_noturno\Raster\Ituparanga_Recorte\2014\Ituporanga_2014_10.tif,2014,10,0.86,0.5,1.58,99.94,1.65,1,2633,0,4422,1789
