arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Jose_Boiteux_2014_01.tif,C:\Users\gtvargas\Documents\Jose_Boiteux_Noturno\Raster\Jose_Boiteux_recorte\2014\Jose_Boiteux_2014_01.tif,2014,1,0.27,0.2,0.3,90.98,0.42,185,1673,0,3724,2051
Jose_Boiteux_2014_02.tif,C:\Users\gtvargas\Documents\Jose_Boiteux_Noturno\Raster\Jose_Boiteux_recorte\2014\Jose_Boiteux_2014_02.tif,2014,2,0.39,0.35,0.28,100.0,0.54,0,1673,0,3724,2051
Jose_Boiteux_2014_03.tif,C:\Users\gtvargas\Documents\Jose_Boiteux_Noturno\Raster\Jose_Boiteux_recorte\2014\Jose_Boiteux_2014_03.tif,2014,3,0.44,0.4,0.3,100.0,0.59,0,1673,0,3724,2051
Jose_Boiteux_2014_04.tif,C:\Users\gtvargas\Documents\Jose_Boiteux_Noturno\Raster\Jose_Boiteux_recorte\2014\Jose_Boiteux_2014_04.tif,2014,4,0.45,0.4,0.22,99.95,0.56,1,1673,0,3724,2051
Jose_Boiteux_2014_05.tif,C:\Users\gtvargas\Documents\Jose_Boiteux_Noturno\Raster\Jose_Boiteux_recorte\2014\Jose_Boiteux_2014_05.tif,2014,5,0.52,0.5,0.34,100.0,0.69,0,1673,0,3724,2051
Jose_Boiteux_2014_06.tif,C:\Users\gtvargas\Documents\Jose_Boiteux_Noturno\Raster\Jose_Boiteux_recorte\2014\Jose_Boiteux_2014_06.tif,2014,6,0.36,0.3,0.34,99.85,0.53,1,1673,0,3724,2051
Jose_Boiteux_2014_07.tif,C:\Users\gtvargas\Documents\Jose_Boiteux_Noturno\Raster\Jose_Boiteux_recorte\2014\Jose_Boiteux_2014_07.tif,2014,7,0.27,0.2,0.25,99.85,0.4,3,1673,0,3724,2051
Jose_Boiteux_2014_08.tif,C:\Users\gtvargas\Documents\Jose_Boiteux_Noturno\Raster\Jose_Boiteux_recorte\2014\Jose_Boiteux_2014_08.tif,2014,8,0.29,0.2,0.35,100.0,0.46,0,1673,0,3724,2051
Jose_Boiteux_2014_09.tif,C:\Users\gtvargas\Documents\Jose_Boiteux_Noturno\Raster\Jose_Boiteux_recorte\2014\Jose_Boiteux_2014_09.tif,2014,9,0.49,0.4,0.44,100.0,0.71,0,1673,0,3724,2051
Jose_Boiteux_2014_10.tif,C:\Users\gtvargas\Documents\Jose_Boiteux_Noturno\Raster\Jose_Boiteux_recorte\2014\Jose_Boiteux_2014_10.tif,2014,10,0.55,0.5,0.38,100.0,0.74,0,1673,0,3724,2051
