arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Leoberto_Leal_2014_01.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2014\Leoberto_Leal_2014_01.tif,2014,1,0.36,0.3,0.53,96.26,0.63,41,1390,0,2916,1526
Leoberto_Leal_2014_02.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2014\Leoberto_Leal_2014_02.tif,2014,2,0.38,0.35,0.42,98.95,0.59,0,1390,0,2916,1526
Leoberto_Leal_2014_03.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2014\Leoberto_Leal_2014_03.tif,2014,3,0.42,0.4,0.29,98.75,0.56,1,1390,0,2916,1526
Leoberto_Leal_2014_04.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2014\Leoberto_Leal_2014_04.tif,2014,4,0.47,0.45,0.4,98.95,0.67,0,1390,0,2916,1526
Leoberto_Leal_2014_05.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2014\Leoberto_Leal_2014_05.tif,2014,5,0.47,0.45,0.29,98.95,0.61,0,1390,0,2916,1526
Leoberto_Leal_2014_06.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2014\Leoberto_Leal_2014_06.tif,2014,6,0.34,0.3,0.46,98.89,0.57,1,1390,0,2916,1526
Leoberto_Leal_2014_07.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2014\Leoberto_Leal_2014_07.tif,2014,7,0.27,0.2,0.51,98.95,0.52,0,1390,0,2916,1526
Leoberto_Leal_2014_08.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2014\Leoberto_Leal_2014_08.tif,2014,8,0.29,0.2,0.51,98.89,0.54,1,1390,0,2916,1526
Leoberto_Leal_2014_09.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2014\Leoberto_Leal_2014_09.tif,2014,9,0.68,0.6,0.41,98.95,0.88,0,1390,0,2916,1526
Leoberto_Leal_2014_10.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2014\Leoberto_Leal_2014_10.tif,2014,10,0.51,0.5,0.53,98.95,0.78,0,1390,0,2916,1526
Leoberto_Leal_2014_11.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2014\Leoberto_Leal_2014_11.tif,2014,11,0.42,0.4,0.65,98.56,0.75,6,1390,0,2916,1526
Leoberto_Leal_2015_01.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2015\Leoberto_Leal_2015_01.tif,2015,1,0.31,0.3,0.49,98.69,0.56,4,1390,0,2916,1526
Leoberto_Leal_2014_12.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2014\Leoberto_Leal_2014_12.tif,2014,12,0.38,0.35,0.4,98.95,0.58,0,1390,0,2916,1526
Leoberto_Leal_2015_02.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2015\Leoberto_Leal_2015_02.tif,2015,2,0.37,0.3,0.32,98.95,0.53,0,1390,0,2916,1526
Leoberto_Leal_2015_03.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2015\Leoberto_Leal_2015_03.tif,2015,3,0.51,0.5,0.65,98.95,0.83,0,1390,0,2916,1526
Leoberto_Leal_2015_04.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2015\Leoberto_Leal_2015_04.tif,2015,4,0.53,0.5,0.47,98.95,0.76,0,1390,0,2916,1526
Leoberto_Leal_2015_05.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2015\Leoberto_Leal_2015_05.tif,2015,5,0.58,0.55,0.48,98.89,0.82,1,1390,0,2916,1526
Leoberto_Leal_2015_06.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2015\Leoberto_Leal_2015_06.tif,2015,6,0.34,0.3,0.45,98.82,0.56,2,1390,0,2916,1526
Leoberto_Leal_2015_08.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2015\Leoberto_Leal_2015_08.tif,2015,8,0.21,0.2,0.61,82.57,0.52,250,1390,0,2916,1526
Leoberto_Leal_2015_07.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2015\Leoberto_Leal_2015_07.tif,2015,7,0.33,0.3,0.53,97.84,0.6,17,1390,0,2916,1526
Leoberto_Leal_2015_09.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2015\Leoberto_Leal_2015_09.tif,2015,9,0.25,0.2,0.48,98.17,0.49,12,1390,0,2916,1526
Leoberto_Leal_2015_10.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2015\Leoberto_Leal_2015_10.tif,2015,10,2.01,0.9,2.01,94.76,3.02,61,1390,0,2916,1526
Leoberto_Leal_2015_12.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2015\Leoberto_Leal_2015_12.tif,2015,12,1.08,0.3,1.92,93.97,2.04,17,1390,0,2916,1526
Leoberto_Leal_2015_11.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2015\Leoberto_Leal_2015_11.tif,2015,11,0.46,0.45,0.5,96.26,0.71,41,1390,0,2916,1526
Leoberto_Leal_2016_01.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2016\Leoberto_Leal_2016_01.tif,2016,1,0.27,0.2,0.47,96.92,0.51,31,1390,0,2916,1526
Leoberto_Leal_2016_02.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2016\Leoberto_Leal_2016_02.tif,2016,2,0.61,0.45,0.93,95.54,1.07,15,1390,0,2916,1526
Leoberto_Leal_2016_03.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2016\Leoberto_Leal_2016_03.tif,2016,3,0.37,0.35,0.39,98.95,0.56,0,1390,0,2916,1526
Leoberto_Leal_2016_04.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2016\Leoberto_Leal_2016_04.tif,2016,4,0.52,0.5,0.32,98.95,0.68,0,1390,0,2916,1526
Leoberto_Leal_2016_05.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2016\Leoberto_Leal_2016_05.tif,2016,5,0.54,0.5,0.37,98.95,0.72,0,1390,0,2916,1526
Leoberto_Leal_2016_06.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2016\Leoberto_Leal_2016_06.tif,2016,6,0.26,0.2,0.57,98.95,0.55,0,1390,0,2916,1526
Leoberto_Leal_2016_07.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2016\Leoberto_Leal_2016_07.tif,2016,7,0.21,0.2,0.49,98.23,0.46,11,1390,0,2916,1526
Leoberto_Leal_2016_08.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2016\Leoberto_Leal_2016_08.tif,2016,8,0.24,0.2,0.54,98.23,0.51,11,1390,0,2916,1526
Leoberto_Leal_2016_09.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2016\Leoberto_Leal_2016_09.tif,2016,9,0.22,0.2,0.5,96.79,0.47,33,1390,0,2916,1526
Leoberto_Leal_2016_12.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2016\Leoberto_Leal_2016_12.tif,2016,12,0.44,0.35,0.52,98.95,0.7,0,1390,0,2916,1526
Leoberto_Leal_2016_11.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2016\Leoberto_Leal_2016_11.tif,2016,11,0.52,0.5,0.56,96.59,0.8,3,1390,0,2916,1526
Leoberto_Leal_2016_10.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2016\Leoberto_Leal_2016_10.tif,2016,10,0.61,0.55,0.59,98.95,0.91,0,1390,0,2916,1526
Leoberto_Leal_2017_01.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2017\Leoberto_Leal_2017_01.tif,2017,1,0.23,0.2,0.33,94.43,0.39,69,1390,0,2916,1526
Leoberto_Leal_2017_02.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2017\Leoberto_Leal_2017_02.tif,2017,2,0.29,0.25,0.3,98.95,0.44,0,1390,0,2916,1526
Leoberto_Leal_2017_03.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2017\Leoberto_Leal_2017_03.tif,2017,3,0.27,0.2,0.3,98.89,0.42,1,1390,0,2916,1526
Leoberto_Leal_2017_04.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2017\Leoberto_Leal_2017_04.tif,2017,4,0.46,0.4,0.5,98.95,0.71,0,1390,0,2916,1526
Leoberto_Leal_2017_05.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2017\Leoberto_Leal_2017_05.tif,2017,5,0.43,0.4,0.39,98.82,0.62,2,1390,0,2916,1526
Leoberto_Leal_2017_06.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2017\Leoberto_Leal_2017_06.tif,2017,6,0.39,0.35,0.47,95.41,0.63,54,1390,0,2916,1526
Leoberto_Leal_2017_07.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2017\Leoberto_Leal_2017_07.tif,2017,7,0.23,0.2,0.59,98.62,0.52,5,1390,0,2916,1526
Leoberto_Leal_2017_08.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2017\Leoberto_Leal_2017_08.tif,2017,8,0.2,0.2,0.39,94.56,0.4,67,1390,0,2916,1526
Leoberto_Leal_2017_09.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2017\Leoberto_Leal_2017_09.tif,2017,9,0.26,0.2,0.42,96.46,0.47,38,1390,0,2916,1526
Leoberto_Leal_2017_10.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2017\Leoberto_Leal_2017_10.tif,2017,10,0.39,0.35,0.39,96.46,0.58,38,1390,0,2916,1526
Leoberto_Leal_2017_12.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2017\Leoberto_Leal_2017_12.tif,2017,12,0.42,0.4,0.45,98.69,0.64,4,1390,0,2916,1526
Leoberto_Leal_2017_11.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2017\Leoberto_Leal_2017_11.tif,2017,11,0.39,0.35,0.46,98.95,0.62,0,1390,0,2916,1526
Leoberto_Leal_2018_01.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2018\Leoberto_Leal_2018_01.tif,2018,1,0.24,0.2,0.4,73.79,0.44,384,1390,0,2916,1526
Leoberto_Leal_2018_02.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2018\Leoberto_Leal_2018_02.tif,2018,2,0.38,0.35,0.43,98.89,0.6,1,1390,0,2916,1526
Leoberto_Leal_2018_04.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2018\Leoberto_Leal_2018_04.tif,2018,4,0.37,0.3,0.41,98.82,0.58,2,1390,0,2916,1526
Leoberto_Leal_2018_03.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2018\Leoberto_Leal_2018_03.tif,2018,3,0.29,0.25,0.38,96.07,0.48,44,1390,0,2916,1526
Leoberto_Leal_2018_05.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2018\Leoberto_Leal_2018_05.tif,2018,5,0.5,0.45,0.44,98.95,0.72,0,1390,0,2916,1526
Leoberto_Leal_2018_06.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2018\Leoberto_Leal_2018_06.tif,2018,6,0.35,0.3,0.5,98.95,0.6,0,1390,0,2916,1526
Leoberto_Leal_2018_07.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2018\Leoberto_Leal_2018_07.tif,2018,7,0.35,0.3,0.49,98.95,0.6,0,1390,0,2916,1526
Leoberto_Leal_2018_08.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2018\Leoberto_Leal_2018_08.tif,2018,8,0.27,0.2,0.57,96.13,0.55,43,1390,0,2916,1526
Leoberto_Leal_2018_09.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2018\Leoberto_Leal_2018_09.tif,2018,9,0.28,0.2,0.51,96.72,0.53,34,1390,0,2916,1526
Leoberto_Leal_2018_10.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2018\Leoberto_Leal_2018_10.tif,2018,10,0.81,0.3,1.6,94.95,1.61,61,1390,0,2916,1526
Leoberto_Leal_2018_11.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2018\Leoberto_Leal_2018_11.tif,2018,11,0.35,0.3,0.41,98.69,0.56,4,1390,0,2916,1526
Leoberto_Leal_2018_12.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2018\Leoberto_Leal_2018_12.tif,2018,12,0.26,0.2,0.58,97.44,0.55,23,1390,0,2916,1526
Leoberto_Leal_2019_01.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2019\Leoberto_Leal_2019_01.tif,2019,1,0.31,0.25,0.57,91.22,0.59,118,1390,0,2916,1526
Leoberto_Leal_2019_02.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2019\Leoberto_Leal_2019_02.tif,2019,2,0.26,0.2,0.47,85.71,0.49,202,1390,0,2916,1526
Leoberto_Leal_2019_03.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2019\Leoberto_Leal_2019_03.tif,2019,3,0.27,0.2,0.35,95.67,0.45,50,1390,0,2916,1526
Leoberto_Leal_2019_04.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2019\Leoberto_Leal_2019_04.tif,2019,4,0.46,0.4,0.5,98.89,0.71,1,1390,0,2916,1526
Leoberto_Leal_2019_05.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2019\Leoberto_Leal_2019_05.tif,2019,5,0.91,0.6,1.09,94.76,1.46,64,1390,0,2916,1526
Leoberto_Leal_2019_06.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2019\Leoberto_Leal_2019_06.tif,2019,6,0.35,0.3,0.55,98.17,0.63,12,1390,0,2916,1526
Leoberto_Leal_2019_07.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2019\Leoberto_Leal_2019_07.tif,2019,7,0.26,0.2,0.6,98.69,0.56,4,1390,0,2916,1526
Leoberto_Leal_2019_08.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2019\Leoberto_Leal_2019_08.tif,2019,8,0.29,0.2,0.66,98.3,0.62,10,1390,0,2916,1526
Leoberto_Leal_2019_09.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2019\Leoberto_Leal_2019_09.tif,2019,9,0.32,0.3,0.3,98.69,0.47,4,1390,0,2916,1526
Leoberto_Leal_2019_10.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2019\Leoberto_Leal_2019_10.tif,2019,10,0.39,0.3,0.96,96.53,0.87,37,1390,0,2916,1526
Leoberto_Leal_2019_11.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2019\Leoberto_Leal_2019_11.tif,2019,11,0.36,0.3,0.56,98.69,0.64,4,1390,0,2916,1526
Leoberto_Leal_2019_12.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2019\Leoberto_Leal_2019_12.tif,2019,12,0.33,0.3,0.59,96.33,0.63,40,1390,0,2916,1526
Leoberto_Leal_2020_01.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2020\Leoberto_Leal_2020_01.tif,2020,1,0.34,0.3,0.33,97.31,0.5,25,1390,0,2916,1526
Leoberto_Leal_2020_02.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2020\Leoberto_Leal_2020_02.tif,2020,2,0.42,0.4,0.35,98.89,0.59,1,1390,0,2916,1526
Leoberto_Leal_2020_03.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2020\Leoberto_Leal_2020_03.tif,2020,3,0.27,0.2,0.41,97.84,0.48,17,1390,0,2916,1526
Leoberto_Leal_2020_04.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2020\Leoberto_Leal_2020_04.tif,2020,4,0.28,0.2,0.56,97.97,0.56,15,1390,0,2916,1526
Leoberto_Leal_2020_05.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2020\Leoberto_Leal_2020_05.tif,2020,5,0.2,0.1,0.55,90.69,0.48,126,1390,0,2916,1526
Leoberto_Leal_2020_07.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2020\Leoberto_Leal_2020_07.tif,2020,7,0.2,0.1,0.54,40.24,0.47,896,1390,0,2916,1526
Leoberto_Leal_2020_06.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2020\Leoberto_Leal_2020_06.tif,2020,6,0.19,0.1,0.54,90.43,0.46,130,1390,0,2916,1526
Leoberto_Leal_2020_08.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2020\Leoberto_Leal_2020_08.tif,2020,8,0.24,0.1,1.07,35.65,0.78,966,1390,0,2916,1526
Leoberto_Leal_2020_09.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2020\Leoberto_Leal_2020_09.tif,2020,9,0.4,0.15,1.07,84.73,0.93,217,1390,0,2916,1526
Leoberto_Leal_2020_10.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2020\Leoberto_Leal_2020_10.tif,2020,10,0.26,0.2,0.23,90.24,0.38,133,1390,0,2916,1526
Leoberto_Leal_2020_11.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2020\Leoberto_Leal_2020_11.tif,2020,11,0.27,0.2,0.54,96.4,0.54,39,1390,0,2916,1526
Leoberto_Leal_2020_12.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2020\Leoberto_Leal_2020_12.tif,2020,12,0.21,0.1,0.47,69.4,0.44,451,1390,0,2916,1526
Leoberto_Leal_2021_01.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2021\Leoberto_Leal_2021_01.tif,2021,1,0.32,0.3,0.49,91.02,0.57,119,1390,0,2916,1526
Leoberto_Leal_2021_03.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2021\Leoberto_Leal_2021_03.tif,2021,3,0.25,0.2,0.28,93.25,0.39,87,1390,0,2916,1526
Leoberto_Leal_2021_02.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2021\Leoberto_Leal_2021_02.tif,2021,2,0.2,0.1,0.75,54.13,0.58,684,1390,0,2916,1526
Leoberto_Leal_2021_04.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2021\Leoberto_Leal_2021_04.tif,2021,4,0.23,0.2,0.59,88.66,0.53,157,1390,0,2916,1526
Leoberto_Leal_2021_05.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2021\Leoberto_Leal_2021_05.tif,2021,5,0.25,0.2,0.58,91.68,0.54,111,1390,0,2916,1526
Leoberto_Leal_2021_07.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2021\Leoberto_Leal_2021_07.tif,2021,7,0.18,0.1,0.52,70.51,0.44,434,1390,0,2916,1526
Leoberto_Leal_2021_06.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2021\Leoberto_Leal_2021_06.tif,2021,6,0.23,0.2,0.4,86.5,0.43,190,1390,0,2916,1526
Leoberto_Leal_2021_08.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2021\Leoberto_Leal_2021_08.tif,2021,8,0.33,0.3,0.34,97.58,0.5,21,1390,0,2916,1526
Leoberto_Leal_2021_09.tif,C:\Users\gtvargas\Documents\Leoberto_Leal_Noturno\Raster\Leoberto_Leal_recortes\2021\Leoberto_Leal_2021_09.tif,2021,9,0.26,0.2,0.48,93.32,0.5,86,1390,0,2916,1526
