arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Lontras_2014_01.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2014\Lontras_2014_01.tif,2014,1,1.12,0.6,1.87,99.71,2.05,3,752,0,1782,1030
Lontras_2014_02.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2014\Lontras_2014_02.tif,2014,2,1.06,0.55,1.79,100.0,1.96,0,752,0,1782,1030
Lontras_2014_03.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2014\Lontras_2014_03.tif,2014,3,1.04,0.6,1.63,99.61,1.85,4,752,0,1782,1030
Lontras_2014_04.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2014\Lontras_2014_04.tif,2014,4,1.18,0.65,2.08,100.0,2.22,0,752,0,1782,1030
Lontras_2014_05.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2014\Lontras_2014_05.tif,2014,5,1.08,0.7,1.36,100.0,1.76,0,752,0,1782,1030
Lontras_2014_06.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2014\Lontras_2014_06.tif,2014,6,1.04,0.5,2.35,100.0,2.21,0,752,0,1782,1030
Lontras_2014_07.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2014\Lontras_2014_07.tif,2014,7,1.09,0.5,1.95,100.0,2.06,0,752,0,1782,1030
Lontras_2014_08.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2014\Lontras_2014_08.tif,2014,8,0.95,0.4,2.01,100.0,1.96,0,752,0,1782,1030
Lontras_2014_09.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2014\Lontras_2014_09.tif,2014,9,1.12,0.65,1.4,100.0,1.82,0,752,0,1782,1030
Lontras_2014_10.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2014\Lontras_2014_10.tif,2014,10,1.13,0.75,1.46,100.0,1.86,0,752,0,1782,1030
Lontras_2014_12.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2014\Lontras_2014_12.tif,2014,12,1.04,0.6,1.74,99.9,1.91,1,752,0,1782,1030
Lontras_2014_11.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2014\Lontras_2014_11.tif,2014,11,1.13,0.6,1.8,99.81,2.03,2,752,0,1782,1030
Lontras_2015_02.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2015\Lontras_2015_02.tif,2015,2,1.05,0.6,1.41,100.0,1.76,0,752,0,1782,1030
Lontras_2015_01.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2015\Lontras_2015_01.tif,2015,1,0.97,0.5,1.94,99.9,1.94,1,752,0,1782,1030
Lontras_2015_03.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2015\Lontras_2015_03.tif,2015,3,1.13,0.7,1.44,99.81,1.85,2,752,0,1782,1030
Lontras_2015_06.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2015\Lontras_2015_06.tif,2015,6,1.07,0.6,1.73,100.0,1.93,0,752,0,1782,1030
Lontras_2015_04.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2015\Lontras_2015_04.tif,2015,4,1.15,0.65,1.87,100.0,2.08,0,752,0,1782,1030
Lontras_2015_05.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2015\Lontras_2015_05.tif,2015,5,1.03,0.65,1.57,100.0,1.82,0,752,0,1782,1030
Lontras_2015_07.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2015\Lontras_2015_07.tif,2015,7,1.17,0.5,2.31,99.9,2.32,1,752,0,1782,1030
Lontras_2015_09.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2015\Lontras_2015_09.tif,2015,9,0.92,0.45,2.1,100.0,1.97,0,752,0,1782,1030
Lontras_2015_08.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2015\Lontras_2015_08.tif,2015,8,0.85,0.35,1.96,94.37,1.83,58,752,0,1782,1030
Lontras_2015_12.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2015\Lontras_2015_12.tif,2015,12,0.97,0.6,1.26,65.83,1.6,3,752,0,1782,1030
Lontras_2015_10.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2015\Lontras_2015_10.tif,2015,10,1.37,0.5,2.02,94.17,2.38,57,752,0,1782,1030
Lontras_2015_11.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2015\Lontras_2015_11.tif,2015,11,0.94,0.6,1.72,100.0,1.8,0,752,0,1782,1030
Lontras_2016_01.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2016\Lontras_2016_01.tif,2016,1,0.94,0.45,1.66,99.22,1.77,8,752,0,1782,1030
Lontras_2016_03.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2016\Lontras_2016_03.tif,2016,3,1.21,0.65,2.15,100.0,2.28,0,752,0,1782,1030
Lontras_2016_04.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2016\Lontras_2016_04.tif,2016,4,1.11,0.7,1.42,99.9,1.83,1,752,0,1782,1030
Lontras_2016_02.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2016\Lontras_2016_02.tif,2016,2,1.1,0.6,1.78,98.74,1.99,13,752,0,1782,1030
Lontras_2016_06.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2016\Lontras_2016_06.tif,2016,6,0.96,0.4,2.09,100.0,2.01,0,752,0,1782,1030
Lontras_2016_05.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2016\Lontras_2016_05.tif,2016,5,1.02,0.55,1.68,100.0,1.85,0,752,0,1782,1030
Lontras_2016_07.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2016\Lontras_2016_07.tif,2016,7,0.9,0.4,2.12,100.0,1.96,0,752,0,1782,1030
Lontras_2016_08.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2016\Lontras_2016_08.tif,2016,8,0.93,0.4,2.29,100.0,2.08,0,752,0,1782,1030
Lontras_2016_10.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2016\Lontras_2016_10.tif,2016,10,1.39,0.8,1.8,98.35,2.29,0,752,0,1782,1030
Lontras_2016_09.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2016\Lontras_2016_09.tif,2016,9,1.02,0.43,2.35,100.0,2.2,0,752,0,1782,1030
Lontras_2016_12.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2016\Lontras_2016_12.tif,2016,12,1.19,0.7,1.94,100.0,2.16,0,752,0,1782,1030
Lontras_2016_11.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2016\Lontras_2016_11.tif,2016,11,1.09,0.68,1.53,100.0,1.86,0,752,0,1782,1030
Lontras_2017_02.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2017\Lontras_2017_02.tif,2017,2,1.0,0.6,1.6,100.0,1.8,0,752,0,1782,1030
Lontras_2017_01.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2017\Lontras_2017_01.tif,2017,1,0.94,0.5,1.72,100.0,1.79,0,752,0,1782,1030
Lontras_2017_03.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2017\Lontras_2017_03.tif,2017,3,0.86,0.45,1.33,100.0,1.52,0,752,0,1782,1030
Lontras_2017_04.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2017\Lontras_2017_04.tif,2017,4,1.15,0.6,1.99,100.0,2.15,0,752,0,1782,1030
Lontras_2017_05.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2017\Lontras_2017_05.tif,2017,5,0.96,0.5,1.63,99.61,1.78,4,752,0,1782,1030
Lontras_2017_07.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2017\Lontras_2017_07.tif,2017,7,1.05,0.5,1.97,100.0,2.03,0,752,0,1782,1030
Lontras_2017_06.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2017\Lontras_2017_06.tif,2017,6,0.94,0.6,1.37,99.81,1.62,2,752,0,1782,1030
Lontras_2017_08.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2017\Lontras_2017_08.tif,2017,8,0.94,0.45,1.81,97.96,1.84,21,752,0,1782,1030
Lontras_2017_09.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2017\Lontras_2017_09.tif,2017,9,0.99,0.55,1.45,99.51,1.72,5,752,0,1782,1030
Lontras_2017_10.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2017\Lontras_2017_10.tif,2017,10,1.04,0.6,1.71,99.81,1.9,2,752,0,1782,1030
Lontras_2017_12.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2017\Lontras_2017_12.tif,2017,12,1.17,0.7,1.83,99.32,2.08,5,752,0,1782,1030
Lontras_2017_11.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2017\Lontras_2017_11.tif,2017,11,1.07,0.55,1.94,100.0,2.04,0,752,0,1782,1030
Lontras_2018_02.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2018\Lontras_2018_02.tif,2018,2,1.09,0.65,1.52,100.0,1.85,0,752,0,1782,1030
Lontras_2018_01.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2018\Lontras_2018_01.tif,2018,1,0.89,0.5,1.42,94.37,1.61,58,752,0,1782,1030
Lontras_2018_03.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2018\Lontras_2018_03.tif,2018,3,0.99,0.5,1.86,99.61,1.92,4,752,0,1782,1030
Lontras_2018_04.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2018\Lontras_2018_04.tif,2018,4,1.04,0.55,1.7,100.0,1.89,0,752,0,1782,1030
Lontras_2018_06.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2018\Lontras_2018_06.tif,2018,6,1.08,0.6,1.7,100.0,1.93,0,752,0,1782,1030
Lontras_2018_07.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2018\Lontras_2018_07.tif,2018,7,1.12,0.55,2.02,100.0,2.13,0,752,0,1782,1030
Lontras_2018_05.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2018\Lontras_2018_05.tif,2018,5,1.2,0.7,1.64,100.0,2.01,0,752,0,1782,1030
Lontras_2018_09.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2018\Lontras_2018_09.tif,2018,9,0.9,0.4,1.64,98.74,1.72,13,752,0,1782,1030
Lontras_2018_08.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2018\Lontras_2018_08.tif,2018,8,1.1,0.5,2.33,99.22,2.27,8,752,0,1782,1030
Lontras_2018_10.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2018\Lontras_2018_10.tif,2018,10,1.15,0.5,1.88,97.28,2.09,28,752,0,1782,1030
Lontras_2018_11.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2018\Lontras_2018_11.tif,2018,11,1.07,0.5,2.09,99.71,2.12,3,752,0,1782,1030
Lontras_2018_12.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2018\Lontras_2018_12.tif,2018,12,1.06,0.58,1.72,100.0,1.92,0,752,0,1782,1030
Lontras_2019_01.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2019\Lontras_2019_01.tif,2019,1,0.85,0.4,1.57,90.29,1.64,100,752,0,1782,1030
Lontras_2019_04.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2019\Lontras_2019_04.tif,2019,4,1.21,0.7,1.87,100.0,2.15,0,752,0,1782,1030
Lontras_2019_02.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2019\Lontras_2019_02.tif,2019,2,1.01,0.5,1.73,98.74,1.87,13,752,0,1782,1030
Lontras_2019_03.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2019\Lontras_2019_03.tif,2019,3,0.97,0.4,1.94,99.9,1.95,1,752,0,1782,1030
Lontras_2019_05.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2019\Lontras_2019_05.tif,2019,5,1.48,0.7,2.25,98.06,2.61,20,752,0,1782,1030
Lontras_2019_06.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2019\Lontras_2019_06.tif,2019,6,1.16,0.58,2.02,100.0,2.17,0,752,0,1782,1030
Lontras_2019_07.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2019\Lontras_2019_07.tif,2019,7,0.99,0.4,1.93,99.32,1.96,7,752,0,1782,1030
Lontras_2019_08.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2019\Lontras_2019_08.tif,2019,8,1.17,0.55,2.01,99.9,2.18,1,752,0,1782,1030
Lontras_2019_11.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2019\Lontras_2019_11.tif,2019,11,1.05,0.55,1.77,100.0,1.93,0,752,0,1782,1030
Lontras_2019_12.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2019\Lontras_2019_12.tif,2019,12,1.27,0.7,2.08,99.9,2.31,1,752,0,1782,1030
Lontras_2019_10.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2019\Lontras_2019_10.tif,2019,10,1.12,0.55,1.8,99.51,2.02,5,752,0,1782,1030
Lontras_2019_09.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2019\Lontras_2019_09.tif,2019,9,1.11,0.55,2.01,100.0,2.11,0,752,0,1782,1030
Lontras_2020_03.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2020\Lontras_2020_03.tif,2020,3,1.13,0.6,1.82,100.0,2.04,0,752,0,1782,1030
Lontras_2020_02.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2020\Lontras_2020_02.tif,2020,2,1.16,0.65,1.57,100.0,1.94,0,752,0,1782,1030
Lontras_2020_01.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2020\Lontras_2020_01.tif,2020,1,1.14,0.65,1.63,100.0,1.95,0,752,0,1782,1030
Lontras_2020_06.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2020\Lontras_2020_06.tif,2020,6,0.87,0.4,1.6,98.83,1.67,12,752,0,1782,1030
Lontras_2020_04.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2020\Lontras_2020_04.tif,2020,4,1.14,0.5,2.11,100.0,2.2,0,752,0,1782,1030
Lontras_2020_05.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2020\Lontras_2020_05.tif,2020,5,1.09,0.5,2.18,100.0,2.18,0,752,0,1782,1030
Lontras_2020_07.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2020\Lontras_2020_07.tif,2020,7,1.0,0.4,2.01,93.79,2.0,64,752,0,1782,1030
Lontras_2020_09.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2020\Lontras_2020_09.tif,2020,9,1.46,0.6,2.38,99.13,2.65,9,752,0,1782,1030
Lontras_2020_10.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2020\Lontras_2020_10.tif,2020,10,1.14,0.6,1.81,99.81,2.05,2,752,0,1782,1030
Lontras_2020_08.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2020\Lontras_2020_08.tif,2020,8,1.13,0.45,2.42,91.46,2.34,88,752,0,1782,1030
Lontras_2020_12.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2020\Lontras_2020_12.tif,2020,12,1.1,0.6,1.61,98.54,1.9,12,752,0,1782,1030
Lontras_2020_11.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2020\Lontras_2020_11.tif,2020,11,1.25,0.6,2.0,100.0,2.25,0,752,0,1782,1030
Lontras_2021_01.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2021\Lontras_2021_01.tif,2021,1,1.05,0.5,1.68,96.6,1.9,33,752,0,1782,1030
Lontras_2021_04.tif,C:\Users\gtvargas\Documents\Lontras_noturna\Raster\Lontras_recorte\2021\Lontras_2021_04.tif,2021,4,1.11,0.55,1.95,99.13,2.09,9,752,0,1782,1030
