arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Major_Gercino_2014_01.tif,C:\Users\gtvargas\Documents\Major_Gercino_Noturno\Raster\Major_Gercino_recortes\2014\Major_Gercino_2014_01.tif,2014,1,0.46,0.4,0.43,98.74,0.67,15,1300,0,2886,1586
Major_Gercino_2014_02.tif,C:\Users\gtvargas\Documents\Major_Gercino_Noturno\Raster\Major_Gercino_recortes\2014\Major_Gercino_2014_02.tif,2014,2,0.43,0.3,0.49,99.68,0.67,0,1300,0,2886,1586
Major_Gercino_2014_03.tif,C:\Users\gtvargas\Documents\Major_Gercino_Noturno\Raster\Major_Gercino_recortes\2014\Major_Gercino_2014_03.tif,2014,3,0.46,0.4,0.36,99.5,0.64,3,1300,0,2886,1586
Major_Gercino_2014_04.tif,C:\Users\gtvargas\Documents\Major_Gercino_Noturno\Raster\Major_Gercino_recortes\2014\Major_Gercino_2014_04.tif,2014,4,0.57,0.5,0.41,99.68,0.77,0,1300,0,2886,1586
Major_Gercino_2014_05.tif,C:\Users\gtvargas\Documents\Major_Gercino_Noturno\Raster\Major_Gercino_recortes\2014\Major_Gercino_2014_05.tif,2014,5,0.57,0.5,0.48,99.68,0.81,0,1300,0,2886,1586
Major_Gercino_2014_06.tif,C:\Users\gtvargas\Documents\Major_Gercino_Noturno\Raster\Major_Gercino_recortes\2014\Major_Gercino_2014_06.tif,2014,6,0.39,0.3,0.56,99.68,0.67,0,1300,0,2886,1586
Major_Gercino_2014_07.tif,C:\Users\gtvargas\Documents\Major_Gercino_Noturno\Raster\Major_Gercino_recortes\2014\Major_Gercino_2014_07.tif,2014,7,0.34,0.25,0.55,99.68,0.62,0,1300,0,2886,1586
Major_Gercino_2014_08.tif,C:\Users\gtvargas\Documents\Major_Gercino_Noturno\Raster\Major_Gercino_recortes\2014\Major_Gercino_2014_08.tif,2014,8,0.39,0.3,0.64,99.68,0.71,0,1300,0,2886,1586
Major_Gercino_2014_09.tif,C:\Users\gtvargas\Documents\Major_Gercino_Noturno\Raster\Major_Gercino_recortes\2014\Major_Gercino_2014_09.tif,2014,9,0.57,0.5,0.38,99.68,0.76,0,1300,0,2886,1586
Major_Gercino_2014_10.tif,C:\Users\gtvargas\Documents\Major_Gercino_Noturno\Raster\Major_Gercino_recortes\2014\Major_Gercino_2014_10.tif,2014,10,0.58,0.5,0.43,99.68,0.79,0,1300,0,2886,1586
Major_Gercino_2014_11.tif,C:\Users\gtvargas\Documents\Major_Gercino_Noturno\Raster\Major_Gercino_recortes\2014\Major_Gercino_2014_11.tif,2014,11,0.45,0.35,0.6,99.5,0.74,3,1300,0,2886,1586
Major_Gercino_2014_12.tif,C:\Users\gtvargas\Documents\Major_Gercino_Noturno\Raster\Major_Gercino_recortes\2014\Major_Gercino_2014_12.tif,2014,12,0.47,0.4,0.34,99.43,0.64,4,1300,0,2886,1586
Major_Gercino_2015_01.tif,C:\Users\gtvargas\Documents\Major_Gercino_Noturno\Raster\Major_Gercino_recortes\2015\Major_Gercino_2015_01.tif,2015,1,0.41,0.3,0.55,99.56,0.68,2,1300,0,2886,1586
Major_Gercino_2015_02.tif,C:\Users\gtvargas\Documents\Major_Gercino_Noturno\Raster\Major_Gercino_recortes\2015\Major_Gercino_2015_02.tif,2015,2,0.49,0.4,0.57,99.68,0.77,0,1300,0,2886,1586
Major_Gercino_2015_03.tif,C:\Users\gtvargas\Documents\Major_Gercino_Noturno\Raster\Major_Gercino_recortes\2015\Major_Gercino_2015_03.tif,2015,3,0.56,0.5,0.52,99.68,0.82,0,1300,0,2886,1586
Major_Gercino_2015_04.tif,C:\Users\gtvargas\Documents\Major_Gercino_Noturno\Raster\Major_Gercino_recortes\2015\Major_Gercino_2015_04.tif,2015,4,0.61,0.55,0.56,99.5,0.9,3,1300,0,2886,1586
Major_Gercino_2015_05.tif,C:\Users\gtvargas\Documents\Major_Gercino_Noturno\Raster\Major_Gercino_recortes\2015\Major_Gercino_2015_05.tif,2015,5,0.6,0.55,0.34,99.68,0.77,0,1300,0,2886,1586
Major_Gercino_2015_06.tif,C:\Users\gtvargas\Documents\Major_Gercino_Noturno\Raster\Major_Gercino_recortes\2015\Major_Gercino_2015_06.tif,2015,6,0.47,0.4,0.48,99.68,0.71,0,1300,0,2886,1586
