arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Nova_Trento_2014_01.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2014\Nova_Trento_2014_01.tif,2014,1,0.95,0.45,2.45,99.22,2.17,16,2472,0,4524,2052
Nova_Trento_2014_02.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2014\Nova_Trento_2014_02.tif,2014,2,0.87,0.4,2.05,100.0,1.9,0,2472,0,4524,2052
Nova_Trento_2014_03.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2014\Nova_Trento_2014_03.tif,2014,3,0.85,0.4,1.8,99.95,1.75,1,2472,0,4524,2052
Nova_Trento_2014_04.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2014\Nova_Trento_2014_04.tif,2014,4,0.96,0.55,1.85,100.0,1.89,0,2472,0,4524,2052
Nova_Trento_2014_05.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2014\Nova_Trento_2014_05.tif,2014,5,0.92,0.5,1.48,100.0,1.66,0,2472,0,4524,2052
Nova_Trento_2014_06.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2014\Nova_Trento_2014_06.tif,2014,6,0.83,0.3,2.25,100.0,1.96,0,2472,0,4524,2052
Nova_Trento_2014_07.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2014\Nova_Trento_2014_07.tif,2014,7,0.78,0.3,2.24,100.0,1.9,0,2472,0,4524,2052
Nova_Trento_2014_08.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2014\Nova_Trento_2014_08.tif,2014,8,0.76,0.3,1.94,100.0,1.73,0,2472,0,4524,2052
Nova_Trento_2014_09.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2014\Nova_Trento_2014_09.tif,2014,9,1.0,0.55,2.03,100.0,2.02,0,2472,0,4524,2052
Nova_Trento_2014_10.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2014\Nova_Trento_2014_10.tif,2014,10,0.94,0.55,1.86,100.0,1.87,0,2472,0,4524,2052
Nova_Trento_2014_11.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2014\Nova_Trento_2014_11.tif,2014,11,0.83,0.4,2.09,99.61,1.88,8,2472,0,4524,2052
Nova_Trento_2014_12.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2014\Nova_Trento_2014_12.tif,2014,12,0.89,0.5,1.85,99.9,1.81,2,2472,0,4524,2052
Nova_Trento_2015_01.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2015\Nova_Trento_2015_01.tif,2015,1,0.82,0.3,2.08,99.17,1.86,17,2472,0,4524,2052
Nova_Trento_2015_02.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2015\Nova_Trento_2015_02.tif,2015,2,0.81,0.4,1.83,99.9,1.72,2,2472,0,4524,2052
Nova_Trento_2015_03.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2015\Nova_Trento_2015_03.tif,2015,3,0.99,0.55,1.95,100.0,1.97,0,2472,0,4524,2052
Nova_Trento_2015_04.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2015\Nova_Trento_2015_04.tif,2015,4,1.02,0.6,2.0,100.0,2.02,0,2472,0,4524,2052
Nova_Trento_2015_05.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2015\Nova_Trento_2015_05.tif,2015,5,0.96,0.6,1.68,100.0,1.8,0,2472,0,4524,2052
Nova_Trento_2015_06.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2015\Nova_Trento_2015_06.tif,2015,6,0.97,0.5,2.52,100.0,2.23,0,2472,0,4524,2052
Nova_Trento_2015_07.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2015\Nova_Trento_2015_07.tif,2015,7,0.88,0.4,2.05,99.85,1.91,3,2472,0,4524,2052
Nova_Trento_2015_08.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2015\Nova_Trento_2015_08.tif,2015,8,0.73,0.3,1.98,96.69,1.72,68,2472,0,4524,2052
Nova_Trento_2015_09.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2015\Nova_Trento_2015_09.tif,2015,9,0.78,0.3,2.1,99.76,1.83,5,2472,0,4524,2052
Nova_Trento_2015_10.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2015\Nova_Trento_2015_10.tif,2015,10,4.03,2.2,4.27,71.59,6.17,576,2472,0,4524,2052
Nova_Trento_2015_11.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2015\Nova_Trento_2015_11.tif,2015,11,0.87,0.6,1.08,96.73,1.41,10,2472,0,4524,2052
Nova_Trento_2015_12.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2015\Nova_Trento_2015_12.tif,2015,12,0.97,0.35,1.55,94.49,1.74,28,2472,0,4524,2052
Nova_Trento_2016_02.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2016\Nova_Trento_2016_02.tif,2016,2,1.07,0.6,1.63,99.76,1.88,5,2472,0,4524,2052
Nova_Trento_2016_01.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2016\Nova_Trento_2016_01.tif,2016,1,0.71,0.3,2.15,97.22,1.79,57,2472,0,4524,2052
Nova_Trento_2016_03.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2016\Nova_Trento_2016_03.tif,2016,3,0.94,0.5,2.22,100.0,2.05,0,2472,0,4524,2052
Nova_Trento_2016_04.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2016\Nova_Trento_2016_04.tif,2016,4,0.89,0.5,1.69,100.0,1.74,0,2472,0,4524,2052
Nova_Trento_2016_05.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2016\Nova_Trento_2016_05.tif,2016,5,0.95,0.6,1.74,100.0,1.82,0,2472,0,4524,2052
Nova_Trento_2016_06.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2016\Nova_Trento_2016_06.tif,2016,6,0.79,0.3,2.42,100.0,2.0,0,2472,0,4524,2052
Nova_Trento_2016_07.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2016\Nova_Trento_2016_07.tif,2016,7,0.74,0.2,2.4,100.0,1.94,0,2472,0,4524,2052
Nova_Trento_2016_08.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2016\Nova_Trento_2016_08.tif,2016,8,0.78,0.3,2.34,99.95,1.95,1,2472,0,4524,2052
Nova_Trento_2016_09.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2016\Nova_Trento_2016_09.tif,2016,9,0.8,0.3,2.27,100.0,1.94,0,2472,0,4524,2052
Nova_Trento_2016_10.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2016\Nova_Trento_2016_10.tif,2016,10,0.88,0.55,1.36,100.0,1.56,0,2472,0,4524,2052
Nova_Trento_2016_11.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2016\Nova_Trento_2016_11.tif,2016,11,1.04,0.5,2.38,99.95,2.23,1,2472,0,4524,2052
Nova_Trento_2016_12.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2016\Nova_Trento_2016_12.tif,2016,12,0.95,0.55,1.77,100.0,1.84,0,2472,0,4524,2052
Nova_Trento_2017_01.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2017\Nova_Trento_2017_01.tif,2017,1,0.78,0.3,2.3,98.73,1.93,26,2472,0,4524,2052
Nova_Trento_2017_02.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2017\Nova_Trento_2017_02.tif,2017,2,0.77,0.35,1.7,100.0,1.62,0,2472,0,4524,2052
Nova_Trento_2017_03.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2017\Nova_Trento_2017_03.tif,2017,3,0.72,0.3,1.46,100.0,1.45,0,2472,0,4524,2052
Nova_Trento_2017_04.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2017\Nova_Trento_2017_04.tif,2017,4,0.9,0.5,1.83,100.0,1.81,0,2472,0,4524,2052
Nova_Trento_2017_05.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2017\Nova_Trento_2017_05.tif,2017,5,1.01,0.5,2.14,100.0,2.08,0,2472,0,4524,2052
Nova_Trento_2017_06.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2017\Nova_Trento_2017_06.tif,2017,6,0.89,0.5,1.94,99.51,1.86,10,2472,0,4524,2052
Nova_Trento_2017_08.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2017\Nova_Trento_2017_08.tif,2017,8,0.75,0.3,1.89,98.68,1.7,27,2472,0,4524,2052
Nova_Trento_2017_07.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2017\Nova_Trento_2017_07.tif,2017,7,0.8,0.3,2.07,100.0,1.83,0,2472,0,4524,2052
Nova_Trento_2017_09.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2017\Nova_Trento_2017_09.tif,2017,9,0.93,0.4,1.83,96.69,1.85,54,2472,0,4524,2052
Nova_Trento_2017_10.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2017\Nova_Trento_2017_10.tif,2017,10,0.83,0.4,2.02,99.51,1.84,10,2472,0,4524,2052
Nova_Trento_2017_11.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2017\Nova_Trento_2017_11.tif,2017,11,0.86,0.4,1.85,100.0,1.79,0,2472,0,4524,2052
Nova_Trento_2017_12.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2017\Nova_Trento_2017_12.tif,2017,12,1.01,0.6,1.69,99.71,1.86,6,2472,0,4524,2052
Nova_Trento_2018_01.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2018\Nova_Trento_2018_01.tif,2018,1,0.85,0.25,2.28,75.49,1.99,503,2472,0,4524,2052
Nova_Trento_2018_02.tif,C:\Users\gtvargas\Documents\Nova_Trento_noturno\Raster\Nova_Trento_recortes\2018\Nova_Trento_2018_02.tif,2018,2,0.91,0.5,1.76,100.0,1.78,0,2472,0,4524,2052
