arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Penha_2014_01.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2014\Penha_2014_01.tif,2014,1,9.11,4.55,10.0,98.79,14.11,0,370,0,700,330
Penha_2014_02.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2014\Penha_2014_02.tif,2014,2,9.74,6.05,10.31,99.09,14.89,0,370,0,700,330
Penha_2014_03.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2014\Penha_2014_03.tif,2014,3,8.83,5.1,8.8,99.09,13.23,0,370,0,700,330
Penha_2014_04.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2014\Penha_2014_04.tif,2014,4,9.14,6.1,8.42,99.09,13.35,0,370,0,700,330
Penha_2014_05.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2014\Penha_2014_05.tif,2014,5,8.44,5.4,8.19,98.48,12.53,0,370,0,700,330
Penha_2014_08.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2014\Penha_2014_08.tif,2014,8,10.11,5.1,11.36,99.09,15.79,0,370,0,700,330
Penha_2014_06.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2014\Penha_2014_06.tif,2014,6,9.41,5.4,11.27,99.09,15.05,0,370,0,700,330
Penha_2014_07.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2014\Penha_2014_07.tif,2014,7,9.06,5.6,9.3,99.09,13.71,0,370,0,700,330
Penha_2014_09.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2014\Penha_2014_09.tif,2014,9,9.55,5.3,9.67,99.09,14.39,0,370,0,700,330
Penha_2014_10.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2014\Penha_2014_10.tif,2014,10,9.48,5.9,8.42,99.09,13.69,0,370,0,700,330
Penha_2014_11.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2014\Penha_2014_11.tif,2014,11,8.87,6.5,7.33,99.09,12.53,0,370,0,700,330
Penha_2014_12.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2014\Penha_2014_12.tif,2014,12,9.88,6.58,9.55,98.79,14.66,0,370,0,700,330
Penha_2015_01.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2015\Penha_2015_01.tif,2015,1,9.47,5.75,9.21,99.09,14.07,0,370,0,700,330
Penha_2015_02.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2015\Penha_2015_02.tif,2015,2,9.35,5.38,9.81,98.79,14.26,0,370,0,700,330
Penha_2015_03.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2015\Penha_2015_03.tif,2015,3,9.44,5.5,10.14,99.09,14.52,0,370,0,700,330
Penha_2015_04.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2015\Penha_2015_04.tif,2015,4,10.38,6.25,10.34,99.09,15.56,0,370,0,700,330
Penha_2015_05.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2015\Penha_2015_05.tif,2015,5,9.08,4.95,9.62,99.09,13.89,0,370,0,700,330
Penha_2015_06.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2015\Penha_2015_06.tif,2015,6,10.36,5.45,11.96,99.09,16.34,0,370,0,700,330
Penha_2015_07.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2015\Penha_2015_07.tif,2015,7,9.1,6.4,8.56,99.09,13.38,0,370,0,700,330
Penha_2015_08.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2015\Penha_2015_08.tif,2015,8,8.28,5.3,7.58,99.09,12.07,0,370,0,700,330
Penha_2015_09.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2015\Penha_2015_09.tif,2015,9,8.89,5.1,9.35,99.09,13.56,0,370,0,700,330
Penha_2015_10.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2015\Penha_2015_10.tif,2015,10,6.86,6.7,2.69,99.09,8.2,0,370,0,700,330
Penha_2015_11.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2015\Penha_2015_11.tif,2015,11,6.69,4.75,5.33,99.09,9.35,0,370,0,700,330
Penha_2015_12.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2015\Penha_2015_12.tif,2015,12,6.9,6.2,4.14,97.88,8.97,0,370,0,700,330
Penha_2016_01.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2016\Penha_2016_01.tif,2016,1,10.09,5.5,11.08,99.09,15.63,0,370,0,700,330
Penha_2016_02.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2016\Penha_2016_02.tif,2016,2,8.82,6.9,6.69,99.09,12.16,0,370,0,700,330
Penha_2016_03.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2016\Penha_2016_03.tif,2016,3,10.74,5.6,11.63,99.09,16.56,0,370,0,700,330
Penha_2016_04.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2016\Penha_2016_04.tif,2016,4,9.08,4.8,9.42,99.09,13.79,0,370,0,700,330
Penha_2016_05.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2016\Penha_2016_05.tif,2016,5,9.42,5.4,10.04,99.09,14.44,0,370,0,700,330
Penha_2016_06.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2016\Penha_2016_06.tif,2016,6,10.76,5.5,11.8,98.79,16.66,0,370,0,700,330
Penha_2016_07.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2016\Penha_2016_07.tif,2016,7,8.03,4.4,8.17,99.09,12.11,0,370,0,700,330
Penha_2016_08.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2016\Penha_2016_08.tif,2016,8,8.49,3.8,9.5,99.09,13.24,0,370,0,700,330
Penha_2016_09.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2016\Penha_2016_09.tif,2016,9,10.07,6.5,9.46,99.09,14.8,0,370,0,700,330
Penha_2016_10.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2016\Penha_2016_10.tif,2016,10,8.79,5.95,7.76,99.09,12.67,0,370,0,700,330
Penha_2016_11.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2016\Penha_2016_11.tif,2016,11,10.23,6.2,9.32,99.09,14.88,0,370,0,700,330
Penha_2016_12.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2016\Penha_2016_12.tif,2016,12,10.82,5.7,11.67,99.09,16.65,0,370,0,700,330
Penha_2017_01.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2017\Penha_2017_01.tif,2017,1,11.58,6.5,12.28,98.79,17.72,0,370,0,700,330
Penha_2017_02.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2017\Penha_2017_02.tif,2017,2,10.46,7.0,10.12,99.09,15.52,0,370,0,700,330
Penha_2017_03.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2017\Penha_2017_03.tif,2017,3,8.85,5.78,8.0,98.79,12.85,0,370,0,700,330
Penha_2017_04.tif,C:\Users\gtvargas\Documents\Penha_noturno\Raster\Penha_recortes\2017\Penha_2017_04.tif,2017,4,11.33,7.5,11.22,99.09,16.94,0,370,0,700,330
