arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Petrolandia_2014_01.tif,C:\Users\gtvargas\Documents\Petrolandia_Noturna\Raster\Petrolandia_Recortes\2014\Petrolandia_2014_01.tif,2014,1,0.39,0.3,0.5,99.17,0.64,1,637,0,2200,1563
Petrolandia_2014_02.tif,C:\Users\gtvargas\Documents\Petrolandia_Noturna\Raster\Petrolandia_Recortes\2014\Petrolandia_2014_02.tif,2014,2,0.38,0.3,0.48,99.17,0.62,1,637,0,2200,1563
Petrolandia_2014_03.tif,C:\Users\gtvargas\Documents\Petrolandia_Noturna\Raster\Petrolandia_Recortes\2014\Petrolandia_2014_03.tif,2014,3,0.43,0.4,0.57,98.59,0.72,10,637,0,2200,1563
Petrolandia_2014_04.tif,C:\Users\gtvargas\Documents\Petrolandia_Noturna\Raster\Petrolandia_Recortes\2014\Petrolandia_2014_04.tif,2014,4,0.47,0.4,0.49,99.23,0.71,0,637,0,2200,1563
Petrolandia_2014_05.tif,C:\Users\gtvargas\Documents\Petrolandia_Noturna\Raster\Petrolandia_Recortes\2014\Petrolandia_2014_05.tif,2014,5,0.43,0.4,0.48,99.23,0.67,0,637,0,2200,1563
Petrolandia_2014_06.tif,C:\Users\gtvargas\Documents\Petrolandia_Noturna\Raster\Petrolandia_Recortes\2014\Petrolandia_2014_06.tif,2014,6,0.34,0.3,0.7,99.23,0.69,0,637,0,2200,1563
Petrolandia_2014_08.tif,C:\Users\gtvargas\Documents\Petrolandia_Noturna\Raster\Petrolandia_Recortes\2014\Petrolandia_2014_08.tif,2014,8,0.27,0.2,0.56,99.23,0.55,0,637,0,2200,1563
Petrolandia_2014_07.tif,C:\Users\gtvargas\Documents\Petrolandia_Noturna\Raster\Petrolandia_Recortes\2014\Petrolandia_2014_07.tif,2014,7,0.32,0.2,0.55,99.23,0.59,0,637,0,2200,1563
Petrolandia_2014_09.tif,C:\Users\gtvargas\Documents\Petrolandia_Noturna\Raster\Petrolandia_Recortes\2014\Petrolandia_2014_09.tif,2014,9,0.54,0.45,0.67,99.17,0.87,1,637,0,2200,1563
Petrolandia_2014_10.tif,C:\Users\gtvargas\Documents\Petrolandia_Noturna\Raster\Petrolandia_Recortes\2014\Petrolandia_2014_10.tif,2014,10,0.51,0.4,0.55,99.17,0.79,1,637,0,2200,1563
Petrolandia_2014_11.tif,C:\Users\gtvargas\Documents\Petrolandia_Noturna\Raster\Petrolandia_Recortes\2014\Petrolandia_2014_11.tif,2014,11,0.47,0.4,0.63,98.72,0.78,8,637,0,2200,1563
Petrolandia_2014_12.tif,C:\Users\gtvargas\Documents\Petrolandia_Noturna\Raster\Petrolandia_Recortes\2014\Petrolandia_2014_12.tif,2014,12,0.37,0.3,0.78,98.98,0.75,4,637,0,2200,1563
Petrolandia_2015_02.tif,C:\Users\gtvargas\Documents\Petrolandia_Noturna\Raster\Petrolandia_Recortes\2015\Petrolandia_2015_02.tif,2015,2,0.43,0.35,0.72,98.59,0.78,10,637,0,2200,1563
Petrolandia_2015_01.tif,C:\Users\gtvargas\Documents\Petrolandia_Noturna\Raster\Petrolandia_Recortes\2015\Petrolandia_2015_01.tif,2015,1,0.67,0.4,1.31,99.04,1.33,3,637,0,2200,1563
Petrolandia_2015_03.tif,C:\Users\gtvargas\Documents\Petrolandia_Noturna\Raster\Petrolandia_Recortes\2015\Petrolandia_2015_03.tif,2015,3,0.49,0.45,0.48,99.04,0.73,3,637,0,2200,1563
