arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Rodeio_2014_01.tif,C:\Users\gtvargas\Documents\Rodeio_noturno\Raster\Rodeio_recorte\2014\Rodeio_2014_01.tif,2014,1,1.06,0.6,1.6,98.37,1.86,11,494,0,1170,676
Rodeio_2014_02.tif,C:\Users\gtvargas\Documents\Rodeio_noturno\Raster\Rodeio_recorte\2014\Rodeio_2014_02.tif,2014,2,1.17,0.75,1.36,100.0,1.84,0,494,0,1170,676
Rodeio_2014_03.tif,C:\Users\gtvargas\Documents\Rodeio_noturno\Raster\Rodeio_recorte\2014\Rodeio_2014_03.tif,2014,3,1.13,0.8,1.34,100.0,1.8,0,494,0,1170,676
Rodeio_2014_04.tif,C:\Users\gtvargas\Documents\Rodeio_noturno\Raster\Rodeio_recorte\2014\Rodeio_2014_04.tif,2014,4,1.22,0.9,1.06,100.0,1.75,0,494,0,1170,676
Rodeio_2014_05.tif,C:\Users\gtvargas\Documents\Rodeio_noturno\Raster\Rodeio_recorte\2014\Rodeio_2014_05.tif,2014,5,1.27,0.8,1.54,100.0,2.04,0,494,0,1170,676
Rodeio_2014_06.tif,C:\Users\gtvargas\Documents\Rodeio_noturno\Raster\Rodeio_recorte\2014\Rodeio_2014_06.tif,2014,6,0.98,0.58,1.34,100.0,1.65,0,494,0,1170,676
Rodeio_2014_07.tif,C:\Users\gtvargas\Documents\Rodeio_noturno\Raster\Rodeio_recorte\2014\Rodeio_2014_07.tif,2014,7,1.29,0.65,1.71,100.0,2.14,0,494,0,1170,676
Rodeio_2014_08.tif,C:\Users\gtvargas\Documents\Rodeio_noturno\Raster\Rodeio_recorte\2014\Rodeio_2014_08.tif,2014,8,1.1,0.6,1.89,100.0,2.04,0,494,0,1170,676
Rodeio_2014_09.tif,C:\Users\gtvargas\Documents\Rodeio_noturno\Raster\Rodeio_recorte\2014\Rodeio_2014_09.tif,2014,9,1.42,0.85,1.59,100.0,2.22,0,494,0,1170,676
Rodeio_2014_11.tif,C:\Users\gtvargas\Documents\Rodeio_noturno\Raster\Rodeio_recorte\2014\Rodeio_2014_11.tif,2014,11,1.58,1.0,1.78,99.85,2.46,0,494,0,1170,676
Rodeio_2014_10.tif,C:\Users\gtvargas\Documents\Rodeio_noturno\Raster\Rodeio_recorte\2014\Rodeio_2014_10.tif,2014,10,1.25,0.9,0.97,100.0,1.74,0,494,0,1170,676
Rodeio_2014_12.tif,C:\Users\gtvargas\Documents\Rodeio_noturno\Raster\Rodeio_recorte\2014\Rodeio_2014_12.tif,2014,12,1.23,0.9,1.18,100.0,1.82,0,494,0,1170,676
Rodeio_2015_01.tif,C:\Users\gtvargas\Documents\Rodeio_noturno\Raster\Rodeio_recorte\2015\Rodeio_2015_01.tif,2015,1,1.15,0.7,1.48,100.0,1.89,0,494,0,1170,676
Rodeio_2015_02.tif,C:\Users\gtvargas\Documents\Rodeio_noturno\Raster\Rodeio_recorte\2015\Rodeio_2015_02.tif,2015,2,1.09,0.6,1.29,100.0,1.73,0,494,0,1170,676
