arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Taio_2014_01.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2014\Taio_2014_01.tif,2014,1,0.5,0.3,1.31,98.07,1.16,55,2463,0,5940,3477
Taio_2014_02.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2014\Taio_2014_02.tif,2014,2,0.62,0.4,1.4,99.65,1.32,0,2463,0,5940,3477
Taio_2014_03.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2014\Taio_2014_03.tif,2014,3,0.61,0.4,1.67,97.87,1.44,62,2463,0,5940,3477
Taio_2014_04.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2014\Taio_2014_04.tif,2014,4,0.7,0.5,1.58,99.65,1.49,0,2463,0,5940,3477
Taio_2014_07.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2014\Taio_2014_07.tif,2014,7,0.43,0.2,1.3,99.65,1.08,0,2463,0,5940,3477
Taio_2014_05.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2014\Taio_2014_05.tif,2014,5,0.62,0.45,1.32,99.57,1.28,3,2463,0,5940,3477
Taio_2014_08.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2014\Taio_2014_08.tif,2014,8,0.47,0.2,1.48,99.65,1.21,0,2463,0,5940,3477
Taio_2014_06.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2014\Taio_2014_06.tif,2014,6,0.49,0.2,1.8,99.63,1.39,1,2463,0,5940,3477
Taio_2014_09.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2014\Taio_2014_09.tif,2014,9,0.66,0.45,1.31,99.54,1.32,4,2463,0,5940,3477
Taio_2014_10.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2014\Taio_2014_10.tif,2014,10,1.07,0.55,2.1,97.58,2.12,70,2463,0,5940,3477
Taio_2014_11.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2014\Taio_2014_11.tif,2014,11,0.68,0.45,1.43,99.65,1.39,0,2463,0,5940,3477
Taio_2015_02.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2015\Taio_2015_02.tif,2015,2,0.63,0.45,0.99,98.94,1.12,25,2463,0,5940,3477
Taio_2014_12.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2014\Taio_2014_12.tif,2014,12,0.63,0.35,1.97,97.1,1.61,89,2463,0,5940,3477
Taio_2015_01.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2015\Taio_2015_01.tif,2015,1,1.24,0.4,22.05,89.5,12.27,314,2463,1,5940,3477
Taio_2015_03.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2015\Taio_2015_03.tif,2015,3,0.74,0.6,1.12,99.57,1.3,3,2463,0,5940,3477
Taio_2015_05.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2015\Taio_2015_05.tif,2015,5,0.68,0.6,0.78,99.57,1.06,3,2463,0,5940,3477
Taio_2015_04.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2015\Taio_2015_04.tif,2015,4,0.71,0.5,1.28,99.63,1.35,1,2463,0,5940,3477
Taio_2015_06.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2015\Taio_2015_06.tif,2015,6,0.59,0.4,0.92,99.65,1.05,0,2463,0,5940,3477
Taio_2015_07.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2015\Taio_2015_07.tif,2015,7,0.46,0.3,1.28,98.48,1.1,41,2463,0,5940,3477
Taio_2015_08.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2015\Taio_2015_08.tif,2015,8,0.45,0.1,1.9,81.22,1.4,641,2463,0,5940,3477
Taio_2015_09.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2015\Taio_2015_09.tif,2015,9,0.48,0.2,1.78,98.68,1.37,34,2463,0,5940,3477
Taio_2015_12.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2015\Taio_2015_12.tif,2015,12,2.08,0.5,49.84,96.89,27.0,27,2463,2,5940,3477
Taio_2015_11.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2015\Taio_2015_11.tif,2015,11,0.56,0.45,0.84,99.63,0.99,1,2463,0,5940,3477
Taio_2015_10.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2015\Taio_2015_10.tif,2015,10,1.22,0.3,2.09,89.47,2.26,244,2463,0,5940,3477
Taio_2016_03.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2016\Taio_2016_03.tif,2016,3,0.56,0.3,1.64,98.56,1.38,38,2463,0,5940,3477
Taio_2016_04.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2016\Taio_2016_04.tif,2016,4,0.67,0.45,1.44,99.65,1.39,0,2463,0,5940,3477
Taio_2016_01.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2016\Taio_2016_01.tif,2016,1,0.48,0.2,1.39,85.71,1.17,485,2463,0,5940,3477
Taio_2016_02.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2016\Taio_2016_02.tif,2016,2,1.02,0.5,1.6,95.74,1.82,125,2463,0,5940,3477
Taio_2016_07.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2016\Taio_2016_07.tif,2016,7,0.42,0.2,1.51,98.27,1.17,48,2463,0,5940,3477
Taio_2016_05.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2016\Taio_2016_05.tif,2016,5,0.66,0.4,1.35,99.63,1.33,1,2463,0,5940,3477
Taio_2016_06.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2016\Taio_2016_06.tif,2016,6,0.44,0.2,1.57,99.65,1.23,0,2463,0,5940,3477
Taio_2016_08.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2016\Taio_2016_08.tif,2016,8,0.48,0.2,1.73,99.4,1.34,9,2463,0,5940,3477
Taio_2016_11.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2016\Taio_2016_11.tif,2016,11,0.61,0.4,1.3,99.51,1.26,5,2463,0,5940,3477
Taio_2016_09.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2016\Taio_2016_09.tif,2016,9,0.46,0.2,1.64,99.28,1.28,13,2463,0,5940,3477
Taio_2016_10.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2016\Taio_2016_10.tif,2016,10,0.67,0.45,1.77,99.34,1.56,11,2463,0,5940,3477
Taio_2017_01.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2017\Taio_2017_01.tif,2017,1,0.56,0.25,2.17,98.39,1.64,44,2463,0,5940,3477
Taio_2017_02.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2017\Taio_2017_02.tif,2017,2,0.73,0.4,1.88,99.45,1.67,5,2463,0,5940,3477
Taio_2016_12.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2016\Taio_2016_12.tif,2016,12,0.69,0.4,1.65,99.6,1.51,2,2463,0,5940,3477
Taio_2017_04.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2017\Taio_2017_04.tif,2017,4,0.6,0.3,1.78,99.65,1.49,0,2463,0,5940,3477
Taio_2017_03.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2017\Taio_2017_03.tif,2017,3,0.47,0.25,1.34,99.63,1.14,1,2463,0,5940,3477
Taio_2017_05.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2017\Taio_2017_05.tif,2017,5,1.22,0.5,22.84,98.99,12.63,22,2463,2,5940,3477
Taio_2017_07.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2017\Taio_2017_07.tif,2017,7,0.45,0.2,1.63,98.96,1.27,24,2463,0,5940,3477
Taio_2017_06.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2017\Taio_2017_06.tif,2017,6,0.69,0.5,1.36,99.34,1.37,3,2463,0,5940,3477
Taio_2017_09.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2017\Taio_2017_09.tif,2017,9,0.53,0.35,1.22,98.07,1.14,52,2463,0,5940,3477
Taio_2017_08.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2017\Taio_2017_08.tif,2017,8,0.47,0.2,1.61,97.33,1.27,81,2463,0,5940,3477
Taio_2017_11.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2017\Taio_2017_11.tif,2017,11,0.65,0.4,1.78,99.65,1.55,0,2463,0,5940,3477
Taio_2018_01.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2018\Taio_2018_01.tif,2018,1,0.8,0.45,1.71,92.38,1.66,252,2463,0,5940,3477
Taio_2017_10.tif,C:\Users\gtvargas\Documents\Taio_noturno\Raster\Taio_recortes\2017\Taio_2017_10.tif,2017,10,0.63,0.4,1.77,99.6,1.51,2,2463,0,5940,3477
