arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Witmarsum_2014_02.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\Witmarsum_recortes\2014\Witmarsum_2014_02.tif,2014,2,0.53,0.45,0.49,100.0,0.78,0,667,0,1512,845
Witmarsum_2014_01.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\Witmarsum_recortes\2014\Witmarsum_2014_01.tif,2014,1,0.37,0.3,0.45,97.63,0.6,17,667,0,1512,845
Witmarsum_2014_03.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\Witmarsum_recortes\2014\Witmarsum_2014_03.tif,2014,3,0.5,0.4,0.48,99.41,0.74,5,667,0,1512,845
Witmarsum_2014_06.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\Witmarsum_recortes\2014\Witmarsum_2014_06.tif,2014,6,0.38,0.3,0.34,100.0,0.55,0,667,0,1512,845
Witmarsum_2014_05.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\Witmarsum_recortes\2014\Witmarsum_2014_05.tif,2014,5,0.61,0.5,0.43,100.0,0.82,0,667,0,1512,845
Witmarsum_2014_04.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\Witmarsum_recortes\2014\Witmarsum_2014_04.tif,2014,4,0.52,0.5,0.36,100.0,0.7,0,667,0,1512,845
Witmarsum_2014_07.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\Witmarsum_recortes\2014\Witmarsum_2014_07.tif,2014,7,0.35,0.25,0.38,99.88,0.54,1,667,0,1512,845
Witmarsum_2014_08.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\Witmarsum_recortes\2014\Witmarsum_2014_08.tif,2014,8,0.38,0.2,0.55,100.0,0.65,0,667,0,1512,845
Witmarsum_2014_09.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\Witmarsum_recortes\2014\Witmarsum_2014_09.tif,2014,9,0.61,0.5,0.45,100.0,0.83,0,667,0,1512,845
Witmarsum_2014_10.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\Witmarsum_recortes\2014\Witmarsum_2014_10.tif,2014,10,0.77,0.6,0.66,99.64,1.1,3,667,0,1512,845
Witmarsum_2014_11.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\Witmarsum_recortes\2014\Witmarsum_2014_11.tif,2014,11,0.52,0.45,0.42,100.0,0.73,0,667,0,1512,845
Witmarsum_2014_12.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\Witmarsum_recortes\2014\Witmarsum_2014_12.tif,2014,12,0.5,0.45,0.47,99.05,0.73,8,667,0,1512,845
Witmarsum_2015_01.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\Witmarsum_recortes\2015\Witmarsum_2015_01.tif,2015,1,0.44,0.35,0.46,99.88,0.67,1,667,0,1512,845
Witmarsum_2015_02.tif,C:\Users\gtvargas\Documents\Witmarsum_Noturno\Raster\Witmarsum_recortes\2015\Witmarsum_2015_02.tif,2015,2,0.53,0.4,0.43,99.17,0.74,7,667,0,1512,845
