arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Camboriu_2014_02.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2014\Camboriu_2014_02.tif,2014,2,4.1,0.9,9.55,100.0,8.87,0,844,0,1936,1092
Camboriu_2014_01.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2014\Camboriu_2014_01.tif,2014,1,3.78,0.8,9.37,100.0,8.47,0,844,0,1936,1092
Camboriu_2014_03.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2014\Camboriu_2014_03.tif,2014,3,4.13,0.95,9.65,100.0,8.96,0,844,0,1936,1092
Camboriu_2014_05.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2014\Camboriu_2014_05.tif,2014,5,3.79,0.9,9.07,100.0,8.32,0,844,0,1936,1092
Camboriu_2014_06.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2014\Camboriu_2014_06.tif,2014,6,3.75,0.7,10.08,100.0,8.79,0,844,0,1936,1092
Camboriu_2014_04.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2014\Camboriu_2014_04.tif,2014,4,4.22,1.0,9.99,100.0,9.21,0,844,0,1936,1092
Camboriu_2014_07.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2014\Camboriu_2014_07.tif,2014,7,3.66,0.7,9.3,100.0,8.31,0,844,0,1936,1092
Camboriu_2014_08.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2014\Camboriu_2014_08.tif,2014,8,4.13,0.75,10.69,100.0,9.48,0,844,0,1936,1092
Camboriu_2014_09.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2014\Camboriu_2014_09.tif,2014,9,4.14,1.0,9.92,100.0,9.1,0,844,0,1936,1092
Camboriu_2014_10.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2014\Camboriu_2014_10.tif,2014,10,3.97,1.3,7.86,100.0,7.9,0,844,0,1936,1092
Camboriu_2014_11.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2014\Camboriu_2014_11.tif,2014,11,4.4,0.9,10.67,100.0,9.74,0,844,0,1936,1092
Camboriu_2014_12.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2014\Camboriu_2014_12.tif,2014,12,4.31,1.1,9.65,99.54,9.13,5,844,0,1936,1092
Camboriu_2015_01.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2015\Camboriu_2015_01.tif,2015,1,4.18,0.9,9.97,100.0,9.16,0,844,0,1936,1092
Camboriu_2015_02.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2015\Camboriu_2015_02.tif,2015,2,4.08,0.9,9.34,99.91,8.75,1,844,0,1936,1092
Camboriu_2015_04.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2015\Camboriu_2015_04.tif,2015,4,4.48,1.0,10.79,100.0,9.88,0,844,0,1936,1092
Camboriu_2015_05.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2015\Camboriu_2015_05.tif,2015,5,4.47,1.05,10.64,100.0,9.8,0,844,0,1936,1092
Camboriu_2015_03.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2015\Camboriu_2015_03.tif,2015,3,4.34,1.0,9.6,100.0,9.14,0,844,0,1936,1092
Camboriu_2015_07.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2015\Camboriu_2015_07.tif,2015,7,4.58,1.0,11.31,100.0,10.23,0,844,0,1936,1092
Camboriu_2015_06.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2015\Camboriu_2015_06.tif,2015,6,4.14,0.9,10.82,100.0,9.55,0,844,0,1936,1092
Camboriu_2015_08.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2015\Camboriu_2015_08.tif,2015,8,3.63,0.7,9.71,100.0,8.49,0,844,0,1936,1092
Camboriu_2015_09.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2015\Camboriu_2015_09.tif,2015,9,3.87,0.9,9.08,100.0,8.41,0,844,0,1936,1092
Camboriu_2015_10.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2015\Camboriu_2015_10.tif,2015,10,4.42,2.55,4.83,95.24,6.84,45,844,0,1936,1092
Camboriu_2015_11.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2015\Camboriu_2015_11.tif,2015,11,2.89,0.8,6.64,96.61,6.21,1,844,0,1936,1092
Camboriu_2016_01.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2016\Camboriu_2016_01.tif,2016,1,3.7,0.7,8.87,99.73,8.14,3,844,0,1936,1092
Camboriu_2015_12.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2015\Camboriu_2015_12.tif,2015,12,3.98,1.15,7.04,99.54,7.5,0,844,0,1936,1092
Camboriu_2016_03.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2016\Camboriu_2016_03.tif,2016,3,4.05,1.0,9.18,100.0,8.64,0,844,0,1936,1092
Camboriu_2016_02.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2016\Camboriu_2016_02.tif,2016,2,3.77,0.95,7.4,99.54,7.47,5,844,0,1936,1092
Camboriu_2016_05.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2016\Camboriu_2016_05.tif,2016,5,4.19,1.0,10.4,100.0,9.39,0,844,0,1936,1092
Camboriu_2016_04.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2016\Camboriu_2016_04.tif,2016,4,3.98,0.97,9.25,100.0,8.61,0,844,0,1936,1092
Camboriu_2016_06.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2016\Camboriu_2016_06.tif,2016,6,3.97,0.73,10.97,100.0,9.45,0,844,0,1936,1092
Camboriu_2016_09.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2016\Camboriu_2016_09.tif,2016,9,3.97,0.8,9.98,100.0,8.96,0,844,0,1936,1092
Camboriu_2016_07.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2016\Camboriu_2016_07.tif,2016,7,3.93,0.65,10.91,100.0,9.38,0,844,0,1936,1092
Camboriu_2016_08.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2016\Camboriu_2016_08.tif,2016,8,3.76,0.6,10.48,99.91,9.0,1,844,0,1936,1092
Camboriu_2016_12.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2016\Camboriu_2016_12.tif,2016,12,4.12,1.1,9.14,100.0,8.69,0,844,0,1936,1092
Camboriu_2016_10.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2016\Camboriu_2016_10.tif,2016,10,4.13,1.1,9.09,100.0,8.67,0,844,0,1936,1092
Camboriu_2016_11.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2016\Camboriu_2016_11.tif,2016,11,4.17,1.25,7.16,100.0,7.74,0,844,0,1936,1092
Camboriu_2017_02.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2017\Camboriu_2017_02.tif,2017,2,4.1,1.0,9.44,100.0,8.83,0,844,0,1936,1092
Camboriu_2017_04.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2017\Camboriu_2017_04.tif,2017,4,4.14,1.0,9.67,100.0,8.98,0,844,0,1936,1092
Camboriu_2017_01.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2017\Camboriu_2017_01.tif,2017,1,4.2,0.9,10.11,100.0,9.26,0,844,0,1936,1092
Camboriu_2017_03.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2017\Camboriu_2017_03.tif,2017,3,3.62,0.8,8.26,100.0,7.75,0,844,0,1936,1092
Camboriu_2017_07.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2017\Camboriu_2017_07.tif,2017,7,4.31,0.85,10.05,100.0,9.34,0,844,0,1936,1092
Camboriu_2017_05.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2017\Camboriu_2017_05.tif,2017,5,3.69,0.85,8.28,99.91,7.83,1,844,0,1936,1092
Camboriu_2017_08.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2017\Camboriu_2017_08.tif,2017,8,4.19,0.8,10.1,100.0,9.24,0,844,0,1936,1092
Camboriu_2017_06.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2017\Camboriu_2017_06.tif,2017,6,4.03,0.9,10.2,99.82,9.13,2,844,0,1936,1092
Camboriu_2017_09.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2017\Camboriu_2017_09.tif,2017,9,4.43,1.05,9.66,99.73,9.26,2,844,0,1936,1092
Camboriu_2017_10.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2017\Camboriu_2017_10.tif,2017,10,4.19,0.9,10.37,99.82,9.37,2,844,0,1936,1092
Camboriu_2017_11.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2017\Camboriu_2017_11.tif,2017,11,4.52,1.0,10.4,100.0,9.72,0,844,0,1936,1092
Camboriu_2017_12.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2017\Camboriu_2017_12.tif,2017,12,4.44,1.0,8.99,99.82,8.94,1,844,0,1936,1092
Camboriu_2018_04.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2018\Camboriu_2018_04.tif,2018,4,4.52,1.0,10.72,100.0,9.88,0,844,0,1936,1092
Camboriu_2018_03.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2018\Camboriu_2018_03.tif,2018,3,3.63,0.9,7.86,99.54,7.56,5,844,0,1936,1092
Camboriu_2018_02.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2018\Camboriu_2018_02.tif,2018,2,4.48,1.0,10.39,100.0,9.67,0,844,0,1936,1092
Camboriu_2018_07.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2018\Camboriu_2018_07.tif,2018,7,4.67,1.0,10.12,100.0,9.73,0,844,0,1936,1092
Camboriu_2018_01.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2018\Camboriu_2018_01.tif,2018,1,4.89,0.9,11.77,99.73,10.78,3,844,0,1936,1092
Camboriu_2018_06.tif,C:\Users\gtvargas\Documents\Camboriu_noturno\Raster\camboriu_recorte\2018\Camboriu_2018_06.tif,2018,6,4.02,0.9,9.59,100.0,8.81,0,844,0,1936,1092
