arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
rio_dos_cedros_2014_01.tif,C:\Users\gtvargas\Documents\RIO_DOS_CEDROS_NOTURNO\RASTER\riod_dos_cedros_recortado\2014\rio_dos_cedros_2014_01.tif,2014,1,0.51,0.25,1.02,88.08,1.02,312,2415,0,5032,2617
rio_dos_cedros_2014_02.tif,C:\Users\gtvargas\Documents\RIO_DOS_CEDROS_NOTURNO\RASTER\riod_dos_cedros_recortado\2014\rio_dos_cedros_2014_02.tif,2014,2,0.64,0.4,1.07,100.0,1.17,0,2415,0,5032,2617
rio_dos_cedros_2014_03.tif,C:\Users\gtvargas\Documents\RIO_DOS_CEDROS_NOTURNO\RASTER\riod_dos_cedros_recortado\2014\rio_dos_cedros_2014_03.tif,2014,3,0.63,0.4,1.08,99.77,1.17,6,2415,0,5032,2617
rio_dos_cedros_2014_04.tif,C:\Users\gtvargas\Documents\RIO_DOS_CEDROS_NOTURNO\RASTER\riod_dos_cedros_recortado\2014\rio_dos_cedros_2014_04.tif,2014,4,0.71,0.5,0.87,100.0,1.15,0,2415,0,5032,2617
rio_dos_cedros_2014_05.tif,C:\Users\gtvargas\Documents\RIO_DOS_CEDROS_NOTURNO\RASTER\riod_dos_cedros_recortado\2014\rio_dos_cedros_2014_05.tif,2014,5,0.7,0.5,1.16,100.0,1.28,0,2415,0,5032,2617
rio_dos_cedros_2014_06.tif,C:\Users\gtvargas\Documents\RIO_DOS_CEDROS_NOTURNO\RASTER\riod_dos_cedros_recortado\2014\rio_dos_cedros_2014_06.tif,2014,6,0.54,0.3,1.33,100.0,1.21,0,2415,0,5032,2617
rio_dos_cedros_2014_07.tif,C:\Users\gtvargas\Documents\RIO_DOS_CEDROS_NOTURNO\RASTER\riod_dos_cedros_recortado\2014\rio_dos_cedros_2014_07.tif,2014,7,0.55,0.3,1.26,100.0,1.18,0,2415,0,5032,2617
rio_dos_cedros_2014_09.tif,C:\Users\gtvargas\Documents\RIO_DOS_CEDROS_NOTURNO\RASTER\riod_dos_cedros_recortado\2014\rio_dos_cedros_2014_09.tif,2014,9,0.75,0.5,1.17,100.0,1.33,0,2415,0,5032,2617
rio_dos_cedros_2014_08.tif,C:\Users\gtvargas\Documents\RIO_DOS_CEDROS_NOTURNO\RASTER\riod_dos_cedros_recortado\2014\rio_dos_cedros_2014_08.tif,2014,8,0.57,0.3,1.37,100.0,1.26,0,2415,0,5032,2617
rio_dos_cedros_2014_10.tif,C:\Users\gtvargas\Documents\RIO_DOS_CEDROS_NOTURNO\RASTER\riod_dos_cedros_recortado\2014\rio_dos_cedros_2014_10.tif,2014,10,0.77,0.55,0.98,100.0,1.26,0,2415,0,5032,2617
rio_dos_cedros_2014_12.tif,C:\Users\gtvargas\Documents\RIO_DOS_CEDROS_NOTURNO\RASTER\riod_dos_cedros_recortado\2014\rio_dos_cedros_2014_12.tif,2014,12,0.68,0.5,1.21,98.97,1.29,27,2415,0,5032,2617
rio_dos_cedros_2014_11.tif,C:\Users\gtvargas\Documents\RIO_DOS_CEDROS_NOTURNO\RASTER\riod_dos_cedros_recortado\2014\rio_dos_cedros_2014_11.tif,2014,11,0.86,0.6,1.37,97.78,1.54,3,2415,0,5032,2617
